time,Orlando,pts.away,score,pts.home,Utah
6:03.0,Offensive rebound by E. Payton,,94-94,,
5:58.0,E. Payton misses 3-pt shot from 24 ft,,94-94,,
5:58.0,,,94-94,,Defensive rebound by T. Lyles
5:44.0,,,94-94,,Shooting foul by N. Vucevic (drawn by R. Gobert)
5:44.0,,,94-94,,Utah full timeout
5:44.0,,,94-94,,Violation by Team (jump ball)
5:44.0,,,94-95,1,R. Gobert makes free throw 1 of 2
5:44.0,,,94-95,,R. Gobert misses free throw 2 of 2
5:44.0,,,94-94,,A. Burks enters the game for R. Hood
5:43.0,Defensive rebound by N. Vucevic,,94-95,,
5:26.0,E. Payton makes 3-pt shot from 25 ft (assist by N. Vucevic),3,97-95,,
5:11.0,,,97-95,,Shooting foul by E. Payton (drawn by G. Hill)
5:11.0,,,97-95,,G. Hill misses free throw 1 of 3
5:11.0,,,97-95,,Offensive rebound by Team
5:11.0,,,97-96,1,G. Hill makes free throw 2 of 3
5:11.0,,,97-97,1,G. Hill makes free throw 3 of 3
4:58.0,J. Meeks misses 3-pt shot from 24 ft,,97-97,,
4:57.0,,,97-97,,Defensive rebound by R. Gobert
4:45.0,,,97-97,,T. Lyles misses 3-pt shot from 24 ft
4:45.0,,,97-97,,Offensive rebound by A. Burks
4:42.0,,,97-97,,A. Burks misses 2-pt shot from 3 ft
4:40.0,Defensive rebound by N. Vucevic,,97-97,,
4:33.0,A. Gordon makes 3-pt shot from 24 ft (assist by J. Meeks),3,100-97,,
4:07.0,,,100-97,,Turnover by A. Burks (bad pass)
4:07.0,,,100-97,,R. Hood enters the game for A. Burks
4:07.0,,,100-97,,D. Favors enters the game for T. Lyles
3:54.0,E. Payton makes 2-pt shot from 2 ft,2,102-97,,
3:37.0,,,102-97,,Turnover by D. Favors (lost ball)
3:21.0,Turnover by N. Vucevic (lost ball),,102-97,,
3:07.0,,,102-97,,Shooting foul by A. Gordon (drawn by G. Hayward)
3:07.0,,,102-98,1,G. Hayward makes free throw 1 of 3
3:07.0,,,102-99,1,G. Hayward makes free throw 2 of 3
3:07.0,Orlando full timeout,,102-99,,
3:07.0,,,102-100,1,G. Hayward makes free throw 3 of 3
2:54.0,,,102-100,,Personal foul by R. Hood (drawn by J. Meeks)
2:54.0,Offensive foul by N. Vucevic,,102-100,,
2:54.0,Turnover by N. Vucevic (offensive foul),,102-100,,
2:43.0,,,102-102,2,D. Favors makes 2-pt shot at rim (assist by G. Hayward)
2:43.0,,,102-102,,Shooting foul by S. Ibaka (drawn by D. Favors)
2:43.0,,,102-103,1,D. Favors makes free throw 1 of 1
2:20.0,N. Vucevic misses 3-pt shot from 25 ft,,102-103,,
2:19.0,,,102-103,,Defensive rebound by D. Favors
2:01.0,,,102-106,3,R. Hood makes 3-pt shot from 23 ft (assist by G. Hill)
2:01.0,Orlando full timeout,,102-106,,
1:47.0,N. Vucevic misses 2-pt shot from 5 ft (block by R. Gobert),,102-106,,
1:46.0,,,102-106,,Defensive rebound by R. Hood
1:44.0,,,102-106,,Shooting foul by J. Meeks (drawn by R. Hood)
1:44.0,,,102-106,,Utah full timeout
1:44.0,,,102-106,,J. Withey misses free throw 1 of 2
1:44.0,,,102-106,,Offensive rebound by Team
1:44.0,,,102-107,1,J. Withey makes free throw 2 of 2
1:44.0,,,102-106,,J. Withey enters the game for R. Hood
1:43.0,,,102-107,,Personal foul by J. Withey (drawn by J. Meeks)
1:43.0,,,102-107,,J. Ingles enters the game for J. Withey
1:32.0,J. Meeks misses 3-pt shot from 25 ft,,102-107,,
1:31.0,,,102-107,,Defensive rebound by R. Gobert
1:07.0,,,102-110,3,J. Ingles makes 3-pt shot from 24 ft (assist by G. Hill)
1:07.0,Orlando full timeout,,102-110,,
0:51.0,J. Meeks misses 3-pt shot from 25 ft,,102-110,,
0:51.0,Offensive rebound by N. Vucevic,,102-110,,
0:46.0,S. Ibaka makes 2-pt shot from 2 ft (assist by A. Gordon),2,104-110,,
0:27.0,,,104-113,3,J. Ingles makes 3-pt shot from 24 ft (assist by G. Hill)
0:27.0,Orlando full timeout,,104-113,,
0:27.0,D. Augustin enters the game for E. Payton,,104-113,,
0:19.0,A. Gordon makes 3-pt shot from 24 ft,3,107-113,,
0:16.0,Personal foul by J. Meeks (drawn by G. Hill),,107-113,,
0:16.0,,,107-113,,G. Hill misses free throw 1 of 2
0:16.0,,,107-113,,Offensive rebound by Team
0:16.0,,,107-114,1,G. Hill makes free throw 2 of 2
0:11.0,J. Meeks misses 3-pt shot from 25 ft,,107-114,,
0:10.0,,,107-114,,Defensive rebound by G. Hayward
0:00.0,End of 4th quarter,,,,End of 4th quarter
