time,Atlanta,pts.away,score,pts.home,Chicago
4:06.0,K. Humphries enters the game for D. Howard,,69-72,,
4:06.0,T. Sefolosha enters the game for K. Bazemore,,69-72,,
4:06.0,,,69-72,,C. Felicio enters the game for R. Lopez
4:00.0,M. Delaney misses 2-pt shot from 20 ft,,69-72,,
4:00.0,Offensive rebound by Team,,69-72,,
3:52.0,T. Sefolosha makes 3-pt shot from 26 ft (assist by M. Delaney),3,72-72,,
3:24.0,,,72-72,,J. Butler misses 2-pt shot from 2 ft
3:23.0,Defensive rebound by K. Humphries,,72-72,,
3:12.0,P. Millsap misses 2-pt shot from 2 ft,,72-72,,
3:10.0,,,72-72,,Defensive rebound by N. Mirotic
3:10.0,Personal foul by P. Millsap (drawn by N. Mirotic),,72-72,,
3:10.0,,,72-73,1,N. Mirotic makes free throw 1 of 2
3:10.0,,,72-74,1,N. Mirotic makes free throw 2 of 2
3:10.0,,,72-73,,P. Zipser enters the game for J. Grant
2:56.0,P. Millsap makes 2-pt shot from 5 ft (assist by M. Delaney),2,74-74,,
2:39.0,,,74-76,2,N. Mirotic makes 2-pt shot from 1 ft
2:27.0,P. Millsap misses 3-pt shot from 26 ft,,74-76,,
2:26.0,,,74-76,,Defensive rebound by P. Zipser
2:03.0,,,74-76,,Turnover by D. McDermott (lost ball; steal by K. Humphries)
1:57.0,T. Hardaway misses 3-pt shot from 25 ft,,74-76,,
1:55.0,,,74-76,,Defensive rebound by J. Butler
1:50.0,,,74-78,2,J. Butler makes 2-pt shot from 4 ft
1:32.0,K. Humphries misses 3-pt shot from 25 ft,,74-78,,
1:31.0,,,74-78,,Defensive rebound by C. Felicio
1:23.0,,,74-78,,Shooting foul by T. Hardaway (drawn by J. Butler)
1:23.0,,,74-79,1,J. Butler makes free throw 1 of 2
1:23.0,,,74-80,1,J. Butler makes free throw 2 of 2
1:23.0,K. Bazemore enters the game for P. Millsap,,74-79,,
1:14.0,Offensive foul by T. Hardaway,,74-80,,
1:14.0,Turnover by T. Hardaway (offensive foul),,74-80,,
0:54.0,,,74-80,,D. McDermott misses 2-pt shot from 9 ft
0:51.0,,,74-80,,Offensive rebound by C. Felicio
0:43.0,,,74-80,,N. Mirotic misses 2-pt shot from 3 ft
0:42.0,Defensive rebound by K. Humphries,,74-80,,
0:38.0,T. Hardaway makes 2-pt shot at rim,2,76-80,,
0:17.0,,,76-80,,Turnover by J. Butler (bad pass; steal by K. Bazemore)
0:15.0,K. Bazemore makes 2-pt shot at rim,2,78-80,,
0:00.0,,,78-83,3,J. Butler makes 3-pt shot from 27 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,78-85,2,C. Felicio makes 2-pt shot from 2 ft (assist by R. Rondo)
11:23.0,K. Bazemore misses 2-pt shot from 21 ft,,78-85,,
11:22.0,,,78-85,,Defensive rebound by N. Mirotic
11:03.0,,,78-85,,P. Zipser misses 2-pt shot from 17 ft
11:02.0,,,78-85,,Offensive rebound by C. Felicio
11:02.0,,,78-87,2,C. Felicio makes 2-pt shot from 1 ft
10:45.0,K. Humphries misses 2-pt shot from 7 ft,,78-87,,
10:44.0,Offensive rebound by M. Dunleavy,,78-87,,
10:38.0,T. Hardaway misses 2-pt shot from 20 ft,,78-87,,
10:36.0,,,78-87,,Defensive rebound by R. Rondo
10:22.0,D. Howard enters the game for K. Humphries,,78-87,,
10:22.0,D. Schroder enters the game for M. Dunleavy,,78-87,,
10:15.0,,,78-87,,N. Mirotic misses 3-pt shot from 27 ft
10:12.0,Defensive rebound by M. Delaney,,78-87,,
10:04.0,,,78-87,,Personal foul by C. Felicio (drawn by D. Howard)
9:55.0,T. Hardaway misses 2-pt shot from 7 ft,,78-87,,
9:53.0,Offensive rebound by D. Howard,,78-87,,
9:53.0,D. Howard makes 2-pt shot from 2 ft,2,80-87,,
9:53.0,Shooting foul by P. Zipser (drawn by D. Howard),,80-87,,
9:53.0,D. Howard makes free throw 1 of 1,1,81-87,,
9:41.0,,,81-89,2,R. Rondo makes 2-pt shot from 8 ft
9:30.0,D. Schroder makes 2-pt shot from 1 ft,2,83-89,,
9:21.0,,,83-89,,Turnover by N. Mirotic (back court)
9:10.0,M. Delaney misses 2-pt shot from 1 ft,,83-89,,
9:08.0,Offensive rebound by D. Howard,,83-89,,
9:07.0,D. Howard misses 2-pt shot from 2 ft (block by P. Zipser),,83-89,,
9:03.0,Offensive rebound by M. Delaney,,83-89,,
8:59.0,M. Delaney makes 2-pt shot from 3 ft,2,85-89,,
8:44.0,,,85-91,2,N. Mirotic makes 2-pt shot from 1 ft (assist by D. McDermott)
8:30.0,D. Howard makes 2-pt shot from 1 ft (assist by T. Hardaway),2,87-91,,
8:20.0,Personal foul by M. Delaney (drawn by D. McDermott),,87-91,,
8:20.0,Official timeout,,87-91,,
8:20.0,T. Sefolosha enters the game for M. Delaney,,87-91,,
8:20.0,,,87-91,,R. Lopez enters the game for C. Felicio
8:20.0,,,87-91,,J. Butler enters the game for D. McDermott
8:20.0,,,87-91,,D. Wade enters the game for R. Rondo
8:13.0,,,87-93,2,J. Butler makes 2-pt shot from 19 ft (assist by D. Wade)
8:00.0,D. Schroder misses 2-pt shot from 2 ft,,87-93,,
7:59.0,,,87-93,,Defensive rebound by R. Lopez
7:38.0,,,87-95,2,D. Wade makes 2-pt shot from 16 ft
7:21.0,Turnover by D. Schroder (bad pass),,87-95,,
7:21.0,P. Millsap enters the game for K. Bazemore,,87-95,,
7:10.0,,,87-95,,N. Mirotic misses 3-pt shot from 27 ft
7:09.0,Defensive rebound by T. Sefolosha,,87-95,,
6:57.0,P. Millsap makes 2-pt shot from 13 ft,2,89-95,,
6:32.0,,,89-95,,D. Wade misses 2-pt shot from 18 ft
6:30.0,Defensive rebound by P. Millsap,,89-95,,
6:22.0,Shooting foul by N. Mirotic (drawn by D. Howard),,89-95,,
6:22.0,D. Howard makes free throw 1 of 2,1,90-95,,
6:22.0,D. Howard makes free throw 2 of 2,1,91-95,,
6:22.0,,,90-95,,T. Gibson enters the game for N. Mirotic
6:08.0,,,91-95,,D. Wade misses 2-pt shot from 3 ft
6:05.0,,,91-95,,Offensive rebound by T. Gibson
6:05.0,,,91-95,,T. Gibson misses 2-pt shot from 2 ft
6:04.0,,,91-95,,Offensive rebound by D. Wade
6:03.0,,,91-95,,Shooting foul by P. Millsap (drawn by D. Wade)
6:03.0,,,91-96,1,D. Wade makes free throw 1 of 2
6:03.0,,,91-97,1,D. Wade makes free throw 2 of 2
5:55.0,,,91-97,,Chicago full timeout
5:55.0,K. Bazemore enters the game for T. Hardaway,,91-97,,
5:53.0,Jump ball: J. Butler vs. D. Schroder (R. Lopez gains possession),,,,Jump ball: J. Butler vs. D. Schroder (R. Lopez gains possession)
5:53.0,Turnover by D. Schroder (lost ball; steal by J. Butler),,91-97,,
5:38.0,,,91-99,2,D. Wade makes 2-pt shot from 18 ft
5:24.0,K. Bazemore misses 2-pt shot from 3 ft,,91-99,,
5:22.0,,,91-99,,Defensive rebound by R. Lopez
5:12.0,,,91-101,2,D. Wade makes 2-pt shot from 12 ft
5:12.0,,,91-101,,Shooting foul by K. Bazemore (drawn by D. Wade)
5:12.0,,,91-102,1,D. Wade makes free throw 1 of 1
5:07.0,P. Millsap makes 2-pt shot from 5 ft (assist by D. Schroder),2,93-102,,
5:07.0,Shooting foul by T. Gibson (drawn by P. Millsap),,93-102,,
5:07.0,P. Millsap makes free throw 1 of 1,1,94-102,,
4:50.0,,,94-102,,Turnover by R. Lopez (lost ball; steal by D. Howard)
4:42.0,D. Schroder makes 3-pt shot from 26 ft,3,97-102,,
4:22.0,,,97-105,3,J. Butler makes 3-pt shot from 23 ft (assist by D. Wade)
4:22.0,,,97-105,,Shooting foul by K. Bazemore (drawn by J. Butler)
4:22.0,,,97-106,1,J. Butler makes free throw 1 of 1
4:14.0,Shooting foul by D. Wade (drawn by T. Sefolosha),,97-106,,
4:14.0,T. Sefolosha misses free throw 1 of 2,,97-106,,
4:14.0,Offensive rebound by Team,,97-106,,
4:14.0,T. Sefolosha makes free throw 2 of 2,1,98-106,,
3:57.0,,,98-106,,T. Gibson misses 3-pt shot from 24 ft
3:56.0,Defensive rebound by D. Schroder,,98-106,,
3:44.0,D. Howard makes 2-pt shot from 2 ft (assist by D. Schroder),2,100-106,,
3:31.0,,,100-108,2,J. Butler makes 2-pt shot from 18 ft
3:13.0,D. Howard misses 2-pt shot from 2 ft,,100-108,,
3:12.0,,,100-108,,Defensive rebound by R. Lopez
3:02.0,,,100-110,2,D. Wade makes 2-pt shot from 14 ft
3:02.0,Atlanta full timeout,,100-110,,
3:02.0,T. Hardaway enters the game for T. Sefolosha,,100-110,,
2:46.0,P. Millsap makes 3-pt shot from 26 ft (assist by D. Schroder),3,103-110,,
2:28.0,,,103-110,,R. Lopez misses 2-pt shot from 5 ft (block by P. Millsap)
2:25.0,Defensive rebound by P. Millsap,,103-110,,
2:21.0,K. Bazemore misses 3-pt shot from 24 ft,,103-110,,
