time,Indiana,pts.away,score,pts.home,Oklahoma City
4:18.0,,,93-87,,E. Kanter misses 2-pt shot from 4 ft
4:17.0,Defensive rebound by Team,,93-87,,
4:04.0,T. Young makes 2-pt shot from 6 ft (assist by J. Teague),2,95-87,,
3:48.0,,,95-90,3,R. Westbrook makes 3-pt shot from 25 ft
3:33.0,M. Turner misses 2-pt shot from 3 ft,,95-90,,
3:32.0,Offensive rebound by T. Young,,95-90,,
3:32.0,T. Young misses 2-pt shot from 2 ft,,95-90,,
3:32.0,,,95-90,,Defensive rebound by A. Morrow
3:25.0,Personal foul by G. Robinson (drawn by A. Morrow),,95-90,,
3:25.0,,,95-91,1,A. Morrow makes free throw 1 of 2
3:25.0,,,95-91,,A. Morrow misses free throw 2 of 2
3:24.0,Defensive rebound by T. Young,,95-91,,
3:05.0,Turnover by J. Teague (bad pass; steal by E. Kanter),,95-91,,
2:59.0,,,95-93,2,E. Kanter makes 2-pt shot from 2 ft (assist by R. Westbrook)
2:59.0,Indiana full timeout,,95-93,,
2:59.0,,,95-93,,V. Oladipo enters the game for A. Morrow
2:46.0,Shooting foul by S. Adams (drawn by T. Young),,95-93,,
2:46.0,T. Young misses free throw 1 of 2,,95-93,,
2:46.0,Offensive rebound by Team,,95-93,,
2:46.0,T. Young misses free throw 2 of 2,,95-93,,
2:45.0,,,95-93,,Defensive rebound by R. Westbrook
2:34.0,,,95-95,2,R. Westbrook makes 2-pt shot from 2 ft
2:11.0,T. Young makes 2-pt shot from 10 ft,2,97-95,,
2:11.0,Shooting foul by E. Kanter (drawn by T. Young),,97-95,,
2:11.0,T. Young misses free throw 1 of 1,,97-95,,
2:11.0,,,97-95,,Defensive rebound by R. Westbrook
1:51.0,,,97-95,,R. Westbrook misses 2-pt shot from 8 ft
1:51.0,,,97-95,,Offensive rebound by R. Westbrook
1:49.0,,,97-95,,R. Westbrook misses 2-pt shot from 2 ft
1:48.0,Defensive rebound by M. Turner,,97-95,,
1:45.0,Shooting foul by A. Roberson (drawn by J. Teague),,97-95,,
1:45.0,J. Teague makes free throw 1 of 2,1,98-95,,
1:45.0,J. Teague makes free throw 2 of 2,1,99-95,,
1:31.0,,,99-98,3,V. Oladipo makes 3-pt shot from 23 ft (assist by R. Westbrook)
1:25.0,Indiana full timeout,,99-98,,
1:25.0,,,99-98,,J. Lauvergne enters the game for E. Kanter
1:09.0,M. Turner misses 3-pt shot from 22 ft,,99-98,,
1:09.0,,,99-98,,Defensive rebound by A. Roberson
1:04.0,,,99-98,,R. Westbrook misses 2-pt shot from 2 ft
1:02.0,Defensive rebound by J. Teague,,99-98,,
0:39.0,Shooting foul by S. Adams (drawn by M. Turner),,99-98,,
0:39.0,M. Turner makes free throw 1 of 2,1,100-98,,
0:39.0,M. Turner makes free throw 2 of 2,1,101-98,,
0:39.0,,,101-98,,Oklahoma City full timeout
0:39.0,,,101-98,,A. Morrow enters the game for A. Roberson
0:34.0,,,101-100,2,R. Westbrook makes 2-pt shot from 1 ft
0:29.0,Indiana full timeout,,101-100,,
0:29.0,,,101-100,,A. Roberson enters the game for A. Morrow
0:09.0,G. Robinson misses 3-pt shot from 22 ft,,101-100,,
0:07.0,Offensive rebound by T. Young,,101-100,,
0:05.0,,,101-100,,Personal take foul by A. Roberson (drawn by J. Teague)
0:05.0,J. Teague makes free throw 1 of 2,1,102-100,,
0:05.0,J. Teague makes free throw 2 of 2,1,103-100,,
0:05.0,,,103-100,,Oklahoma City full timeout
0:05.0,,,103-100,,A. Morrow enters the game for A. Roberson
0:05.0,R. Stuckey enters the game for M. Turner,,103-100,,
0:02.0,,,103-103,3,R. Westbrook makes 3-pt shot from 27 ft (assist by V. Oladipo)
0:02.0,Indiana full timeout,,103-103,,
0:02.0,,,103-103,,A. Roberson enters the game for A. Morrow
0:02.0,,,103-103,,J. Grant enters the game for J. Lauvergne
0:02.0,M. Turner enters the game for R. Stuckey,,103-103,,
0:00.0,G. Robinson misses 2-pt shot from 10 ft,,103-103,,
0:00.0,Offensive rebound by Team,,103-103,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:37.0,T. Young misses 3-pt shot from 23 ft,,103-103,,
4:37.0,,,103-103,,Defensive rebound by S. Adams
4:19.0,,,103-103,,R. Westbrook misses 3-pt shot from 24 ft
4:19.0,Defensive rebound by Team,,103-103,,
4:01.0,J. Teague makes 3-pt shot from 25 ft (assist by G. Robinson),3,106-103,,
3:46.0,,,106-105,2,R. Westbrook makes 2-pt shot from 15 ft
3:27.0,G. Robinson makes 2-pt shot from 1 ft (assist by J. Teague),2,108-105,,
3:12.0,,,108-105,,R. Westbrook misses 2-pt shot from 2 ft (block by M. Turner)
3:11.0,Defensive rebound by T. Young,,108-105,,
3:04.0,Indiana full timeout,,108-105,,
2:49.0,T. Young misses 2-pt shot at rim,,108-105,,
2:48.0,,,108-105,,Defensive rebound by J. Lauvergne
2:39.0,,,108-105,,R. Westbrook misses 2-pt shot from 16 ft
2:38.0,Defensive rebound by M. Turner,,108-105,,
2:22.0,M. Ellis misses 2-pt shot from 12 ft,,108-105,,
2:21.0,,,108-105,,Defensive rebound by R. Westbrook
2:16.0,,,108-105,,Oklahoma City full timeout
2:16.0,,,108-105,,A. Morrow enters the game for A. Roberson
2:05.0,,,108-105,,J. Lauvergne misses 3-pt shot from 24 ft
2:03.0,Defensive rebound by G. Robinson,,108-105,,
2:03.0,,,108-105,,A. Roberson enters the game for A. Morrow
2:01.0,Jump ball: G. Robinson vs. R. Westbrook,,,,Jump ball: G. Robinson vs. R. Westbrook
1:39.0,Turnover by M. Ellis (traveling),,108-105,,
1:39.0,,,108-105,,A. Morrow enters the game for A. Roberson
1:32.0,,,108-105,,Turnover by R. Westbrook (bad pass; steal by M. Turner)
1:28.0,G. Robinson makes 2-pt shot at rim (assist by J. Teague),2,110-105,,
1:28.0,,,110-105,,Oklahoma City full timeout
1:20.0,,,110-107,2,R. Westbrook makes 2-pt shot from 12 ft
1:09.0,Shooting foul by V. Oladipo (drawn by J. Teague),,110-107,,
1:09.0,J. Teague makes 2-pt shot from 6 ft,2,112-107,,
1:09.0,J. Teague makes free throw 1 of 1,1,113-107,,
1:00.0,,,113-109,2,A. Morrow makes 2-pt shot from 10 ft
0:36.0,Turnover by M. Ellis (bad pass),,113-109,,
0:29.0,,,113-109,,A. Morrow misses 3-pt shot from 24 ft
0:27.0,,,113-109,,Offensive rebound by J. Lauvergne
0:20.0,,,113-111,2,V. Oladipo makes 2-pt shot from 14 ft
0:19.0,,,113-111,,Personal take foul by R. Westbrook (drawn by J. Teague)
0:19.0,J. Teague makes free throw 1 of 2,1,114-111,,
0:19.0,J. Teague makes free throw 2 of 2,1,115-111,,
0:19.0,,,115-111,,Oklahoma City full timeout
0:16.0,,,115-111,,V. Oladipo misses 3-pt shot from 24 ft
0:15.0,,,115-111,,Offensive rebound by R. Westbrook
0:14.0,,,115-111,,R. Westbrook misses 2-pt shot from 2 ft
0:12.0,,,115-111,,Offensive rebound by S. Adams
0:12.0,,,115-111,,S. Adams misses 2-pt shot from 1 ft (block by M. Turner)
0:11.0,,,115-111,,Offensive rebound by S. Adams
0:11.0,,,115-111,,S. Adams misses 2-pt shot from 1 ft
0:10.0,,,115-111,,Offensive rebound by R. Westbrook
0:08.0,,,115-111,,A. Morrow misses 3-pt shot from 25 ft
0:06.0,Defensive rebound by Team,,115-111,,
0:06.0,,,115-111,,A. Roberson enters the game for A. Morrow
0:06.0,Indiana full timeout,,115-111,,
0:06.0,R. Stuckey enters the game for T. Young,,115-111,,
0:06.0,,,115-111,,J. Grant enters the game for J. Lauvergne
0:06.0,Indiana full timeout,,115-111,,
0:05.0,,,115-111,,Personal take foul by J. Grant (drawn by R. Stuckey)
0:05.0,R. Stuckey misses free throw 1 of 2,,115-111,,
0:05.0,Offensive rebound by Team,,115-111,,
0:05.0,R. Stuckey misses free throw 2 of 2,,115-111,,
0:05.0,,,115-111,,Defensive rebound by R. Westbrook
0:05.0,,,115-111,,A. Morrow enters the game for A. Roberson
0:05.0,T. Young enters the game for M. Turner,,115-111,,
0:05.0,,,115-111,,A. Abrines enters the game for J. Grant
0:00.0,,,115-111,,R. Westbrook misses 3-pt shot from 30 ft
0:00.0,,,115-111,,Offensive rebound by Team
0:00.0,End of 1st overtime,,,,End of 1st overtime
