time,Portland,pts.away,score,pts.home,Charlotte
4:12.0,,,80-100,2,K. Walker makes 2-pt shot at rim (assist by N. Batum)
4:10.0,Portland full timeout,,80-100,,
4:10.0,M. Leonard enters the game for A. Aminu,,80-100,,
4:10.0,N. Vonleh enters the game for M. Harkless,,80-100,,
4:10.0,J. Layman enters the game for M. Plumlee,,80-100,,
4:10.0,P. Connaughton enters the game for C. McCollum,,80-100,,
4:10.0,S. Napier enters the game for D. Lillard,,80-100,,
3:50.0,N. Vonleh misses 2-pt shot from 3 ft,,80-100,,
3:49.0,,,80-100,,Defensive rebound by M. Williams
3:31.0,,,80-100,,M. Williams misses 3-pt shot from 25 ft
3:29.0,Defensive rebound by N. Vonleh,,80-100,,
3:06.0,N. Vonleh misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist),,80-100,,
3:06.0,Offensive rebound by P. Connaughton,,80-100,,
3:06.0,Turnover by Team (shot clock),,80-100,,
3:06.0,,,80-100,,R. Hibbert enters the game for M. Kidd-Gilchrist
3:06.0,,,80-100,,B. Roberts enters the game for M. Williams
3:06.0,,,80-100,,T. Graham enters the game for C. Zeller
3:06.0,,,80-100,,F. Kaminsky enters the game for N. Batum
3:06.0,,,80-100,,R. Sessions enters the game for K. Walker
2:51.0,,,80-100,,R. Sessions misses 2-pt shot from 8 ft
2:49.0,,,80-100,,Offensive rebound by R. Hibbert
2:49.0,,,80-102,2,R. Hibbert makes 2-pt shot at rim
2:33.0,S. Napier misses 3-pt shot from 25 ft,,80-102,,
2:30.0,,,80-102,,Defensive rebound by R. Hibbert
2:25.0,,,80-105,3,F. Kaminsky makes 3-pt shot from 24 ft (assist by R. Sessions)
2:01.0,Turnover by S. Napier (bad pass; steal by B. Roberts),,80-105,,
1:45.0,,,80-105,,R. Sessions misses 3-pt shot from 24 ft
1:43.0,Defensive rebound by M. Leonard,,80-105,,
1:30.0,M. Leonard makes 2-pt shot from 16 ft (assist by P. Connaughton),2,82-105,,
1:11.0,,,82-105,,F. Kaminsky misses 3-pt shot from 23 ft
1:10.0,Defensive rebound by S. Napier,,82-105,,
1:03.0,P. Connaughton misses 3-pt shot from 25 ft,,82-105,,
1:02.0,,,82-105,,Defensive rebound by R. Sessions
0:56.0,,,82-107,2,R. Sessions makes 2-pt shot from 1 ft
0:42.0,M. Leonard misses 2-pt shot from 17 ft,,82-107,,
0:41.0,,,82-107,,Defensive rebound by F. Kaminsky
0:24.0,,,82-107,,T. Graham misses 2-pt shot from 16 ft (block by J. Layman)
0:19.0,Defensive rebound by P. Connaughton,,82-107,,
0:12.0,M. Leonard makes 3-pt shot from 27 ft (assist by J. Layman),3,85-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
