time,Detroit,pts.away,score,pts.home,Oklahoma City
2:23.0,,,86-98,,Shooting foul by M. Morris (drawn by V. Oladipo)
2:23.0,,,86-98,,Oklahoma City full timeout
2:23.0,,,86-99,1,V. Oladipo makes free throw 1 of 2
2:23.0,,,86-99,,V. Oladipo misses free throw 2 of 2
2:23.0,Defensive rebound by A. Drummond,,86-99,,
2:11.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,86-99,,
2:11.0,,,86-99,,Defensive rebound by S. Adams
1:55.0,,,86-99,,J. Grant misses 3-pt shot from 25 ft
1:53.0,,,86-99,,Offensive rebound by S. Adams
1:46.0,,,86-99,,R. Westbrook misses 3-pt shot from 24 ft
1:45.0,Defensive rebound by M. Morris,,86-99,,
1:34.0,K. Caldwell-Pope misses 2-pt shot from 14 ft,,86-99,,
1:34.0,,,86-99,,Defensive rebound by V. Oladipo
1:17.0,,,86-102,3,A. Morrow makes 3-pt shot from 22 ft (assist by V. Oladipo)
1:09.0,Turnover by I. Smith (bad pass; steal by S. Adams),,86-102,,
0:51.0,,,86-104,2,V. Oladipo makes 2-pt shot from 15 ft
0:49.0,,,86-104,,Personal take foul by R. Westbrook (drawn by I. Smith)
0:49.0,,,86-104,,A. Abrines enters the game for S. Adams
0:49.0,,,86-104,,D. Sabonis enters the game for V. Oladipo
0:49.0,,,86-104,,S. Christon enters the game for R. Westbrook
0:49.0,D. Hilliard enters the game for K. Caldwell-Pope,,86-104,,
0:33.0,T. Harris makes 2-pt shot from 8 ft,2,88-104,,
0:15.0,,,88-106,2,J. Grant makes 2-pt shot from 2 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
