time,Milwaukee,pts.away,score,pts.home,Orlando
4:35.0,Shooting foul by N. Vucevic (drawn by G. Antetokounmpo),,69-65,,
4:35.0,G. Antetokounmpo makes free throw 1 of 2,1,70-65,,
4:35.0,G. Antetokounmpo misses free throw 2 of 2,,70-65,,
4:35.0,J. Terry enters the game for J. Parker,,70-65,,
4:34.0,,,70-65,,Defensive rebound by S. Ibaka
4:10.0,,,70-65,,S. Ibaka misses 3-pt shot from 25 ft
4:08.0,Defensive rebound by J. Terry,,70-65,,
3:58.0,G. Monroe misses 2-pt shot from 3 ft (block by S. Ibaka),,70-65,,
3:56.0,Offensive rebound by G. Monroe,,70-65,,
3:50.0,T. Snell makes 2-pt shot from 6 ft,2,72-65,,
3:37.0,,,72-65,,E. Fournier misses 3-pt shot from 24 ft
3:36.0,,,72-65,,Offensive rebound by N. Vucevic
3:31.0,,,72-65,,S. Ibaka misses 3-pt shot from 25 ft
3:30.0,Defensive rebound by G. Monroe,,72-65,,
3:21.0,T. Snell misses 3-pt shot from 25 ft,,72-65,,
3:20.0,,,72-65,,Defensive rebound by N. Vucevic
3:09.0,,,72-65,,N. Vucevic misses 2-pt shot from 20 ft
3:07.0,Defensive rebound by G. Antetokounmpo,,72-65,,
2:52.0,,,72-65,,Loose ball foul by C. Watson (drawn by M. Brogdon)
2:43.0,G. Monroe makes 2-pt shot from 6 ft (assist by M. Brogdon),2,74-65,,
2:22.0,,,74-67,2,E. Fournier makes 2-pt shot from 3 ft
1:57.0,T. Snell misses 3-pt shot from 23 ft,,74-67,,
1:56.0,,,74-67,,Defensive rebound by E. Payton
1:51.0,Personal foul by M. Brogdon (drawn by E. Payton),,74-67,,
1:51.0,,,74-67,,B. Biyombo enters the game for S. Ibaka
1:51.0,M. Dellavedova enters the game for T. Snell,,74-67,,
1:41.0,,,74-69,2,E. Fournier makes 2-pt shot at rim (assist by B. Biyombo)
1:20.0,M. Brogdon misses 3-pt shot from 25 ft,,74-69,,
1:19.0,,,74-69,,Defensive rebound by N. Vucevic
1:13.0,,,74-69,,Turnover by C. Watson (lost ball; steal by G. Antetokounmpo)
1:07.0,J. Terry misses 2-pt shot from 10 ft,,74-69,,
1:05.0,Offensive rebound by G. Monroe,,74-69,,
0:51.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,74-69,,
