time,Indiana,pts.away,score,pts.home,New Orleans
4:55.0,J. Teague makes 2-pt shot from 8 ft,2,38-35,,
4:49.0,Personal foul by P. George (drawn by J. Holiday),,38-35,,
4:49.0,Technical foul by P. George (drawn by J. Holiday),,38-35,,
4:49.0,,,38-36,1,A. Davis makes technical free throw
4:31.0,,,38-36,,B. Hield misses 2-pt shot from 2 ft
4:28.0,,,38-36,,Offensive rebound by A. Davis
4:28.0,,,38-36,,A. Davis misses 2-pt shot at rim
4:26.0,Defensive rebound by T. Young,,38-36,,
4:24.0,Shooting foul by J. Holiday (drawn by M. Turner),,38-36,,
4:24.0,M. Turner makes free throw 1 of 2,1,39-36,,
4:24.0,M. Turner makes free throw 2 of 2,1,40-36,,
4:08.0,,,40-36,,B. Hield misses 3-pt shot from 26 ft
4:07.0,Defensive rebound by M. Turner,,40-36,,
4:01.0,Shooting foul by J. Holiday (drawn by J. Teague),,40-36,,
4:01.0,J. Teague makes free throw 1 of 2,1,41-36,,
4:01.0,J. Teague misses free throw 2 of 2,,41-36,,
3:59.0,,,41-36,,Defensive rebound by L. Galloway
3:44.0,,,41-36,,A. Davis misses 2-pt shot from 16 ft
3:44.0,,,41-36,,Offensive rebound by Team
3:44.0,Loose ball foul by P. George (drawn by S. Hill),,41-36,,
3:37.0,,,41-36,,J. Holiday misses 3-pt shot from 23 ft
3:36.0,Defensive rebound by J. Teague,,41-36,,
3:30.0,Turnover by P. George (bad pass; steal by L. Galloway),,41-36,,
3:24.0,,,41-38,2,L. Galloway makes 2-pt shot from 2 ft
3:07.0,P. George makes 3-pt shot from 23 ft (assist by J. Teague),3,44-38,,
2:55.0,,,44-38,,Turnover by A. Davis (traveling)
2:55.0,,,44-38,,New Orleans full timeout
2:43.0,J. Teague misses 2-pt shot from 4 ft (block by A. Davis),,44-38,,
2:41.0,,,44-38,,Defensive rebound by A. Davis
2:34.0,,,44-38,,L. Galloway misses 3-pt shot from 25 ft
2:29.0,Defensive rebound by J. Teague,,44-38,,
2:26.0,J. Teague makes 2-pt shot from 2 ft,2,46-38,,
2:15.0,Personal foul by G. Robinson (drawn by J. Holiday),,46-38,,
2:15.0,C. Miles enters the game for P. George,,46-38,,
2:08.0,,,46-40,2,A. Davis makes 2-pt shot at rim (assist by B. Hield)
1:47.0,M. Turner makes 2-pt shot from 17 ft (assist by G. Robinson),2,48-40,,
1:37.0,,,48-42,2,J. Holiday makes 2-pt shot from 2 ft
1:37.0,,,48-42,,Shooting foul by M. Turner (drawn by J. Holiday)
1:37.0,,,48-42,,J. Holiday misses free throw 1 of 1
1:37.0,,,48-42,,T. Jones enters the game for A. Davis
1:36.0,Defensive rebound by M. Turner,,48-42,,
1:26.0,T. Young misses 2-pt shot from 3 ft,,48-42,,
1:26.0,,,48-42,,Defensive rebound by T. Jones
1:16.0,,,48-42,,L. Galloway misses 3-pt shot from 26 ft
1:16.0,Defensive rebound by T. Young,,48-42,,
1:05.0,C. Miles misses 3-pt shot from 24 ft,,48-42,,
1:04.0,,,48-42,,Defensive rebound by T. Jones
0:58.0,,,48-42,,Shooting foul by C. Miles (drawn by S. Hill)
0:58.0,,,48-43,1,S. Hill makes free throw 1 of 2
0:58.0,,,48-44,1,S. Hill makes free throw 2 of 2
0:58.0,,,48-43,,E. Moore enters the game for J. Holiday
0:46.0,Turnover by T. Young (bad pass),,48-44,,
0:36.0,,,48-46,2,T. Jones makes 2-pt shot from 20 ft (assist by E. Moore)
0:30.0,J. Teague makes 2-pt shot from 5 ft,2,50-46,,
0:08.0,,,50-46,,E. Moore misses 2-pt shot from 3 ft
0:07.0,,,50-46,,Offensive rebound by S. Hill
0:04.0,,,50-46,,B. Hield misses 2-pt shot from 22 ft
0:03.0,,,50-46,,Offensive rebound by T. Jones
0:00.0,,,50-46,,Turnover by T. Jones (lost ball; steal by T. Young)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,P. George misses 2-pt shot from 4 ft (block by A. Davis),,50-46,,
11:43.0,,,50-46,,Defensive rebound by J. Holiday
11:26.0,,,50-46,,B. Hield misses 2-pt shot from 3 ft (block by G. Robinson)
11:24.0,,,50-46,,Offensive rebound by B. Hield
11:21.0,,,50-48,2,B. Hield makes 2-pt shot from 2 ft
11:07.0,M. Turner makes 2-pt shot from 22 ft (assist by J. Teague),2,52-48,,
10:50.0,,,52-48,,Turnover by J. Holiday (lost ball; steal by G. Robinson)
10:39.0,J. Teague makes 2-pt shot from 6 ft,2,54-48,,
10:24.0,,,54-51,3,B. Hield makes 3-pt shot from 26 ft (assist by J. Holiday)
10:08.0,J. Teague misses 3-pt shot from 24 ft,,54-51,,
10:08.0,,,54-51,,Defensive rebound by A. Davis
9:53.0,,,54-51,,Shooting foul by J. Teague (drawn by A. Davis)
9:53.0,,,54-52,1,A. Davis makes free throw 1 of 2
