time,New York,pts.away,score,pts.home,Detroit
3:16.0,Defensive rebound by W. Hernangomez,,88-104,,
3:06.0,D. Rose makes 2-pt shot from 1 ft,2,90-104,,
3:02.0,Personal take foul by W. Hernangomez (drawn by A. Drummond),,90-104,,
3:02.0,,,90-104,,A. Drummond misses free throw 1 of 2
3:02.0,,,90-104,,Offensive rebound by Team
3:02.0,,,90-105,1,A. Drummond makes free throw 2 of 2
3:00.0,,,90-105,,Personal foul by K. Caldwell-Pope (drawn by D. Rose)
3:00.0,,,90-105,,A. Baynes enters the game for A. Drummond
2:44.0,D. Rose misses 3-pt shot from 26 ft,,90-105,,
2:44.0,,,90-105,,Defensive rebound by T. Harris
2:30.0,,,90-108,3,R. Jackson makes 3-pt shot from 26 ft
2:12.0,W. Hernangomez misses 2-pt shot from 1 ft,,90-108,,
2:11.0,,,90-108,,Defensive rebound by A. Baynes
1:50.0,,,90-108,,M. Morris misses 3-pt shot from 27 ft
1:50.0,Defensive rebound by K. Porzingis,,90-108,,
1:50.0,New York full timeout,,90-108,,
1:50.0,,,90-108,,Detroit full timeout
1:50.0,R. Baker enters the game for C. Anthony,,90-108,,
1:50.0,M. Plumlee enters the game for W. Hernangomez,,90-108,,
1:50.0,M. Kuzminskas enters the game for K. Porzingis,,90-108,,
1:50.0,S. Vujacic enters the game for C. Lee,,90-108,,
1:50.0,J. Holiday enters the game for D. Rose,,90-108,,
1:50.0,,,90-108,,I. Smith enters the game for M. Morris
1:50.0,,,90-108,,S. Johnson enters the game for T. Harris
1:50.0,,,90-108,,J. Leuer enters the game for K. Caldwell-Pope
1:50.0,,,90-108,,D. Hilliard enters the game for R. Jackson
1:34.0,Turnover by R. Baker (bad pass),,90-108,,
1:16.0,,,90-108,,J. Leuer misses 2-pt shot from 11 ft
1:16.0,Defensive rebound by M. Plumlee,,90-108,,
1:12.0,M. Kuzminskas makes 2-pt shot at rim (assist by S. Vujacic),2,92-108,,
0:54.0,,,92-110,2,D. Hilliard makes 2-pt shot from 18 ft
0:43.0,Turnover by S. Vujacic (bad pass; steal by D. Hilliard),,92-110,,
0:23.0,,,92-112,2,S. Johnson makes 2-pt shot from 16 ft
0:10.0,M. Kuzminskas misses 2-pt shot from 9 ft,,92-112,,
0:09.0,,,92-112,,Defensive rebound by D. Hilliard
0:00.0,End of 4th quarter,,,,End of 4th quarter
