time,Boston,pts.away,score,pts.home,Dallas
1:48.0,Turnover by J. Crowder (offensive foul),,108-94,,
1:48.0,T. Rozier enters the game for J. Crowder,,108-94,,
1:33.0,,,108-94,,S. Curry misses 3-pt shot from 25 ft
1:33.0,,,108-94,,Offensive rebound by Team
1:33.0,Loose ball foul by K. Olynyk (drawn by D. Nowitzki),,108-94,,
1:33.0,,,108-95,1,D. Nowitzki makes free throw 1 of 2
1:33.0,,,108-96,1,D. Nowitzki makes free throw 2 of 2
1:13.0,K. Olynyk misses 3-pt shot from 25 ft,,108-96,,
1:12.0,,,108-96,,Defensive rebound by D. Nowitzki
1:06.0,,,108-96,,D. Nowitzki misses 3-pt shot from 27 ft
1:06.0,Defensive rebound by Team,,108-96,,
1:06.0,,,108-96,,D. Finney-Smith enters the game for W. Matthews
1:06.0,,,108-96,,D. Powell enters the game for H. Barnes
1:06.0,,,108-96,,J. Anderson enters the game for D. Nowitzki
1:06.0,J. Mickey enters the game for A. Horford,,108-96,,
1:06.0,,,108-96,,N. Brussino enters the game for S. Curry
0:49.0,Turnover by M. Smart (bad pass),,108-96,,
0:41.0,,,108-96,,N. Brussino misses 3-pt shot from 24 ft
0:39.0,Defensive rebound by J. Mickey,,108-96,,
0:19.0,J. Young makes 3-pt shot from 25 ft (assist by M. Smart),3,111-96,,
0:12.0,,,111-98,2,J. Anderson makes 2-pt shot from 8 ft (assist by Y. Ferrell)
0:00.0,End of 4th quarter,,,,End of 4th quarter
