time,Miami,pts.away,score,pts.home,New Orleans
1:38.0,J. Winslow misses 2-pt shot from 6 ft,,81-83,,
1:38.0,,,81-83,,Defensive rebound by A. Davis
1:33.0,,,81-85,2,J. Holiday makes 2-pt shot from 2 ft
1:33.0,Miami full timeout,,81-85,,
1:33.0,J. Richardson enters the game for J. Johnson,,81-85,,
1:25.0,G. Dragic misses 2-pt shot from 4 ft (block by A. Davis),,81-85,,
1:21.0,Offensive rebound by H. Whiteside,,81-85,,
1:17.0,H. Whiteside makes 2-pt shot from 3 ft,2,83-85,,
1:13.0,,,83-88,3,L. Galloway makes 3-pt shot from 25 ft (assist by J. Holiday)
1:07.0,G. Dragic makes 2-pt shot from 22 ft (assist by J. Richardson),2,85-88,,
1:00.0,,,85-90,2,J. Holiday makes 2-pt shot from 3 ft
0:49.0,T. Johnson misses 2-pt shot from 12 ft,,85-90,,
0:49.0,,,85-90,,Defensive rebound by Team
0:49.0,Personal foul by H. Whiteside (drawn by A. Davis),,85-90,,
0:49.0,,,85-90,,A. Davis misses free throw 1 of 2
0:49.0,,,85-90,,Offensive rebound by Team
0:49.0,,,85-90,,A. Davis misses free throw 2 of 2
0:48.0,Defensive rebound by J. Winslow,,85-90,,
0:48.0,Miami full timeout,,85-90,,
0:47.0,,,85-90,,Personal foul by L. Galloway (drawn by T. Johnson)
0:42.0,T. Johnson makes 2-pt shot from 3 ft (assist by J. Richardson),2,87-90,,
0:25.0,,,87-90,,J. Holiday misses 2-pt shot from 2 ft
0:24.0,,,87-90,,Offensive rebound by A. Davis
0:21.0,,,87-90,,A. Davis misses 2-pt shot from 1 ft
0:18.0,,,87-90,,Offensive rebound by A. Davis
0:18.0,,,87-90,,A. Davis misses 2-pt shot from 1 ft
0:16.0,Defensive rebound by H. Whiteside,,87-90,,
0:16.0,T. Johnson misses 2-pt shot from 4 ft,,87-90,,
0:16.0,Offensive rebound by H. Whiteside,,87-90,,
0:16.0,,,87-90,,Personal foul by D. Cunningham (drawn by H. Whiteside)
0:16.0,H. Whiteside misses free throw 1 of 2,,87-90,,
0:16.0,Offensive rebound by Team,,87-90,,
0:16.0,H. Whiteside misses free throw 2 of 2,,87-90,,
0:16.0,,,87-90,,A. Ajinca enters the game for E. Moore
0:15.0,,,87-90,,Defensive rebound by A. Davis
0:15.0,,,87-90,,New Orleans full timeout
0:15.0,,,87-90,,E. Moore enters the game for D. Cunningham
0:15.0,,,87-90,,B. Hield enters the game for A. Ajinca
0:15.0,J. Johnson enters the game for H. Whiteside,,87-90,,
0:15.0,,,87-90,,New Orleans full timeout
0:09.0,Personal foul by J. Johnson (drawn by J. Holiday),,87-90,,
0:09.0,,,87-90,,J. Holiday misses free throw 1 of 2
0:09.0,,,87-90,,Offensive rebound by Team
0:09.0,,,87-91,1,J. Holiday makes free throw 2 of 2
0:09.0,Miami full timeout,,87-91,,
0:09.0,H. Whiteside enters the game for G. Dragic,,87-90,,
0:09.0,G. Dragic enters the game for H. Whiteside,,87-91,,
0:09.0,,,87-91,,S. Hill enters the game for B. Hield
0:09.0,,,87-91,,D. Cunningham enters the game for L. Galloway
0:05.0,J. Richardson misses 2-pt shot from 2 ft,,87-91,,
0:04.0,Offensive rebound by J. Johnson,,87-91,,
0:00.0,Turnover by J. Johnson (bad pass; steal by J. Holiday),,87-91,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
