time,Oklahoma City,pts.away,score,pts.home,Phoenix
4:36.0,,,87-112,1,D. Booker makes free throw 1 of 1
4:36.0,,,87-112,,Personal foul by A. Len (drawn by S. Adams)
4:36.0,Personal foul by S. Adams,,87-112,,
4:24.0,D. McDermott makes 3-pt shot from 25 ft (assist by R. Westbrook),3,90-112,,
4:01.0,,,90-112,,D. Booker misses 3-pt shot from 25 ft
4:00.0,Defensive rebound by D. McDermott,,90-112,,
3:47.0,D. McDermott misses 3-pt shot from 25 ft,,90-112,,
3:46.0,Offensive rebound by S. Adams,,90-112,,
3:44.0,Shooting foul by A. Len (drawn by D. McDermott),,90-112,,
3:44.0,D. McDermott makes free throw 1 of 2,1,91-112,,
3:44.0,D. McDermott misses free throw 2 of 2,,91-112,,
3:44.0,,,91-112,,Defensive rebound by Team
3:44.0,Violation by K. Singler (kicked ball),,91-112,,
3:44.0,,,90-112,,A. Williams enters the game for A. Len
3:27.0,,,91-112,,J. Dudley misses 2-pt shot from 19 ft
3:26.0,Defensive rebound by D. McDermott,,91-112,,
3:08.0,K. Singler misses 3-pt shot from 26 ft,,91-112,,
3:08.0,Offensive rebound by R. Westbrook,,91-112,,
3:06.0,Shooting foul by A. Williams (drawn by S. Adams),,91-112,,
3:06.0,S. Adams makes free throw 1 of 2,1,92-112,,
3:06.0,S. Adams makes free throw 2 of 2,1,93-112,,
2:42.0,,,93-114,2,D. Booker makes 2-pt shot from 22 ft
2:35.0,,,93-114,,Personal take foul by T. Ulis (drawn by R. Westbrook)
2:35.0,Official timeout,,93-114,,
2:35.0,R. Westbrook makes free throw 1 of 2,1,94-114,,
2:35.0,R. Westbrook makes free throw 2 of 2,1,95-114,,
2:34.0,Personal take foul by R. Westbrook (drawn by D. Booker),,95-114,,
2:34.0,,,95-115,1,D. Booker makes free throw 1 of 2
2:34.0,,,95-116,1,D. Booker makes free throw 2 of 2
2:34.0,D. Sabonis enters the game for S. Adams,,95-115,,
2:34.0,S. Christon enters the game for R. Westbrook,,95-115,,
2:17.0,J. Grant misses 2-pt shot from 19 ft,,95-116,,
2:15.0,Offensive rebound by K. Singler,,95-116,,
2:15.0,K. Singler makes 2-pt shot from 1 ft,2,97-116,,
1:54.0,,,97-116,,D. Booker misses 2-pt shot from 2 ft
1:53.0,Defensive rebound by D. McDermott,,97-116,,
1:46.0,Shooting foul by J. Dudley (drawn by J. Grant),,97-116,,
1:46.0,J. Grant makes free throw 1 of 2,1,98-116,,
1:46.0,J. Grant misses free throw 2 of 2,,98-116,,
1:46.0,,,98-116,,D. Bender enters the game for J. Dudley
1:46.0,,,98-116,,M. Chriss enters the game for D. Booker
1:44.0,,,98-116,,Defensive rebound by A. Williams
1:26.0,,,98-116,,D. Bender misses 3-pt shot from 25 ft
1:26.0,Defensive rebound by J. Grant,,98-116,,
1:12.0,S. Christon misses 2-pt shot from 17 ft,,98-116,,
1:12.0,Offensive rebound by Team,,98-116,,
1:12.0,,,98-116,,Loose ball foul by A. Williams (drawn by D. Sabonis)
1:12.0,D. Sabonis misses free throw 1 of 2,,98-116,,
1:12.0,Offensive rebound by Team,,98-116,,
1:12.0,D. Sabonis makes free throw 2 of 2,1,99-116,,
0:52.0,,,99-116,,T. Warren misses 2-pt shot from 9 ft
0:52.0,,,99-116,,Offensive rebound by Team
0:52.0,Loose ball foul by D. Sabonis (drawn by M. Chriss),,99-116,,
0:52.0,,,99-117,1,M. Chriss makes free throw 1 of 2
0:52.0,,,99-118,1,M. Chriss makes free throw 2 of 2
0:44.0,D. McDermott misses 3-pt shot from 26 ft,,99-118,,
0:43.0,,,99-118,,Defensive rebound by T. Warren
0:21.0,,,99-118,,D. Bender misses 3-pt shot from 24 ft
0:21.0,,,99-118,,Offensive rebound by T. Warren
0:16.0,Personal foul by J. Grant,,99-118,,
0:16.0,,,99-119,1,T. Warren makes free throw 1 of 2
0:16.0,,,99-120,1,T. Warren makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
