time,Brooklyn,pts.away,score,pts.home,Golden State
8:57.0,,,79-93,,Shooting foul by T. Booker (drawn by J. McAdoo)
8:57.0,,,79-93,,J. McAdoo misses free throw 1 of 2
8:57.0,,,79-93,,Offensive rebound by Team
8:57.0,,,79-93,,J. McAdoo misses free throw 2 of 2
8:56.0,Defensive rebound by B. Lopez,,79-93,,
8:42.0,I. Whitehead makes 2-pt shot at rim (assist by B. Lopez),2,81-93,,
8:30.0,,,81-93,,S. Livingston misses 2-pt shot from 14 ft
8:30.0,Defensive rebound by S. Kilpatrick,,81-93,,
8:12.0,S. Kilpatrick misses 2-pt shot from 7 ft (block by A. Iguodala),,81-93,,
8:12.0,Offensive rebound by Team,,81-93,,
8:04.0,S. Kilpatrick misses 3-pt shot from 52 ft,,81-93,,
8:04.0,Offensive rebound by Team,,81-93,,
8:04.0,Turnover by Team (shot clock),,81-93,,
7:45.0,,,81-95,2,S. Livingston makes 2-pt shot from 14 ft
7:35.0,T. Booker makes 2-pt shot from 1 ft (assist by S. Kilpatrick),2,83-95,,
7:11.0,,,83-95,,D. West misses 2-pt shot from 19 ft
7:11.0,Defensive rebound by I. Whitehead,,83-95,,
6:59.0,T. Booker misses 2-pt shot from 3 ft (block by D. West),,83-95,,
6:58.0,,,83-95,,Defensive rebound by D. West
6:54.0,,,83-97,2,J. McAdoo makes 2-pt shot at rim (assist by A. Iguodala)
6:54.0,Brooklyn full timeout,,83-97,,
6:54.0,,,83-97,,I. Clark enters the game for K. Thompson
6:54.0,,,83-97,,S. Curry enters the game for A. Iguodala
6:54.0,R. Foye enters the game for S. Kilpatrick,,83-97,,
6:54.0,J. Harris enters the game for I. Whitehead,,83-97,,
6:41.0,Shooting foul by D. West (drawn by B. Lopez),,83-97,,
6:41.0,B. Lopez misses free throw 1 of 2,,83-97,,
6:41.0,Offensive rebound by Team,,83-97,,
6:41.0,B. Lopez makes free throw 2 of 2,1,84-97,,
6:18.0,,,84-97,,Turnover by S. Livingston (lost ball; steal by B. Lopez)
6:14.0,S. Dinwiddie makes 2-pt shot at rim (assist by B. Lopez),2,86-97,,
5:54.0,,,86-97,,D. West misses 2-pt shot from 16 ft
5:52.0,Defensive rebound by T. Booker,,86-97,,
5:43.0,B. Lopez makes 3-pt shot from 26 ft (assist by S. Dinwiddie),3,89-97,,
5:21.0,,,89-99,2,S. Curry makes 2-pt shot from 22 ft
5:10.0,Shooting foul by D. West (drawn by S. Dinwiddie),,89-99,,
5:10.0,S. Dinwiddie makes free throw 1 of 3,1,90-99,,
5:10.0,S. Dinwiddie makes free throw 2 of 3,1,91-99,,
5:10.0,S. Dinwiddie misses free throw 3 of 3,,91-99,,
5:10.0,,,91-99,,Z. Pachulia enters the game for D. West
5:09.0,,,91-99,,Defensive rebound by Z. Pachulia
4:45.0,,,91-99,,S. Curry misses 2-pt shot from 3 ft
4:45.0,Defensive rebound by B. Lopez,,91-99,,
4:38.0,S. Dinwiddie misses 2-pt shot from 2 ft,,91-99,,
4:38.0,,,91-99,,Defensive rebound by S. Livingston
4:24.0,,,91-99,,I. Clark misses 3-pt shot from 25 ft
4:23.0,Defensive rebound by R. Foye,,91-99,,
4:13.0,B. Lopez misses 3-pt shot from 27 ft,,91-99,,
4:13.0,Offensive rebound by T. Booker,,91-99,,
4:02.0,Turnover by R. Foye (bad pass; steal by S. Curry),,91-99,,
4:01.0,Personal foul by S. Dinwiddie (drawn by Z. Pachulia),,91-99,,
4:01.0,,,91-99,,A. Iguodala enters the game for J. McAdoo
4:01.0,,,91-99,,P. McCaw enters the game for S. Livingston
4:01.0,S. Kilpatrick enters the game for S. Dinwiddie,,91-99,,
3:47.0,,,91-99,,S. Curry misses 3-pt shot from 26 ft
3:47.0,Defensive rebound by T. Booker,,91-99,,
3:40.0,R. Foye misses 3-pt shot from 23 ft,,91-99,,
3:40.0,,,91-99,,Defensive rebound by P. McCaw
3:31.0,,,91-99,,I. Clark misses 3-pt shot from 26 ft
3:31.0,Defensive rebound by Team,,91-99,,
3:31.0,,,91-99,,Loose ball foul by Z. Pachulia (drawn by B. Lopez)
3:31.0,I. Whitehead enters the game for R. Foye,,91-99,,
3:21.0,B. Lopez misses 2-pt shot from 4 ft,,91-99,,
3:20.0,,,91-99,,Defensive rebound by Team
3:20.0,Loose ball foul by T. Booker (drawn by A. Iguodala),,91-99,,
3:20.0,,,91-99,,K. Thompson enters the game for I. Clark
2:59.0,,,91-101,2,S. Curry makes 2-pt shot from 3 ft
2:59.0,,,91-101,,Shooting foul by B. Lopez (drawn by S. Curry)
2:59.0,Official timeout,,91-101,,
2:59.0,,,91-102,1,S. Curry makes free throw 1 of 1
2:45.0,B. Lopez misses 2-pt shot from 2 ft,,91-102,,
2:45.0,,,91-102,,Defensive rebound by Team
2:31.0,,,91-105,3,S. Curry makes 3-pt shot from 26 ft (assist by K. Thompson)
2:20.0,I. Whitehead misses 2-pt shot from 8 ft,,91-105,,
2:20.0,,,91-105,,Defensive rebound by Team
2:20.0,,,91-105,,B. Weber enters the game for S. Curry
2:04.0,,,91-108,3,P. McCaw makes 3-pt shot from 25 ft (assist by Z. Pachulia)
1:47.0,I. Whitehead misses 2-pt shot from 4 ft,,91-108,,
1:46.0,,,91-108,,Defensive rebound by B. Weber
1:39.0,,,91-110,2,B. Weber makes 2-pt shot from 1 ft (assist by A. Iguodala)
1:39.0,Brooklyn full timeout,,91-110,,
1:39.0,J. Hamilton enters the game for J. Harris,,91-110,,
1:39.0,K. McDaniels enters the game for B. Lopez,,91-110,,
1:39.0,,,91-110,,I. Clark enters the game for Z. Pachulia
1:39.0,,,91-110,,K. Looney enters the game for K. Thompson
1:39.0,,,91-110,,J. McAdoo enters the game for A. Iguodala
1:22.0,T. Booker makes 2-pt shot from 5 ft (assist by I. Whitehead),2,93-110,,
1:06.0,,,93-110,,P. McCaw misses 3-pt shot from 26 ft
1:06.0,Defensive rebound by Team,,93-110,,
0:53.0,Turnover by I. Whitehead (bad pass; steal by B. Weber),,93-110,,
0:48.0,,,93-112,2,B. Weber makes 2-pt shot from 17 ft
0:33.0,T. Booker makes 2-pt shot from 1 ft,2,95-112,,
0:17.0,,,95-112,,B. Weber misses 3-pt shot from 29 ft
0:16.0,Defensive rebound by J. Hamilton,,95-112,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
