time,New Orleans,pts.away,score,pts.home,Orlando
3:03.0,New Orleans full timeout,,79-84,,
3:03.0,,,79-84,,B. Biyombo enters the game for N. Vucevic
2:49.0,E. Moore misses 2-pt shot from 2 ft (block by E. Payton),,79-84,,
2:49.0,Offensive rebound by E. Moore,,79-84,,
2:49.0,Shooting foul by S. Ibaka (drawn by E. Moore),,79-84,,
2:49.0,E. Moore makes free throw 1 of 2,1,80-84,,
2:49.0,E. Moore makes free throw 2 of 2,1,81-84,,
2:49.0,,,80-84,,C. Watson enters the game for A. Gordon
2:36.0,,,81-84,,Turnover by B. Biyombo (3 sec)
2:21.0,A. Ajinca misses 2-pt shot from 13 ft,,81-84,,
2:19.0,,,81-84,,Defensive rebound by C. Watson
2:12.0,,,81-84,,C. Watson misses 2-pt shot from 6 ft
2:11.0,Defensive rebound by A. Ajinca,,81-84,,
1:49.0,E. Moore misses 2-pt shot from 14 ft,,81-84,,
1:48.0,,,81-84,,Defensive rebound by B. Biyombo
1:29.0,,,81-84,,E. Fournier misses 2-pt shot from 21 ft
1:28.0,Defensive rebound by A. Ajinca,,81-84,,
1:23.0,Shooting foul by B. Biyombo (drawn by T. Jones),,81-84,,
1:23.0,T. Jones misses free throw 1 of 2,,81-84,,
1:23.0,Offensive rebound by Team,,81-84,,
1:23.0,T. Jones makes free throw 2 of 2,1,82-84,,
1:23.0,,,81-84,,A. Gordon enters the game for C. Watson
1:23.0,,,81-84,,N. Vucevic enters the game for B. Biyombo
1:09.0,,,82-86,2,N. Vucevic makes 2-pt shot from 6 ft (assist by E. Payton)
0:50.0,L. Galloway misses 3-pt shot from 27 ft,,82-86,,
0:48.0,,,82-86,,Defensive rebound by N. Vucevic
0:31.0,,,82-86,,S. Ibaka misses 3-pt shot from 25 ft
0:29.0,,,82-86,,Offensive rebound by N. Vucevic
0:28.0,,,82-88,2,N. Vucevic makes 2-pt shot from 4 ft
0:28.0,New Orleans full timeout,,82-88,,
0:28.0,,,82-88,,B. Biyombo enters the game for N. Vucevic
0:28.0,T. Frazier enters the game for D. Cunningham,,82-88,,
0:21.0,T. Jones misses 3-pt shot from 25 ft,,82-88,,
0:20.0,,,82-88,,Defensive rebound by Team
0:20.0,D. Cunningham enters the game for A. Ajinca,,82-88,,
0:20.0,,,82-88,,D. Augustin enters the game for A. Gordon
0:20.0,,,82-88,,C. Watson enters the game for B. Biyombo
0:20.0,,,82-88,,Orlando full timeout
0:20.0,,,82-88,,J. Green enters the game for E. Payton
0:19.0,Personal take foul by T. Jones (drawn by C. Watson),,82-88,,
0:17.0,Personal take foul by E. Moore (drawn by E. Fournier),,82-88,,
0:17.0,,,82-88,,E. Fournier misses free throw 1 of 2
0:17.0,,,82-88,,Offensive rebound by Team
0:17.0,,,82-89,1,E. Fournier makes free throw 2 of 2
0:17.0,New Orleans full timeout,,82-89,,
0:17.0,,,82-89,,B. Biyombo enters the game for J. Green
0:17.0,,,82-89,,A. Gordon enters the game for D. Augustin
0:17.0,,,82-89,,E. Payton enters the game for C. Watson
0:17.0,B. Hield enters the game for D. Cunningham,,82-89,,
0:16.0,E. Moore misses 3-pt shot from 25 ft (block by B. Biyombo),,82-89,,
0:15.0,Offensive rebound by E. Moore,,82-89,,
0:14.0,Turnover by E. Moore (traveling),,82-89,,
0:14.0,,,82-89,,D. Augustin enters the game for E. Payton
0:14.0,,,82-89,,C. Watson enters the game for A. Gordon
0:14.0,,,82-89,,J. Green enters the game for B. Biyombo
0:00.0,End of 4th quarter,,,,End of 4th quarter
