time,LA Lakers,pts.away,score,pts.home,Minnesota
5:34.0,J. Randle misses 2-pt shot from 1 ft,,91-105,,
5:33.0,,,91-105,,Defensive rebound by R. Rubio
5:27.0,,,91-105,,Turnover by K. Towns (bad pass; steal by D. Russell)
5:26.0,,,91-105,,Personal foul by K. Towns (drawn by D. Russell)
5:16.0,L. Williams makes 2-pt shot from 11 ft,2,93-105,,
5:01.0,,,93-107,2,A. Wiggins makes 2-pt shot at rim
4:42.0,L. Deng makes 3-pt shot from 24 ft (assist by D. Russell),3,96-107,,
4:25.0,,,96-110,3,N. Bjelica makes 3-pt shot from 25 ft (assist by A. Wiggins)
4:07.0,B. Ingram misses 3-pt shot from 23 ft,,96-110,,
4:06.0,,,96-110,,Defensive rebound by R. Rubio
3:51.0,,,96-110,,Turnover by A. Wiggins (bad pass; steal by D. Russell)
3:44.0,Shooting foul by A. Wiggins (drawn by J. Randle),,96-110,,
3:44.0,J. Randle makes free throw 1 of 2,1,97-110,,
3:44.0,J. Randle makes free throw 2 of 2,1,98-110,,
3:44.0,J. Clarkson enters the game for B. Ingram,,97-110,,
3:44.0,,,97-110,,T. Jones enters the game for G. Dieng
3:34.0,Personal foul by D. Russell (drawn by A. Wiggins),,98-110,,
3:34.0,,,98-111,1,A. Wiggins makes free throw 1 of 2
3:34.0,,,98-112,1,A. Wiggins makes free throw 2 of 2
3:24.0,,,98-112,,Violation by T. Jones (kicked ball)
3:19.0,Offensive foul by J. Randle,,98-112,,
3:19.0,Turnover by J. Randle (offensive foul),,98-112,,
3:02.0,,,98-115,3,N. Bjelica makes 3-pt shot from 26 ft (assist by T. Jones)
2:50.0,L. Williams misses 2-pt shot from 2 ft,,98-115,,
2:49.0,,,98-115,,Defensive rebound by R. Rubio
2:43.0,,,98-118,3,T. Jones makes 3-pt shot from 23 ft (assist by R. Rubio)
2:41.0,LA Lakers full timeout,,98-118,,
2:41.0,I. Zubac enters the game for L. Deng,,98-118,,
2:41.0,B. Ingram enters the game for J. Randle,,98-118,,
2:41.0,T. Robinson enters the game for L. Williams,,98-118,,
2:41.0,J. Calderon enters the game for J. Clarkson,,98-118,,
2:28.0,,,98-118,,Personal foul by K. Towns (drawn by I. Zubac)
2:19.0,D. Russell misses 2-pt shot from 17 ft,,98-118,,
2:18.0,,,98-118,,Defensive rebound by K. Towns
2:07.0,,,98-118,,Shooting foul by I. Zubac (drawn by A. Wiggins)
2:07.0,,,98-118,,A. Wiggins misses free throw 1 of 2
2:07.0,,,98-118,,Offensive rebound by Team
2:07.0,,,98-118,,A. Wiggins misses free throw 2 of 2
2:04.0,,,98-118,,Offensive rebound by K. Towns
1:50.0,,,98-118,,Shooting foul by T. Robinson (drawn by A. Wiggins)
1:50.0,,,98-119,1,A. Wiggins makes free throw 1 of 2
1:50.0,,,98-120,1,A. Wiggins makes free throw 2 of 2
1:35.0,I. Zubac misses 2-pt shot from 15 ft,,98-120,,
1:34.0,,,98-120,,Defensive rebound by N. Bjelica
1:17.0,,,98-120,,A. Wiggins misses 3-pt shot from 27 ft
1:15.0,Defensive rebound by D. Russell,,98-120,,
1:11.0,Shooting foul by A. Wiggins (drawn by I. Zubac),,98-120,,
1:11.0,I. Zubac makes free throw 1 of 2,1,99-120,,
1:11.0,I. Zubac misses free throw 2 of 2,,99-120,,
1:11.0,,,99-120,,J. Lucas III enters the game for R. Rubio
1:11.0,,,99-120,,A. Payne enters the game for K. Towns
1:11.0,,,99-120,,K. Dunn enters the game for A. Wiggins
1:10.0,,,99-120,,Defensive rebound by K. Dunn
0:49.0,,,99-123,3,N. Bjelica makes 3-pt shot from 24 ft (assist by T. Jones)
0:36.0,T. Robinson misses 2-pt shot from 3 ft,,99-123,,
0:35.0,,,99-123,,Defensive rebound by A. Payne
0:10.0,,,99-125,2,A. Payne makes 2-pt shot from 20 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
