time,Dallas,pts.away,score,pts.home,Chicago
1:23.0,,,95-94,,Offensive rebound by R. Lopez
1:23.0,,,95-94,,R. Lopez misses 2-pt shot from 1 ft
1:23.0,Defensive rebound by D. Nowitzki,,95-94,,
1:23.0,,,95-94,,Personal foul by R. Lopez (drawn by D. Nowitzki)
1:23.0,D. Nowitzki makes free throw 1 of 2,1,96-94,,
1:23.0,D. Nowitzki misses free throw 2 of 2,,96-94,,
1:23.0,,,96-94,,D. McDermott enters the game for M. Carter-Williams
1:21.0,,,96-94,,Defensive rebound by N. Mirotic
1:00.0,,,96-96,2,D. McDermott makes 2-pt shot from 8 ft (assist by J. Butler)
1:00.0,Dallas full timeout,,96-96,,
1:00.0,,,96-96,,C. Felicio enters the game for R. Lopez
1:00.0,,,96-96,,M. Carter-Williams enters the game for D. McDermott
0:39.0,H. Barnes misses 2-pt shot from 12 ft,,96-96,,
0:37.0,,,96-96,,Defensive rebound by M. Carter-Williams
0:23.0,,,96-98,2,J. Butler makes 2-pt shot from 21 ft
0:12.0,W. Matthews makes 3-pt shot from 25 ft (assist by D. Williams),3,99-98,,
0:12.0,,,99-98,,Chicago full timeout
0:12.0,,,99-98,,D. McDermott enters the game for M. Carter-Williams
0:12.0,,,99-98,,R. Lopez enters the game for C. Felicio
0:12.0,S. Mejri enters the game for D. Nowitzki,,99-98,,
0:01.0,,,99-98,,D. Wade misses 2-pt shot from 21 ft
0:00.0,,,99-98,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
