time,Miami,pts.away,score,pts.home,New York
3:10.0,H. Whiteside misses 2-pt shot from 4 ft (block by K. Porzingis),,99-80,,
3:09.0,,,99-80,,Defensive rebound by C. Anthony
3:04.0,,,99-80,,Turnover by J. Holiday (lost ball; steal by J. Richardson)
2:52.0,,,99-80,,Personal foul by K. Porzingis (drawn by H. Whiteside)
2:52.0,Official timeout,,99-80,,
2:52.0,,,99-80,,M. Ndour enters the game for C. Anthony
2:52.0,,,99-80,,M. Plumlee enters the game for K. Porzingis
2:52.0,,,99-80,,C. Randle enters the game for C. Lee
2:52.0,,,99-80,,S. Vujacic enters the game for J. Holiday
2:52.0,O. White enters the game for H. Whiteside,,99-80,,
2:40.0,W. Ellington misses 2-pt shot from 22 ft,,99-80,,
2:39.0,,,99-80,,Defensive rebound by M. Plumlee
2:29.0,,,99-80,,Turnover by R. Baker (bad pass; steal by J. Johnson)
2:26.0,T. Johnson makes 2-pt shot from 2 ft (assist by J. Johnson),2,101-80,,
2:26.0,Shooting foul by S. Vujacic (drawn by T. Johnson),,101-80,,
2:26.0,T. Johnson misses free throw 1 of 1,,101-80,,
2:26.0,R. McGruder enters the game for J. Richardson,,101-80,,
2:25.0,,,101-80,,Defensive rebound by M. Ndour
2:14.0,,,101-80,,S. Vujacic misses 2-pt shot from 16 ft
2:13.0,,,101-80,,Offensive rebound by M. Plumlee
2:09.0,,,101-80,,S. Vujacic misses 3-pt shot from 25 ft
2:08.0,,,101-80,,Offensive rebound by M. Ndour
2:07.0,Personal foul by R. McGruder (drawn by M. Ndour),,101-80,,
1:56.0,,,101-80,,S. Vujacic misses 3-pt shot from 27 ft
1:54.0,Defensive rebound by T. Johnson,,101-80,,
1:38.0,W. Ellington makes 2-pt shot from 16 ft,2,103-80,,
1:23.0,,,103-83,3,S. Vujacic makes 3-pt shot from 23 ft (assist by M. Plumlee)
1:08.0,W. Ellington misses 2-pt shot from 20 ft,,103-83,,
1:07.0,,,103-83,,Defensive rebound by M. Ndour
1:02.0,Personal foul by J. Johnson (drawn by C. Randle),,103-83,,
1:02.0,L. Babbitt enters the game for J. Johnson,,103-83,,
0:48.0,,,103-85,2,S. Vujacic makes 2-pt shot from 1 ft
0:32.0,O. White makes 2-pt shot from 2 ft,2,105-85,,
0:17.0,,,105-87,2,M. Ndour makes 2-pt shot at rim (assist by S. Vujacic)
0:17.0,,,105-87,,Shooting foul by L. Babbitt (drawn by M. Ndour)
0:17.0,,,105-88,1,M. Ndour makes free throw 1 of 1
0:00.0,End of 4th quarter,,,,End of 4th quarter
