time,Indiana,pts.away,score,pts.home,Phoenix
5:55.0,,,95-87,,D. Booker misses 2-pt shot from 1 ft
5:51.0,Defensive rebound by J. Teague,,95-87,,
5:50.0,Shooting foul by E. Bledsoe (drawn by J. Teague),,95-87,,
5:50.0,J. Teague makes free throw 1 of 2,1,96-87,,
5:50.0,J. Teague makes free throw 2 of 2,1,97-87,,
5:50.0,,,96-87,,M. Chriss enters the game for B. Knight
5:39.0,,,97-89,2,E. Bledsoe makes 2-pt shot from 2 ft
5:39.0,Shooting block foul by A. Jefferson (drawn by E. Bledsoe),,97-89,,
5:39.0,,,97-90,1,E. Bledsoe makes free throw 1 of 1
5:23.0,J. Teague misses 2-pt shot from 3 ft,,97-90,,
5:21.0,,,97-90,,Defensive rebound by E. Bledsoe
5:06.0,,,97-92,2,M. Chriss makes 2-pt shot from 5 ft
5:06.0,Indiana full timeout,,97-92,,
5:06.0,M. Turner enters the game for A. Jefferson,,97-92,,
5:01.0,Turnover by J. Teague (dbl dribble),,97-92,,
4:50.0,,,97-92,,E. Bledsoe misses 3-pt shot from 25 ft
4:48.0,Defensive rebound by T. Young,,97-92,,
4:26.0,R. Stuckey makes 2-pt shot from 1 ft,2,99-92,,
4:09.0,,,99-92,,M. Chriss misses 2-pt shot from 17 ft
4:07.0,Defensive rebound by J. Teague,,99-92,,
3:58.0,Turnover by P. George (bad pass; steal by M. Chriss),,99-92,,
3:38.0,,,99-92,,P. Tucker misses 2-pt shot from 3 ft
3:35.0,Defensive rebound by P. George,,99-92,,
3:27.0,P. George misses 3-pt shot from 24 ft,,99-92,,
3:25.0,Offensive rebound by T. Young,,99-92,,
3:15.0,,,99-92,,Personal foul by D. Booker (drawn by M. Turner)
3:15.0,M. Turner makes free throw 1 of 2,1,100-92,,
3:15.0,M. Turner misses free throw 2 of 2,,100-92,,
3:15.0,,,100-92,,J. Dudley enters the game for M. Chriss
3:14.0,Offensive rebound by P. George,,100-92,,
3:02.0,M. Turner misses 2-pt shot from 9 ft,,100-92,,
3:00.0,,,100-92,,Defensive rebound by E. Bledsoe
2:53.0,,,100-92,,D. Booker misses 3-pt shot from 26 ft
2:50.0,,,100-92,,Offensive rebound by D. Booker
2:43.0,,,100-92,,P. Tucker misses 3-pt shot from 24 ft
2:41.0,Defensive rebound by R. Stuckey,,100-92,,
2:17.0,P. George misses 3-pt shot from 24 ft,,100-92,,
2:15.0,Offensive rebound by M. Turner,,100-92,,
2:00.0,R. Stuckey makes 2-pt shot from 16 ft (assist by P. George),2,102-92,,
2:00.0,,,102-92,,Phoenix full timeout
1:44.0,Personal block foul by M. Turner (drawn by E. Bledsoe),,102-92,,
1:40.0,,,102-94,2,E. Bledsoe makes 2-pt shot from 1 ft
1:17.0,J. Teague makes 2-pt shot from 11 ft,2,104-94,,
1:09.0,,,104-94,,Turnover by E. Bledsoe (lost ball; steal by M. Turner)
1:02.0,P. George misses 3-pt shot from 25 ft,,104-94,,
1:00.0,,,104-94,,Defensive rebound by P. Tucker
0:57.0,,,104-94,,Turnover by D. Booker (lost ball; steal by J. Teague)
0:50.0,M. Turner makes 2-pt shot at rim (assist by J. Teague),2,106-94,,
0:38.0,,,106-94,,J. Dudley misses 3-pt shot from 23 ft
0:36.0,Defensive rebound by P. George,,106-94,,
0:15.0,P. George makes 3-pt shot from 25 ft,3,109-94,,
0:08.0,,,109-94,,E. Bledsoe misses 3-pt shot from 26 ft
0:05.0,Defensive rebound by P. George,,109-94,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
