time,Milwaukee,pts.away,score,pts.home,Washington
0:58.0,Turnover by G. Antetokounmpo (traveling),,100-105,,
0:57.0,,,100-105,,Washington full timeout
0:35.0,,,100-105,,J. Wall misses 2-pt shot from 16 ft
0:34.0,,,100-105,,Offensive rebound by M. Gortat
0:32.0,,,100-105,,M. Gortat misses 2-pt shot at rim
0:31.0,Defensive rebound by J. Parker,,100-105,,
0:23.0,J. Henson misses 2-pt shot from 8 ft,,100-105,,
0:22.0,,,100-105,,Defensive rebound by K. Oubre
0:22.0,Personal foul by J. Parker (drawn by K. Oubre),,100-105,,
0:20.0,Personal take foul by G. Antetokounmpo (drawn by J. Wall),,100-105,,
0:20.0,,,100-106,1,J. Wall makes free throw 1 of 2
0:20.0,,,100-106,,J. Wall misses free throw 2 of 2
0:20.0,Defensive rebound by G. Antetokounmpo,,100-106,,
0:20.0,Milwaukee full timeout,,100-106,,
0:20.0,,,100-106,,M. Morris enters the game for M. Gortat
0:20.0,G. Monroe enters the game for J. Henson,,100-106,,
0:20.0,M. Teletovic enters the game for T. Snell,,100-106,,
0:09.0,G. Antetokounmpo makes 2-pt shot from 3 ft,2,102-106,,
0:08.0,Personal take foul by J. Parker (drawn by J. Wall),,102-106,,
0:08.0,,,102-107,1,J. Wall makes free throw 1 of 2
0:08.0,,,102-108,1,J. Wall makes free throw 2 of 2
0:08.0,Milwaukee full timeout,,102-108,,
0:06.0,M. Teletovic makes 3-pt shot from 37 ft (assist by G. Antetokounmpo),3,105-108,,
0:06.0,,,105-108,,Washington full timeout
0:06.0,M. Brogdon enters the game for M. Teletovic,,105-108,,
0:06.0,T. Maker enters the game for G. Monroe,,105-108,,
0:05.0,Personal take foul by M. Brogdon (drawn by B. Beal),,105-108,,
0:05.0,,,105-109,1,B. Beal makes free throw 1 of 2
0:05.0,,,105-110,1,B. Beal makes free throw 2 of 2
0:05.0,Milwaukee full timeout,,105-110,,
0:04.0,M. Teletovic enters the game for M. Brogdon,,105-110,,
0:04.0,J. Terry enters the game for T. Maker,,105-110,,
0:01.0,M. Dellavedova misses 3-pt shot from 28 ft,,105-110,,
0:00.0,Offensive rebound by Team,,105-110,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
