time,Charlotte,pts.away,score,pts.home,Brooklyn
5:36.0,,,85-80,1,B. Lopez makes free throw 1 of 2
5:36.0,,,85-80,,B. Lopez misses free throw 2 of 2
5:35.0,Defensive rebound by N. Batum,,85-80,,
5:19.0,C. Zeller misses 2-pt shot from 2 ft,,85-80,,
5:17.0,,,85-80,,Defensive rebound by S. Kilpatrick
5:14.0,,,85-80,,Shooting foul by K. Walker (drawn by S. Kilpatrick)
5:14.0,,,85-81,1,S. Kilpatrick makes free throw 1 of 2
5:14.0,,,85-82,1,S. Kilpatrick makes free throw 2 of 2
4:55.0,K. Walker makes 2-pt shot from 22 ft,2,87-82,,
4:36.0,,,87-82,,B. Bogdanovic misses 3-pt shot from 24 ft
4:35.0,,,87-82,,Offensive rebound by T. Booker
4:35.0,Loose ball foul by N. Batum (drawn by T. Booker),,87-82,,
4:35.0,M. Kidd-Gilchrist enters the game for R. Sessions,,87-82,,
4:35.0,,,87-82,,R. Hollis-Jefferson enters the game for J. Harris
4:18.0,,,87-82,,B. Bogdanovic misses 2-pt shot from 21 ft
4:16.0,Defensive rebound by N. Batum,,87-82,,
3:57.0,M. Williams misses 3-pt shot from 23 ft,,87-82,,
3:56.0,,,87-82,,Defensive rebound by R. Hollis-Jefferson
3:42.0,,,87-84,2,T. Booker makes 2-pt shot from 6 ft
3:28.0,Turnover by K. Walker (bad pass; steal by R. Hollis-Jefferson),,87-84,,
3:22.0,,,87-84,,B. Bogdanovic misses 3-pt shot from 24 ft
3:21.0,,,87-84,,Offensive rebound by T. Booker
3:17.0,,,87-84,,T. Booker misses 2-pt shot from 2 ft
3:16.0,Defensive rebound by K. Walker,,87-84,,
3:00.0,C. Zeller misses 2-pt shot from 21 ft,,87-84,,
2:59.0,,,87-84,,Defensive rebound by T. Booker
2:50.0,,,87-86,2,T. Booker makes 2-pt shot at rim
2:49.0,Charlotte full timeout,,87-86,,
2:37.0,N. Batum misses 2-pt shot from 19 ft,,87-86,,
2:35.0,Offensive rebound by M. Williams,,87-86,,
2:29.0,K. Walker makes 3-pt shot from 24 ft (assist by M. Williams),3,90-86,,
2:10.0,,,90-89,3,B. Lopez makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson)
1:48.0,M. Kidd-Gilchrist makes 2-pt shot from 3 ft (assist by C. Zeller),2,92-89,,
1:32.0,,,92-89,,B. Bogdanovic misses 3-pt shot from 26 ft
1:31.0,Defensive rebound by N. Batum,,92-89,,
1:22.0,K. Walker misses 3-pt shot from 26 ft,,92-89,,
1:21.0,,,92-89,,Defensive rebound by B. Lopez
1:19.0,,,92-89,,Shooting foul by C. Zeller (drawn by B. Bogdanovic)
1:19.0,,,92-90,1,B. Bogdanovic makes free throw 1 of 2
1:19.0,,,92-91,1,B. Bogdanovic makes free throw 2 of 2
1:05.0,M. Williams makes 3-pt shot from 23 ft (assist by C. Zeller),3,95-91,,
1:05.0,,,95-91,,Brooklyn full timeout
0:58.0,,,95-91,,B. Lopez misses 3-pt shot from 25 ft
0:57.0,Defensive rebound by K. Walker,,95-91,,
0:41.0,Turnover by K. Walker (lost ball; steal by R. Hollis-Jefferson),,95-91,,
0:34.0,,,95-91,,S. Kilpatrick misses 2-pt shot from 2 ft (block by C. Zeller)
0:33.0,,,95-91,,Offensive rebound by Team
0:33.0,,,95-91,,Brooklyn full timeout
0:33.0,,,95-91,,Brooklyn full timeout
0:29.0,,,95-91,,T. Booker misses 3-pt shot from 24 ft
0:28.0,Defensive rebound by K. Walker,,95-91,,
0:28.0,,,95-91,,Personal foul by B. Bogdanovic (drawn by K. Walker)
0:28.0,Charlotte full timeout,,95-91,,
0:28.0,S. Hawes enters the game for M. Kidd-Gilchrist,,95-91,,
0:26.0,,,95-91,,Personal foul by R. Hollis-Jefferson (drawn by K. Walker)
0:26.0,K. Walker misses free throw 1 of 2,,95-91,,
0:26.0,Offensive rebound by Team,,95-91,,
0:26.0,K. Walker makes free throw 2 of 2,1,96-91,,
0:26.0,M. Kidd-Gilchrist enters the game for S. Hawes,,95-91,,
0:20.0,,,96-93,2,S. Kilpatrick makes 2-pt shot from 3 ft
0:18.0,,,96-93,,Personal foul by B. Bogdanovic (drawn by N. Batum)
0:18.0,N. Batum makes free throw 1 of 2,1,97-93,,
0:18.0,N. Batum makes free throw 2 of 2,1,98-93,,
0:18.0,,,97-93,,J. Hamilton enters the game for T. Booker
0:07.0,,,98-93,,J. Hamilton misses 3-pt shot from 25 ft
0:06.0,,,98-93,,Offensive rebound by B. Lopez
0:03.0,,,98-93,,Shooting foul by M. Kidd-Gilchrist (drawn by S. Kilpatrick)
0:03.0,,,98-94,1,S. Kilpatrick makes free throw 1 of 2
0:03.0,,,98-95,1,S. Kilpatrick makes free throw 2 of 2
0:03.0,Charlotte full timeout,,98-95,,
0:03.0,,,98-95,,Personal foul by R. Hollis-Jefferson (drawn by C. Zeller)
0:03.0,C. Zeller misses free throw 1 of 2,,98-95,,
0:03.0,Offensive rebound by Team,,98-95,,
0:03.0,C. Zeller makes free throw 2 of 2,1,99-95,,
0:03.0,,,98-94,,T. Booker enters the game for J. Hamilton
0:03.0,,,98-95,,J. Harris enters the game for B. Lopez
0:03.0,,,98-95,,I. Whitehead enters the game for B. Bogdanovic
0:03.0,S. Hawes enters the game for M. Kidd-Gilchrist,,98-95,,
0:03.0,,,98-95,,B. Lopez enters the game for R. Hollis-Jefferson
0:03.0,M. Kidd-Gilchrist enters the game for S. Hawes,,98-95,,
0:03.0,,,98-95,,B. Bogdanovic enters the game for I. Whitehead
0:03.0,,,98-95,,J. Hamilton enters the game for T. Booker
0:00.0,,,99-95,,J. Harris misses 3-pt shot from 31 ft
0:00.0,,,99-95,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
