time,Washington,pts.away,score,pts.home,Philadelphia
0:38.0,B. Beal makes 2-pt shot from 17 ft (assist by M. Gortat),2,49-61,,
0:38.0,,,49-61,,Philadelphia full timeout
0:29.0,,,49-61,,R. Covington misses 3-pt shot from 24 ft
0:28.0,Defensive rebound by O. Porter,,49-61,,
0:05.0,O. Porter misses 3-pt shot from 27 ft,,49-61,,
0:05.0,Offensive rebound by Team,,49-61,,
0:05.0,,,49-61,,Loose ball foul by R. Holmes (drawn by M. Gortat)
0:05.0,Washington full timeout,,49-61,,
0:05.0,B. Bogdanovic enters the game for K. Oubre,,49-61,,
0:01.0,J. Wall misses 3-pt shot from 26 ft (block by R. Holmes),,49-61,,
0:01.0,,,49-61,,Defensive rebound by R. Holmes
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,49-61,,T. McConnell misses 2-pt shot from 3 ft
11:36.0,Defensive rebound by J. Wall,,49-61,,
11:22.0,Turnover by J. Wall (bad pass),,49-61,,
11:11.0,,,49-64,3,G. Henderson makes 3-pt shot from 26 ft (assist by J. Okafor)
10:53.0,B. Beal makes 2-pt shot from 12 ft (assist by J. Wall),2,51-64,,
10:36.0,,,51-64,,Shooting foul by M. Gortat (drawn by J. Okafor)
10:36.0,,,51-65,1,J. Okafor makes free throw 1 of 2
10:36.0,,,51-66,1,J. Okafor makes free throw 2 of 2
10:17.0,O. Porter misses 3-pt shot from 24 ft,,51-66,,
10:15.0,Offensive rebound by M. Gortat,,51-66,,
10:14.0,M. Gortat misses 2-pt shot from 5 ft,,51-66,,
10:13.0,,,51-66,,Defensive rebound by R. Covington
9:56.0,,,51-66,,J. Okafor misses 2-pt shot from 10 ft
9:54.0,,,51-66,,Offensive rebound by R. Covington
9:46.0,Personal foul by M. Morris (drawn by G. Henderson),,51-66,,
9:32.0,,,51-68,2,D. Saric makes 2-pt shot from 10 ft (assist by T. McConnell)
9:22.0,B. Beal makes 2-pt shot at rim (assist by J. Wall),2,53-68,,
9:07.0,,,53-68,,Shooting foul by B. Beal (drawn by G. Henderson)
9:07.0,,,53-69,1,G. Henderson makes free throw 1 of 2
9:07.0,,,53-70,1,G. Henderson makes free throw 2 of 2
9:00.0,M. Morris makes 2-pt shot at rim (assist by J. Wall),2,55-70,,
8:47.0,,,55-72,2,D. Saric makes 2-pt shot from 1 ft
8:40.0,J. Wall makes 2-pt shot from 2 ft,2,57-72,,
8:15.0,,,57-72,,J. Okafor misses 2-pt shot from 6 ft
8:13.0,Defensive rebound by M. Gortat,,57-72,,
8:03.0,M. Gortat misses 2-pt shot from 2 ft,,57-72,,
