time,Chicago,pts.away,score,pts.home,Golden State
3:36.0,Turnover by D. Valentine (bad pass; steal by I. Clark),,88-112,,
3:13.0,,,88-114,2,K. Looney makes 2-pt shot at rim (assist by I. Clark)
2:55.0,B. Portis misses 2-pt shot from 7 ft,,88-114,,
2:55.0,,,88-114,,Defensive rebound by B. Weber
2:42.0,,,88-117,3,P. McCaw makes 3-pt shot from 23 ft (assist by B. Weber)
2:26.0,N. Mirotic misses 3-pt shot from 26 ft,,88-117,,
2:25.0,,,88-117,,Defensive rebound by B. Weber
2:15.0,,,88-119,2,D. Jones makes 2-pt shot from 18 ft (assist by I. Clark)
2:01.0,Turnover by D. Valentine (bad pass; steal by I. Clark),,88-119,,
2:00.0,Personal foul by I. Canaan (drawn by I. Clark),,88-119,,
1:38.0,,,88-119,,I. Clark misses 3-pt shot from 27 ft
1:38.0,Defensive rebound by B. Portis,,88-119,,
1:28.0,D. McDermott makes 2-pt shot from 9 ft (assist by N. Mirotic),2,90-119,,
1:09.0,,,90-119,,P. McCaw misses 2-pt shot from 22 ft
1:09.0,,,90-119,,Offensive rebound by D. Jones
1:03.0,,,90-119,,I. Clark misses 3-pt shot from 26 ft
1:03.0,Defensive rebound by N. Mirotic,,90-119,,
0:51.0,B. Portis makes 2-pt shot from 9 ft (assist by I. Canaan),2,92-119,,
0:51.0,Shooting foul by D. Jones (drawn by B. Portis),,92-119,,
0:51.0,B. Portis misses free throw 1 of 1,,92-119,,
0:49.0,,,92-119,,Defensive rebound by D. Jones
0:43.0,,,92-121,2,B. Weber makes 2-pt shot from 2 ft
0:32.0,Turnover by N. Mirotic (bad pass; steal by P. McCaw),,92-121,,
0:28.0,,,92-123,2,K. Looney makes 2-pt shot at rim (assist by P. McCaw)
0:18.0,N. Mirotic misses 3-pt shot from 27 ft,,92-123,,
0:18.0,,,92-123,,Defensive rebound by P. McCaw
0:00.0,End of 4th quarter,,,,End of 4th quarter
