time,New Orleans,pts.away,score,pts.home,Chicago
5:06.0,,,86-95,,Defensive rebound by T. Gibson
4:43.0,,,86-95,,T. Gibson misses 2-pt shot from 2 ft
4:42.0,Defensive rebound by A. Davis,,86-95,,
4:33.0,A. Davis misses 2-pt shot from 19 ft,,86-95,,
4:32.0,,,86-95,,Defensive rebound by T. Gibson
4:21.0,,,86-95,,M. Carter-Williams misses 2-pt shot from 3 ft (block by T. Jones)
4:17.0,Defensive rebound by T. Evans,,86-95,,
4:16.0,Shooting foul by D. Wade (drawn by A. Davis),,86-95,,
4:16.0,A. Davis makes free throw 1 of 2,1,87-95,,
4:16.0,A. Davis makes free throw 2 of 2,1,88-95,,
4:16.0,L. Galloway enters the game for T. Evans,,87-95,,
3:56.0,,,88-95,,D. Wade misses 2-pt shot from 20 ft
3:55.0,,,88-95,,Offensive rebound by T. Gibson
3:50.0,,,88-95,,D. Wade misses 2-pt shot from 5 ft (block by T. Jones)
3:50.0,,,88-95,,Offensive rebound by Team
3:41.0,,,88-95,,M. Carter-Williams misses 2-pt shot from 15 ft
3:39.0,,,88-95,,Offensive rebound by T. Gibson
3:36.0,,,88-97,2,T. Gibson makes 2-pt shot from 15 ft
3:24.0,,,88-97,,Personal foul by M. Carter-Williams (drawn by J. Holiday)
3:24.0,J. Holiday makes free throw 1 of 2,1,89-97,,
3:24.0,J. Holiday misses free throw 2 of 2,,89-97,,
3:24.0,S. Hill enters the game for T. Jones,,89-97,,
3:22.0,,,89-97,,Defensive rebound by M. Carter-Williams
3:03.0,,,89-99,2,J. Butler makes 2-pt shot from 19 ft
2:49.0,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday),2,91-99,,
2:27.0,,,91-101,2,D. Wade makes 2-pt shot from 6 ft
2:27.0,,,91-101,,Shooting foul by A. Davis (drawn by D. Wade)
2:27.0,,,91-101,,Chicago full timeout
2:27.0,,,91-102,1,D. Wade makes free throw 1 of 1
2:27.0,T. Evans enters the game for L. Galloway,,91-101,,
2:10.0,A. Davis makes 2-pt shot from 12 ft (assist by T. Evans),2,93-102,,
1:48.0,,,93-104,2,D. Wade makes 2-pt shot from 20 ft
1:40.0,T. Evans makes 2-pt shot from 2 ft,2,95-104,,
1:40.0,Shooting foul by D. Wade (drawn by T. Evans),,95-104,,
1:40.0,T. Evans makes free throw 1 of 1,1,96-104,,
1:20.0,,,96-104,,Turnover by T. Gibson (lost ball)
1:20.0,New Orleans full timeout,,96-104,,
1:09.0,J. Holiday misses 3-pt shot from 25 ft,,96-104,,
1:08.0,,,96-104,,Defensive rebound by J. Butler
0:46.0,,,96-104,,D. Wade misses 3-pt shot from 25 ft
0:45.0,Defensive rebound by E. Moore,,96-104,,
0:29.0,Shooting foul by D. Wade (drawn by A. Davis),,96-104,,
0:29.0,A. Davis misses free throw 1 of 2,,96-104,,
0:29.0,Offensive rebound by Team,,96-104,,
0:29.0,A. Davis makes free throw 2 of 2,1,97-104,,
0:24.0,Personal take foul by T. Evans (drawn by D. Wade),,97-104,,
0:24.0,,,97-105,1,D. Wade makes free throw 1 of 2
0:24.0,,,97-105,,D. Wade misses free throw 2 of 2
0:24.0,Defensive rebound by A. Davis,,97-105,,
0:24.0,New Orleans full timeout,,97-105,,
0:22.0,A. Davis makes 2-pt shot from 7 ft (assist by J. Holiday),2,99-105,,
0:18.0,Personal foul by A. Davis (drawn by J. Butler),,99-105,,
0:18.0,,,99-106,1,J. Butler makes free throw 1 of 2
0:18.0,,,99-107,1,J. Butler makes free throw 2 of 2
0:18.0,New Orleans full timeout,,99-107,,
0:13.0,T. Evans misses 2-pt shot from 2 ft,,99-107,,
0:11.0,,,99-107,,Defensive rebound by C. Felicio
0:00.0,End of 4th quarter,,,,End of 4th quarter
