time,Cleveland,pts.away,score,pts.home,Sacramento
1:25.0,K. Irving makes 2-pt shot from 2 ft (assist by L. James),2,118-106,,
1:16.0,,,118-108,2,D. Cousins makes 2-pt shot at rim
0:56.0,I. Shumpert misses 2-pt shot from 3 ft,,118-108,,
0:54.0,,,118-108,,Defensive rebound by G. Temple
0:50.0,,,118-108,,Turnover by D. Cousins (bad pass; steal by K. Korver)
0:46.0,Cleveland full timeout,,118-108,,
0:46.0,J. Jones enters the game for I. Shumpert,,118-108,,
0:46.0,J. McRae enters the game for K. Love,,118-108,,
0:46.0,D. Liggins enters the game for K. Irving,,118-108,,
0:46.0,K. Felder enters the game for K. Korver,,118-108,,
0:46.0,R. Jefferson enters the game for L. James,,118-108,,
0:46.0,,,118-108,,W. Cauley-Stein enters the game for R. Gay
0:46.0,,,118-108,,M. Richardson enters the game for A. Tolliver
0:46.0,,,118-108,,B. McLemore enters the game for D. Cousins
0:27.0,K. Felder makes 2-pt shot from 19 ft,2,120-108,,
0:04.0,,,120-108,,B. McLemore misses 2-pt shot from 22 ft
0:03.0,Defensive rebound by J. Jones,,120-108,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
