time,Toronto,pts.away,score,pts.home,Phoenix
4:03.0,,,80-90,,T. Warren misses 2-pt shot from 7 ft (block by L. Nogueira)
4:02.0,Defensive rebound by T. Ross,,80-90,,
3:53.0,D. DeRozan makes 2-pt shot from 15 ft,2,82-90,,
3:53.0,Shooting foul by E. Bledsoe (drawn by D. DeRozan),,82-90,,
3:53.0,D. DeRozan makes free throw 1 of 1,1,83-90,,
3:33.0,,,83-90,,D. Booker misses 2-pt shot from 15 ft
3:31.0,Defensive rebound by K. Lowry,,83-90,,
3:25.0,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry),2,85-90,,
3:07.0,,,85-90,,Turnover by E. Bledsoe (offensive foul)
3:07.0,,,85-90,,Offensive foul by E. Bledsoe
3:00.0,Offensive foul by K. Lowry,,85-90,,
3:00.0,Turnover by K. Lowry (offensive foul),,85-90,,
2:39.0,,,85-90,,D. Booker misses 3-pt shot from 25 ft
2:39.0,,,85-90,,Offensive rebound by T. Chandler
2:27.0,,,85-92,2,D. Booker makes 2-pt shot from 1 ft
2:27.0,,,85-92,,Shooting foul by L. Nogueira (drawn by D. Booker)
2:27.0,Toronto full timeout,,85-92,,
2:27.0,,,85-93,1,D. Booker makes free throw 1 of 1
2:16.0,D. DeRozan misses 2-pt shot from 20 ft,,85-93,,
2:15.0,,,85-93,,Defensive rebound by T. Chandler
1:51.0,,,85-96,3,D. Booker makes 3-pt shot from 26 ft (assist by E. Bledsoe)
1:46.0,Shooting foul by T. Chandler (drawn by K. Lowry),,85-96,,
1:46.0,K. Lowry makes free throw 1 of 2,1,86-96,,
1:46.0,K. Lowry makes free throw 2 of 2,1,87-96,,
1:30.0,,,87-96,,E. Bledsoe misses 2-pt shot from 1 ft
1:28.0,Defensive rebound by K. Lowry,,87-96,,
1:24.0,,,87-96,,Shooting block foul by D. Booker (drawn by D. DeRozan)
1:24.0,D. DeRozan makes free throw 1 of 2,1,88-96,,
1:24.0,D. DeRozan misses free throw 2 of 2,,88-96,,
1:24.0,,,88-96,,Defensive rebound by P. Tucker
1:01.0,,,88-96,,D. Booker misses 3-pt shot from 27 ft
1:01.0,Defensive rebound by T. Ross,,88-96,,
0:52.0,C. Joseph makes 3-pt shot from 24 ft (assist by D. DeRozan),3,91-96,,
0:43.0,Personal foul by K. Lowry (drawn by D. Booker),,91-96,,
0:43.0,,,91-97,1,D. Booker makes free throw 1 of 2
0:43.0,,,91-98,1,D. Booker makes free throw 2 of 2
0:43.0,Toronto full timeout,,91-98,,
0:34.0,K. Lowry misses 2-pt shot from 2 ft (block by T. Chandler),,91-98,,
0:34.0,,,91-98,,Defensive rebound by T. Chandler
0:34.0,Personal take foul by K. Lowry (drawn by T. Chandler),,91-98,,
0:34.0,,,91-98,,T. Chandler misses free throw 1 of 2
0:34.0,,,91-98,,Offensive rebound by Team
0:34.0,,,91-99,1,T. Chandler makes free throw 2 of 2
0:23.0,D. DeRozan misses 2-pt shot from 21 ft,,91-99,,
0:23.0,,,91-99,,Defensive rebound by P. Tucker
0:00.0,End of 4th quarter,,,,End of 4th quarter
