time,Boston,pts.away,score,pts.home,San Antonio
7:25.0,J. Brown makes free throw 1 of 2,1,82-90,,
7:25.0,J. Brown makes free throw 2 of 2,1,83-90,,
7:25.0,,,82-90,,K. Leonard enters the game for D. Green
7:07.0,,,83-92,2,T. Parker makes 2-pt shot from 5 ft (assist by D. Bertans)
6:55.0,T. Rozier makes 2-pt shot from 2 ft,2,85-92,,
6:29.0,,,85-94,2,K. Leonard makes 2-pt shot from 6 ft
6:11.0,T. Rozier misses 3-pt shot from 23 ft,,85-94,,
6:10.0,,,85-94,,Defensive rebound by K. Anderson
6:00.0,,,85-94,,Turnover by T. Parker (bad pass; steal by M. Smart)
5:47.0,Turnover by A. Horford (lost ball; steal by K. Anderson),,85-94,,
5:40.0,,,85-96,2,T. Parker makes 2-pt shot from 18 ft (assist by K. Leonard)
5:40.0,Boston full timeout,,85-96,,
5:40.0,,,85-96,,P. Mills enters the game for K. Anderson
5:40.0,J. Crowder enters the game for J. Brown,,85-96,,
5:40.0,A. Bradley enters the game for T. Rozier,,85-96,,
5:40.0,,,85-96,,D. Lee enters the game for D. Bertans
5:31.0,A. Horford misses 3-pt shot from 23 ft,,85-96,,
5:30.0,,,85-96,,Defensive rebound by T. Parker
5:21.0,,,85-96,,T. Parker misses 2-pt shot from 7 ft
5:20.0,Defensive rebound by A. Horford,,85-96,,
5:15.0,J. Jerebko misses 3-pt shot from 24 ft,,85-96,,
5:13.0,,,85-96,,Defensive rebound by P. Gasol
4:56.0,,,85-98,2,P. Gasol makes 2-pt shot from 9 ft (assist by T. Parker)
4:44.0,J. Crowder misses 3-pt shot from 26 ft,,85-98,,
4:43.0,,,85-98,,Defensive rebound by D. Lee
4:31.0,,,85-100,2,T. Parker makes 2-pt shot from 2 ft (assist by P. Mills)
4:15.0,M. Smart makes 2-pt shot from 1 ft (assist by A. Horford),2,87-100,,
4:08.0,Personal foul by A. Bradley,,87-100,,
4:08.0,A. Johnson enters the game for A. Horford,,87-100,,
4:02.0,,,87-100,,Turnover by T. Parker (bad pass; steal by M. Smart)
3:55.0,A. Bradley makes 3-pt shot from 23 ft (assist by J. Crowder),3,90-100,,
3:32.0,,,90-102,2,P. Gasol makes 2-pt shot from 21 ft (assist by T. Parker)
3:15.0,,,90-102,,Personal foul by T. Parker (drawn by J. Crowder)
3:15.0,,,90-102,,M. Ginobili enters the game for T. Parker
3:03.0,A. Bradley misses 2-pt shot from 19 ft,,90-102,,
3:02.0,,,90-102,,Defensive rebound by K. Leonard
2:55.0,,,90-102,,K. Leonard misses 3-pt shot from 24 ft
2:54.0,Defensive rebound by A. Bradley,,90-102,,
2:43.0,J. Crowder makes 3-pt shot from 23 ft (assist by M. Smart),3,93-102,,
2:22.0,,,93-102,,P. Mills misses 3-pt shot from 25 ft
2:21.0,Defensive rebound by A. Johnson,,93-102,,
2:12.0,M. Smart misses 3-pt shot from 25 ft,,93-102,,
2:11.0,Offensive rebound by J. Crowder,,93-102,,
2:03.0,A. Johnson misses 2-pt shot from 2 ft,,93-102,,
2:02.0,Offensive rebound by A. Johnson,,93-102,,
2:02.0,A. Johnson makes 2-pt shot from 2 ft,2,95-102,,
1:39.0,,,95-102,,K. Leonard misses 2-pt shot from 19 ft
1:38.0,,,95-102,,Offensive rebound by D. Lee
1:35.0,Shooting block foul by J. Crowder (drawn by K. Leonard),,95-102,,
1:35.0,Official timeout,,95-102,,
1:35.0,,,95-103,1,K. Leonard makes free throw 1 of 2
1:35.0,,,95-104,1,K. Leonard makes free throw 2 of 2
1:35.0,,,95-102,,T. Parker enters the game for P. Mills
1:35.0,A. Horford enters the game for A. Johnson,,95-102,,
