time,Houston,pts.away,score,pts.home,Sacramento
2:56.0,T. Williams makes 2-pt shot from 2 ft (assist by J. Harden),2,129-116,,
2:56.0,,,129-116,,Sacramento full timeout
2:56.0,I. Taylor enters the game for J. Harden,,129-116,,
2:46.0,Personal foul by B. Brown (drawn by S. Labissiere),,129-116,,
2:46.0,,,129-117,1,S. Labissiere makes free throw 1 of 2
2:46.0,,,129-118,1,S. Labissiere makes free throw 2 of 2
2:31.0,L. Williams misses 2-pt shot from 15 ft,,129-118,,
2:30.0,Offensive rebound by T. Williams,,129-118,,
2:28.0,T. Williams makes 2-pt shot from 2 ft,2,131-118,,
2:05.0,Personal foul by I. Taylor (drawn by A. Tolliver),,131-118,,
2:05.0,,,131-119,1,A. Tolliver makes free throw 1 of 2
2:05.0,,,131-119,,A. Tolliver misses free throw 2 of 2
2:04.0,Defensive rebound by B. Brown,,131-119,,
1:53.0,L. Williams makes 2-pt shot at rim,2,133-119,,
1:41.0,,,133-121,2,S. Labissiere makes 2-pt shot from 6 ft
1:34.0,Turnover by L. Williams (lost ball; steal by G. Temple),,133-121,,
1:31.0,,,133-121,,G. Temple misses 2-pt shot from 2 ft (block by L. Williams)
1:29.0,Defensive rebound by C. Onuaku,,133-121,,
1:10.0,B. Brown misses 3-pt shot from 26 ft,,133-121,,
1:09.0,,,133-121,,Defensive rebound by B. Hield
1:07.0,Personal foul by I. Taylor (drawn by B. Hield),,133-121,,
1:07.0,,,133-122,1,B. Hield makes free throw 1 of 2
1:07.0,,,133-123,1,B. Hield makes free throw 2 of 2
1:07.0,,,133-122,,B. McLemore enters the game for A. Tolliver
0:45.0,L. Williams misses 2-pt shot from 19 ft,,133-123,,
0:44.0,,,133-123,,Defensive rebound by B. McLemore
0:31.0,,,133-123,,B. Hield misses 3-pt shot from 25 ft
0:30.0,,,133-123,,Offensive rebound by S. Labissiere
0:30.0,,,133-125,2,S. Labissiere makes 2-pt shot at rim
0:06.0,B. Brown makes 2-pt shot from 10 ft,2,135-125,,
0:01.0,,,135-128,3,G. Temple makes 3-pt shot from 25 ft (assist by L. Galloway)
0:00.0,End of 4th quarter,,,,End of 4th quarter
