time,Portland,pts.away,score,pts.home,Atlanta
7:08.0,,,98-80,,Turnover by D. Howard (bad pass; steal by A. Crabbe)
7:07.0,Portland full timeout,,98-80,,
7:07.0,J. Nurkic enters the game for A. Aminu,,98-80,,
7:07.0,M. Harkless enters the game for M. Leonard,,98-80,,
7:07.0,,,98-80,,K. Bazemore enters the game for T. Waller-Prince
7:07.0,,,98-80,,E. Ilyasova enters the game for M. Delaney
6:59.0,Shooting foul by D. Schroder (drawn by D. Lillard),,98-80,,
6:59.0,D. Lillard makes free throw 1 of 3,1,99-80,,
6:59.0,D. Lillard makes free throw 2 of 3,1,100-80,,
6:59.0,D. Lillard makes free throw 3 of 3,1,101-80,,
6:49.0,,,101-80,,D. Schroder misses 2-pt shot from 16 ft
6:47.0,,,101-80,,Offensive rebound by D. Howard
6:43.0,,,101-83,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by D. Howard)
6:30.0,Turnover by E. Turner (bad pass; steal by D. Schroder),,101-83,,
6:18.0,,,101-83,,D. Schroder misses 2-pt shot from 2 ft (block by E. Turner)
6:18.0,,,101-83,,Offensive rebound by Team
6:18.0,,,101-83,,T. Waller-Prince enters the game for T. Hardaway
6:18.0,C. McCollum enters the game for E. Turner,,101-83,,
6:15.0,,,101-83,,D. Schroder misses 2-pt shot from 15 ft
6:14.0,Defensive rebound by J. Nurkic,,101-83,,
5:58.0,D. Lillard makes 2-pt shot from 2 ft (assist by J. Nurkic),2,103-83,,
5:34.0,,,103-83,,Turnover by K. Bazemore (bad pass; steal by D. Lillard)
5:27.0,Offensive charge foul by J. Nurkic,,103-83,,
5:27.0,Turnover by J. Nurkic (offensive foul),,103-83,,
5:27.0,,,103-83,,M. Delaney enters the game for K. Bazemore
5:10.0,,,103-83,,Shooting foul by M. Harkless (drawn by E. Ilyasova)
5:10.0,,,103-84,1,E. Ilyasova makes free throw 1 of 2
5:10.0,,,103-85,1,E. Ilyasova makes free throw 2 of 2
4:53.0,D. Lillard makes 2-pt shot from 15 ft,2,105-85,,
4:42.0,,,105-87,2,E. Ilyasova makes 2-pt shot from 19 ft (assist by D. Schroder)
4:25.0,C. McCollum makes 2-pt shot from 19 ft (assist by J. Nurkic),2,107-87,,
4:09.0,,,107-87,,T. Waller-Prince misses 3-pt shot from 23 ft
4:07.0,,,107-87,,Offensive rebound by D. Howard
4:05.0,,,107-87,,D. Howard misses 2-pt shot from 1 ft
4:04.0,,,107-87,,Offensive rebound by D. Howard
3:58.0,,,107-90,3,D. Schroder makes 3-pt shot from 24 ft (assist by D. Howard)
3:41.0,Shooting foul by M. Delaney,,107-90,,
3:41.0,C. McCollum makes free throw 1 of 2,1,108-90,,
3:41.0,C. McCollum makes free throw 2 of 2,1,109-90,,
3:26.0,,,109-90,,T. Waller-Prince misses 2-pt shot from 2 ft (block by M. Harkless)
3:23.0,Defensive rebound by D. Lillard,,109-90,,
3:12.0,Turnover by D. Lillard (bad pass),,109-90,,
3:06.0,Personal foul by A. Crabbe (drawn by D. Schroder),,109-90,,
2:59.0,,,109-90,,Shooting foul by M. Harkless (drawn by D. Schroder)
2:59.0,Official timeout,,109-90,,
2:59.0,,,109-90,,D. Schroder misses free throw 1 of 2
2:59.0,,,109-90,,Offensive rebound by Team
2:59.0,,,109-91,1,D. Schroder makes free throw 2 of 2
2:59.0,,,109-90,,R. Kelly enters the game for E. Ilyasova
2:59.0,,,109-90,,M. Muscala enters the game for D. Howard
2:59.0,,,109-90,,J. Calderon enters the game for M. Delaney
2:57.0,,,109-91,,Personal take foul by J. Calderon
2:57.0,,,109-91,,M. Delaney enters the game for D. Schroder
2:41.0,J. Nurkic makes 2-pt shot from 4 ft,2,111-91,,
2:31.0,Personal take foul by D. Lillard (drawn by M. Delaney),,111-91,,
2:31.0,E. Turner enters the game for M. Harkless,,111-91,,
2:31.0,S. Napier enters the game for J. Nurkic,,111-91,,
2:31.0,J. Layman enters the game for C. McCollum,,111-91,,
2:31.0,P. Connaughton enters the game for D. Lillard,,111-91,,
2:31.0,N. Vonleh enters the game for A. Crabbe,,111-91,,
2:25.0,,,111-93,2,M. Delaney makes 2-pt shot from 22 ft (assist by J. Calderon)
2:00.0,S. Napier misses 2-pt shot from 19 ft,,111-93,,
1:57.0,,,111-93,,Defensive rebound by M. Delaney
1:49.0,,,111-93,,Shooting foul by P. Connaughton (drawn by M. Delaney)
1:49.0,,,111-94,1,M. Delaney makes free throw 1 of 2
1:49.0,,,111-95,1,M. Delaney makes free throw 2 of 2
1:25.0,E. Turner misses 2-pt shot from 15 ft (block by T. Waller-Prince),,111-95,,
1:22.0,,,111-95,,Defensive rebound by M. Delaney
1:16.0,,,111-97,2,M. Muscala makes 2-pt shot from 17 ft (assist by J. Calderon)
0:53.0,Shooting foul by R. Kelly (drawn by J. Layman),,111-97,,
0:53.0,J. Layman makes free throw 1 of 2,1,112-97,,
0:53.0,J. Layman makes free throw 2 of 2,1,113-97,,
0:44.0,,,113-97,,M. Delaney misses 3-pt shot from 23 ft
0:42.0,,,113-97,,Offensive rebound by M. Muscala
0:36.0,Violation by N. Vonleh (kicked ball),,113-97,,
0:27.0,,,113-97,,T. Waller-Prince misses 2-pt shot from 2 ft
0:26.0,,,113-97,,Offensive rebound by M. Muscala
0:25.0,,,113-97,,M. Muscala misses 2-pt shot at rim
0:24.0,Defensive rebound by N. Vonleh,,113-97,,
0:02.0,Turnover by Team (shot clock),,113-97,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
