time,Portland,pts.away,score,pts.home,Miami
2:25.0,,,108-100,1,J. Johnson makes free throw 2 of 2
2:15.0,D. Lillard makes 2-pt shot from 8 ft,2,110-100,,
2:15.0,Shooting foul by T. Johnson (drawn by D. Lillard),,110-100,,
2:15.0,D. Lillard makes free throw 1 of 1,1,111-100,,
2:07.0,,,111-100,,G. Dragic misses 3-pt shot from 24 ft
2:06.0,Defensive rebound by Team,,111-100,,
2:06.0,Offensive foul by C. McCollum,,111-100,,
2:06.0,Turnover by C. McCollum (offensive foul),,111-100,,
1:58.0,Personal foul by J. Nurkic (drawn by G. Dragic),,111-100,,
1:58.0,,,111-100,,G. Dragic misses free throw 1 of 2
1:58.0,,,111-100,,Offensive rebound by Team
1:58.0,,,111-101,1,G. Dragic makes free throw 2 of 2
1:41.0,J. Nurkic makes 2-pt shot at rim (assist by C. McCollum),2,113-101,,
1:41.0,,,113-101,,Miami full timeout
1:33.0,Personal foul by A. Crabbe (drawn by J. Richardson),,113-101,,
1:33.0,,,113-101,,J. Richardson misses free throw 1 of 2
1:33.0,,,113-101,,Offensive rebound by Team
1:33.0,,,113-102,1,J. Richardson makes free throw 2 of 2
1:13.0,J. Nurkic misses 2-pt shot from 9 ft,,113-102,,
1:12.0,,,113-102,,Defensive rebound by Team
1:05.0,,,113-102,,G. Dragic misses 2-pt shot from 12 ft
1:04.0,Defensive rebound by J. Nurkic,,113-102,,
0:51.0,,,113-102,,Personal block foul by J. Richardson (drawn by D. Lillard)
0:51.0,D. Lillard makes free throw 1 of 2,1,114-102,,
0:51.0,D. Lillard makes free throw 2 of 2,1,115-102,,
0:51.0,,,115-102,,Miami full timeout
0:51.0,N. Vonleh enters the game for J. Nurkic,,115-102,,
0:48.0,,,115-104,2,J. Johnson makes 2-pt shot at rim
0:39.0,Turnover by D. Lillard (lost ball; steal by G. Dragic),,115-104,,
0:32.0,,,115-104,,J. Richardson misses 2-pt shot at rim
0:32.0,,,115-104,,Offensive rebound by H. Whiteside
0:31.0,,,115-104,,H. Whiteside misses 2-pt shot from 8 ft
0:30.0,,,115-104,,Offensive rebound by G. Dragic
0:28.0,,,115-104,,G. Dragic misses 2-pt shot from 2 ft
0:26.0,Defensive rebound by A. Crabbe,,115-104,,
0:02.0,Turnover by Team (shot clock),,115-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
