time,Dallas,pts.away,score,pts.home,Detroit
2:23.0,,,81-94,2,J. Leuer makes 2-pt shot from 18 ft (assist by T. Harris)
2:06.0,D. Nowitzki misses 2-pt shot from 7 ft,,81-94,,
2:06.0,,,81-94,,Defensive rebound by M. Morris
1:51.0,,,81-94,,R. Jackson misses 2-pt shot from 17 ft
1:51.0,,,81-94,,Offensive rebound by M. Morris
1:51.0,Loose ball foul by H. Barnes (drawn by M. Morris),,81-94,,
1:51.0,Official timeout,,81-94,,
1:37.0,,,81-94,,M. Morris misses 2-pt shot from 15 ft
1:36.0,Defensive rebound by W. Matthews,,81-94,,
1:15.0,D. Williams misses 3-pt shot from 26 ft,,81-94,,
1:15.0,,,81-94,,Defensive rebound by M. Morris
0:54.0,,,81-94,,M. Morris misses 2-pt shot from 10 ft
0:54.0,Defensive rebound by H. Barnes,,81-94,,
0:49.0,D. Nowitzki makes 3-pt shot from 27 ft (assist by D. Williams),3,84-94,,
0:34.0,,,84-94,,K. Caldwell-Pope misses 3-pt shot from 23 ft
0:34.0,Defensive rebound by D. Nowitzki,,84-94,,
0:24.0,H. Barnes makes 2-pt shot at rim (assist by S. Curry),2,86-94,,
0:23.0,Personal foul by H. Barnes (drawn by J. Leuer),,86-94,,
0:23.0,,,86-95,1,J. Leuer makes free throw 1 of 2
0:23.0,,,86-96,1,J. Leuer makes free throw 2 of 2
0:15.0,D. Williams makes 2-pt shot at rim,2,88-96,,
0:15.0,Personal foul by S. Curry (drawn by J. Leuer),,88-96,,
0:15.0,,,88-97,1,J. Leuer makes free throw 1 of 2
0:15.0,,,88-98,1,J. Leuer makes free throw 2 of 2
0:15.0,Dallas full timeout,,88-98,,
0:03.0,D. Williams makes 3-pt shot from 27 ft (assist by D. Nowitzki),3,91-98,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
