time,New York,pts.away,score,pts.home,Boston
5:45.0,D. Rose makes free throw 2 of 2,1,107-98,,
5:45.0,,,106-98,,A. Horford enters the game for A. Johnson
5:34.0,,,107-100,2,I. Thomas makes 2-pt shot from 2 ft
5:20.0,C. Anthony makes 3-pt shot from 23 ft (assist by D. Rose),3,110-100,,
5:04.0,,,110-100,,M. Smart misses 2-pt shot from 12 ft
5:03.0,,,110-100,,Offensive rebound by M. Smart
4:59.0,,,110-100,,T. Rozier misses 3-pt shot from 26 ft
4:58.0,Defensive rebound by M. Plumlee,,110-100,,
4:42.0,Turnover by D. Rose (lost ball; steal by M. Smart),,110-100,,
4:31.0,,,110-100,,A. Horford misses 3-pt shot from 26 ft
4:30.0,Defensive rebound by C. Lee,,110-100,,
4:09.0,D. Rose makes 2-pt shot from 18 ft (assist by M. Plumlee),2,112-100,,
3:49.0,,,112-100,,Turnover by I. Thomas (bad pass; steal by D. Rose)
3:34.0,D. Rose misses 2-pt shot from 5 ft (block by A. Horford),,112-100,,
3:33.0,,,112-100,,Defensive rebound by A. Horford
3:28.0,W. Hernangomez enters the game for M. Plumlee,,112-100,,
3:18.0,,,112-100,,I. Thomas misses 2-pt shot from 3 ft
3:17.0,Defensive rebound by W. Hernangomez,,112-100,,
2:56.0,C. Lee misses 3-pt shot from 23 ft,,112-100,,
2:55.0,,,112-100,,Defensive rebound by M. Smart
2:51.0,,,112-100,,I. Thomas misses 2-pt shot from 1 ft (block by C. Anthony)
2:50.0,,,112-100,,Offensive rebound by Team
2:50.0,New York full timeout,,112-100,,
2:47.0,,,112-100,,J. Crowder misses 2-pt shot from 21 ft
2:46.0,Defensive rebound by D. Rose,,112-100,,
2:25.0,D. Rose makes 2-pt shot from 19 ft (assist by C. Anthony),2,114-100,,
2:14.0,,,114-102,2,I. Thomas makes 2-pt shot from 1 ft
2:03.0,Offensive foul by D. Rose,,114-102,,
2:03.0,Turnover by D. Rose (offensive foul),,114-102,,
2:03.0,,,114-102,,J. Brown enters the game for M. Smart
2:03.0,M. Plumlee enters the game for W. Hernangomez,,114-102,,
1:56.0,,,114-102,,Shooting foul by M. Plumlee (drawn by I. Thomas)
1:56.0,,,114-103,1,I. Thomas makes free throw 1 of 2
1:56.0,,,114-104,1,I. Thomas makes free throw 2 of 2
1:34.0,D. Rose misses 2-pt shot from 19 ft,,114-104,,
1:33.0,Offensive rebound by B. Jennings,,114-104,,
1:31.0,,,114-104,,Personal take foul by T. Rozier (drawn by B. Jennings)
1:11.0,M. Plumlee makes 2-pt shot from 2 ft (assist by B. Jennings),2,116-104,,
1:05.0,,,116-104,,I. Thomas misses 2-pt shot from 2 ft
1:04.0,,,116-104,,Offensive rebound by A. Horford
1:03.0,,,116-106,2,A. Horford makes 2-pt shot from 1 ft
0:46.0,Shooting foul by J. Brown (drawn by M. Plumlee),,116-106,,
0:46.0,M. Plumlee misses free throw 1 of 2,,116-106,,
0:46.0,Offensive rebound by Team,,116-106,,
0:46.0,M. Plumlee makes free throw 2 of 2,1,117-106,,
0:46.0,,,117-106,,Boston full timeout
0:41.0,,,117-106,,J. Brown misses 2-pt shot from 1 ft
0:40.0,Defensive rebound by D. Rose,,117-106,,
0:17.0,D. Rose misses 2-pt shot from 7 ft,,117-106,,
0:16.0,Offensive rebound by M. Plumlee,,117-106,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
