time,Washington,pts.away,score,pts.home,Sacramento
3:54.0,,,105-105,,Shooting foul by J. Smith (drawn by D. Collison)
3:54.0,,,105-106,1,D. Collison makes free throw 1 of 2
3:54.0,,,105-107,1,D. Collison makes free throw 2 of 2
3:37.0,I. Mahinmi makes 2-pt shot from 8 ft (assist by J. Smith),2,107-107,,
3:15.0,,,107-107,,B. Hield misses 3-pt shot from 25 ft (block by J. Smith)
3:14.0,,,107-107,,Offensive rebound by B. Hield
3:12.0,,,107-107,,B. Hield misses 2-pt shot from 8 ft (block by I. Mahinmi)
3:11.0,Defensive rebound by J. Wall,,107-107,,
2:59.0,B. Beal makes 2-pt shot from 3 ft,2,109-107,,
2:35.0,,,109-109,2,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Collison)
2:19.0,,,109-109,,Personal block foul by A. Tolliver (drawn by J. Wall)
2:19.0,Washington full timeout,,109-109,,
2:19.0,B. Bogdanovic enters the game for J. Smith,,109-109,,
2:14.0,B. Beal misses 2-pt shot from 12 ft,,109-109,,
2:14.0,Offensive rebound by Team,,109-109,,
2:14.0,,,109-109,,Loose ball foul by D. Collison (drawn by I. Mahinmi)
2:14.0,I. Mahinmi misses free throw 1 of 2,,109-109,,
2:14.0,Offensive rebound by Team,,109-109,,
2:14.0,I. Mahinmi makes free throw 2 of 2,1,110-109,,
2:06.0,,,110-109,,Shooting foul by I. Mahinmi (drawn by W. Cauley-Stein)
2:06.0,,,110-109,,W. Cauley-Stein misses free throw 1 of 2
2:06.0,,,110-109,,Offensive rebound by Team
2:06.0,,,110-110,1,W. Cauley-Stein makes free throw 2 of 2
2:06.0,,,110-109,,G. Temple enters the game for A. Tolliver
1:46.0,J. Wall misses 2-pt shot from 20 ft,,110-110,,
1:45.0,,,110-110,,Defensive rebound by W. Cauley-Stein
1:32.0,,,110-112,2,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Collison)
1:17.0,B. Beal makes 2-pt shot from 15 ft (assist by J. Wall),2,112-112,,
1:00.0,,,112-112,,A. Afflalo misses 2-pt shot from 23 ft
1:00.0,Defensive rebound by J. Wall,,112-112,,
0:53.0,Washington full timeout,,112-112,,
0:38.0,B. Beal makes 2-pt shot from 19 ft,2,114-112,,
0:32.0,,,114-114,2,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by D. Collison)
0:20.0,J. Wall makes 2-pt shot from 13 ft,2,116-114,,
0:20.0,,,116-114,,Sacramento full timeout
0:20.0,M. Morris enters the game for I. Mahinmi,,116-114,,
0:20.0,K. Oubre enters the game for B. Bogdanovic,,116-114,,
0:16.0,,,116-116,2,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Collison)
0:16.0,Washington full timeout,,116-116,,
0:16.0,B. Bogdanovic enters the game for K. Oubre,,116-116,,
0:16.0,,,116-116,,B. McLemore enters the game for D. Collison
0:00.0,J. Wall misses 2-pt shot from 16 ft,,116-116,,
0:00.0,Offensive rebound by Team,,116-116,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:41.0,,,116-118,2,A. Afflalo makes 2-pt shot from 15 ft
4:22.0,B. Bogdanovic makes 2-pt shot from 14 ft,2,118-118,,
4:01.0,,,118-120,2,A. Afflalo makes 2-pt shot from 2 ft
3:41.0,O. Porter misses 2-pt shot from 14 ft,,118-120,,
3:41.0,,,118-120,,Defensive rebound by A. Afflalo
3:18.0,,,118-120,,D. Collison misses 3-pt shot from 26 ft
3:18.0,Defensive rebound by O. Porter,,118-120,,
3:02.0,J. Wall makes 3-pt shot from 26 ft (assist by B. Beal),3,121-120,,
2:42.0,Shooting block foul by M. Morris (drawn by A. Afflalo),,121-120,,
2:42.0,,,121-121,1,A. Afflalo makes free throw 1 of 2
2:42.0,,,121-122,1,A. Afflalo makes free throw 2 of 2
2:23.0,B. Beal makes 3-pt shot from 24 ft (assist by M. Morris),3,124-122,,
2:00.0,,,124-122,,A. Afflalo misses 2-pt shot from 17 ft
1:59.0,Defensive rebound by J. Wall,,124-122,,
1:38.0,B. Bogdanovic misses 2-pt shot from 21 ft,,124-122,,
1:37.0,Offensive rebound by O. Porter,,124-122,,
1:37.0,Turnover by Team (shot clock),,124-122,,
1:22.0,,,124-122,,A. Afflalo misses 2-pt shot from 11 ft
1:21.0,Defensive rebound by O. Porter,,124-122,,
1:08.0,M. Morris makes 2-pt shot at rim (assist by J. Wall),2,126-122,,
0:53.0,,,126-122,,B. Hield misses 2-pt shot from 3 ft (block by O. Porter)
0:50.0,Defensive rebound by M. Morris,,126-122,,
0:35.0,Washington full timeout,,126-122,,
0:30.0,B. Beal misses 2-pt shot from 20 ft,,126-122,,
0:30.0,Offensive rebound by Team,,126-122,,
0:29.0,Turnover by Team (shot clock),,126-122,,
0:21.0,,,126-122,,D. Collison misses 2-pt shot from 3 ft
0:20.0,Defensive rebound by B. Beal,,126-122,,
0:18.0,,,126-122,,Personal foul by D. Collison (drawn by B. Beal)
0:18.0,,,126-122,,Personal foul by G. Temple (drawn by B. Beal)
0:18.0,B. Beal makes free throw 1 of 2,1,127-122,,
0:18.0,B. Beal makes free throw 2 of 2,1,128-122,,
0:18.0,,,128-122,,Sacramento full timeout
0:18.0,,,127-122,,K. Koufos enters the game for G. Temple
0:18.0,,,128-122,,G. Temple enters the game for K. Koufos
0:18.0,K. Oubre enters the game for B. Bogdanovic,,128-122,,
0:11.0,,,128-122,,D. Collison misses 3-pt shot from 25 ft
0:10.0,Defensive rebound by M. Morris,,128-122,,
0:09.0,,,128-122,,Personal foul by B. Hield (drawn by M. Morris)
0:09.0,M. Morris makes free throw 1 of 2,1,129-122,,
0:09.0,M. Morris makes free throw 2 of 2,1,130-122,,
0:05.0,,,130-122,,Turnover by D. Collison (lost ball)
0:00.0,End of 1st overtime,,,,End of 1st overtime
