time,Houston,pts.away,score,pts.home,Boston
2:38.0,,,84-79,,Offensive rebound by Team
2:38.0,Houston full timeout,,84-79,,
2:38.0,,,84-79,,M. Thornton enters the game for J. Crowder
2:26.0,,,84-81,2,A. Bradley makes 2-pt shot from 20 ft (assist by T. Prince)
2:02.0,P. Beverley misses 3-pt shot from 24 ft,,84-81,,
2:01.0,,,84-81,,Defensive rebound by M. Thornton
1:50.0,,,84-81,,J. Sullinger misses 3-pt shot from 24 ft
1:48.0,Defensive rebound by J. Smith,,84-81,,
1:43.0,D. Motiejunas makes 2-pt shot from 1 ft (assist by J. Harden),2,86-81,,
1:43.0,Shooting foul by J. Sullinger (drawn by D. Motiejunas),,86-81,,
1:43.0,D. Motiejunas misses free throw 1 of 1,,86-81,,
1:43.0,,,86-81,,Defensive rebound by T. Prince
1:31.0,,,86-81,,J. Sullinger misses 3-pt shot from 25 ft
1:29.0,Defensive rebound by J. Smith,,86-81,,
1:11.0,T. Ariza misses 3-pt shot from 23 ft,,86-81,,
1:10.0,,,86-81,,Defensive rebound by T. Prince
1:02.0,,,86-81,,Boston full timeout
0:57.0,,,86-81,,A. Bradley misses 2-pt shot from 19 ft
0:56.0,Defensive rebound by Team,,86-81,,
0:56.0,,,86-81,,T. Zeller enters the game for J. Sullinger
0:56.0,,,86-81,,J. Crowder enters the game for M. Thornton
0:52.0,,,86-81,,Personal foul by M. Smart (drawn by J. Smith)
0:52.0,J. Smith makes free throw 1 of 2,1,87-81,,
0:52.0,,,87-81,,J. Sullinger enters the game for T. Prince
0:52.0,J. Smith makes free throw 2 of 2,1,88-81,,
0:52.0,,,88-81,,Boston full timeout
0:52.0,C. Brewer enters the game for D. Motiejunas,,88-81,,
0:52.0,,,88-81,,M. Thornton enters the game for T. Zeller
0:52.0,,,88-81,,T. Prince enters the game for J. Crowder
0:46.0,,,88-83,2,T. Prince makes 2-pt shot from 12 ft
0:44.0,,,88-83,,Personal take foul by T. Prince (drawn by P. Beverley)
0:44.0,P. Beverley makes free throw 1 of 2,1,89-83,,
0:44.0,,,89-83,,T. Zeller enters the game for T. Prince
0:44.0,P. Beverley makes free throw 2 of 2,1,90-83,,
0:37.0,,,90-83,,M. Thornton misses 3-pt shot from 26 ft
0:34.0,,,90-83,,Offensive rebound by J. Sullinger
0:34.0,,,90-85,2,J. Sullinger makes 2-pt shot at rim
0:34.0,Offensive foul by J. Harden,,90-85,,
0:34.0,Turnover by J. Harden (offensive foul),,90-85,,
0:27.0,,,90-87,2,M. Thornton makes 2-pt shot from 1 ft
0:27.0,Houston full timeout,,90-87,,
0:27.0,,,90-87,,T. Prince enters the game for J. Sullinger
0:27.0,,,90-87,,B. Bass enters the game for T. Zeller
0:27.0,,,90-87,,J. Crowder enters the game for M. Thornton
0:27.0,J. Terry enters the game for J. Smith,,90-87,,
0:22.0,,,90-87,,Personal take foul by A. Bradley (drawn by C. Brewer)
0:22.0,C. Brewer makes free throw 1 of 2,1,91-87,,
0:22.0,,,91-87,,T. Zeller enters the game for J. Crowder
0:22.0,,,91-87,,J. Sullinger enters the game for B. Bass
0:22.0,,,91-87,,M. Thornton enters the game for T. Prince
0:22.0,J. Smith enters the game for J. Terry,,91-87,,
0:22.0,C. Brewer makes free throw 2 of 2,1,92-87,,
0:11.0,,,92-87,,A. Bradley misses 3-pt shot from 22 ft
0:09.0,Defensive rebound by J. Harden,,92-87,,
0:09.0,,,92-87,,Personal take foul by A. Bradley (drawn by J. Harden)
0:09.0,J. Harden misses free throw 1 of 2,,92-87,,
0:09.0,Offensive rebound by Team,,92-87,,
0:09.0,J. Harden makes free throw 2 of 2,1,93-87,,
0:09.0,,,93-87,,Boston full timeout
0:09.0,,,93-87,,J. Crowder enters the game for T. Zeller
0:05.0,,,93-87,,A. Bradley misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by C. Brewer,,93-87,,
0:03.0,Turnover by C. Brewer (traveling),,93-87,,
0:01.0,,,93-87,,M. Smart misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by C. Brewer,,93-87,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
