time,Brooklyn,pts.away,score,pts.home,Atlanta
9:54.0,Turnover by T. Young (lost ball; steal by K. Korver),,52-76,,
9:50.0,,,52-78,2,J. Teague makes 2-pt shot at rim (assist by K. Korver)
9:50.0,Brooklyn full timeout,,52-78,,
9:38.0,T. Young makes 2-pt shot from 18 ft (assist by D. Williams),2,54-78,,
9:21.0,,,54-81,3,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague)
9:00.0,J. Johnson misses 2-pt shot from 5 ft,,54-81,,
8:58.0,,,54-81,,Defensive rebound by J. Teague
8:53.0,,,54-84,3,D. Carroll makes 3-pt shot from 24 ft (assist by J. Teague)
8:34.0,B. Bogdanovic misses 3-pt shot from 24 ft,,54-84,,
8:33.0,,,54-84,,Defensive rebound by D. Carroll
8:26.0,,,54-84,,K. Korver misses 3-pt shot from 24 ft
8:25.0,Defensive rebound by B. Lopez,,54-84,,
8:11.0,J. Johnson makes 3-pt shot from 24 ft (assist by B. Bogdanovic),3,57-84,,
7:59.0,,,57-86,2,J. Teague makes 2-pt shot from 4 ft
7:46.0,T. Young misses 2-pt shot from 4 ft,,57-86,,
7:45.0,Offensive rebound by B. Lopez,,57-86,,
7:45.0,B. Lopez makes 2-pt shot at rim,2,59-86,,
7:36.0,Personal foul by B. Bogdanovic (drawn by K. Korver),,59-86,,
7:32.0,,,59-86,,J. Teague misses 2-pt shot from 1 ft
7:31.0,Defensive rebound by D. Williams,,59-86,,
7:21.0,J. Johnson misses 3-pt shot from 24 ft,,59-86,,
7:20.0,Offensive rebound by T. Young,,59-86,,
7:09.0,D. Williams misses 2-pt shot from 7 ft,,59-86,,
7:08.0,Offensive rebound by T. Young,,59-86,,
7:08.0,T. Young makes 2-pt shot at rim,2,61-86,,
6:58.0,Technical foul by B. Bogdanovic,,61-86,,
6:58.0,,,61-87,1,K. Korver makes technical free throw
6:39.0,,,61-87,,K. Korver misses 2-pt shot from 21 ft
6:37.0,Defensive rebound by T. Young,,61-87,,
6:34.0,Turnover by T. Young (lost ball),,61-87,,
6:26.0,,,61-89,2,A. Horford makes 2-pt shot from 1 ft (assist by J. Teague)
6:12.0,,,61-89,,Personal foul by J. Teague (drawn by B. Lopez)
6:12.0,,,61-89,,P. Antic enters the game for A. Horford
6:12.0,M. Plumlee enters the game for B. Lopez,,61-89,,
6:12.0,E. Clark enters the game for T. Young,,61-89,,
6:05.0,D. Williams misses 3-pt shot from 25 ft,,61-89,,
6:04.0,,,61-89,,Defensive rebound by Team
5:42.0,,,61-92,3,K. Korver makes 3-pt shot from 23 ft (assist by J. Teague)
5:22.0,Turnover by E. Clark (bad pass),,61-92,,
5:22.0,M. Brown enters the game for J. Johnson,,61-92,,
5:22.0,,,61-92,,K. Bazemore enters the game for K. Korver
5:08.0,,,61-92,,D. Carroll misses 2-pt shot from 8 ft
5:07.0,Defensive rebound by E. Clark,,61-92,,
5:03.0,E. Clark makes 2-pt shot from 1 ft,2,63-92,,
4:47.0,,,63-94,2,D. Carroll makes 2-pt shot from 1 ft (assist by K. Bazemore)
4:35.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by M. Brown),3,66-94,,
4:27.0,,,66-94,,S. Mack enters the game for J. Teague
4:27.0,J. Jack enters the game for D. Williams,,66-94,,
4:15.0,,,66-96,2,S. Mack makes 2-pt shot from 4 ft (assist by D. Carroll)
3:52.0,E. Clark misses 2-pt shot from 20 ft,,66-96,,
3:52.0,,,66-96,,Defensive rebound by Team
3:52.0,Loose ball foul by M. Plumlee (drawn by P. Antic),,66-96,,
3:52.0,,,66-96,,M. Scott enters the game for M. Muscala
3:32.0,,,66-98,2,M. Scott makes 2-pt shot from 9 ft (assist by K. Bazemore)
3:16.0,E. Clark misses 2-pt shot from 10 ft,,66-98,,
3:14.0,Offensive rebound by M. Brown,,66-98,,
3:12.0,Shooting foul by K. Bazemore (drawn by M. Plumlee),,66-98,,
3:12.0,M. Plumlee misses free throw 1 of 2,,66-98,,
3:12.0,Offensive rebound by Team,,66-98,,
3:12.0,M. Plumlee misses free throw 2 of 2,,66-98,,
3:11.0,,,66-98,,Defensive rebound by D. Carroll
2:57.0,,,66-98,,Turnover by D. Carroll (bad pass; steal by M. Brown)
2:54.0,Turnover by M. Brown (lost ball; steal by S. Mack),,66-98,,
2:51.0,,,66-100,2,D. Carroll makes 2-pt shot at rim (assist by S. Mack)
2:30.0,Turnover by M. Plumlee (lost ball; steal by M. Scott),,66-100,,
2:17.0,,,66-103,3,D. Carroll makes 3-pt shot from 23 ft (assist by M. Scott)
2:07.0,Shooting foul by S. Mack (drawn by J. Jack),,66-103,,
2:07.0,,,66-103,,Atlanta full timeout
2:07.0,,,66-103,,T. Sefolosha enters the game for D. Carroll
2:07.0,J. Jack makes free throw 1 of 2,1,67-103,,
2:07.0,C. Jefferson enters the game for M. Plumlee,,67-103,,
2:07.0,J. Jack makes free throw 2 of 2,1,68-103,,
1:47.0,,,68-106,3,T. Sefolosha makes 3-pt shot from 23 ft (assist by K. Bazemore)
1:34.0,M. Brown misses 3-pt shot from 24 ft,,68-106,,
1:32.0,,,68-106,,Defensive rebound by T. Sefolosha
1:20.0,,,68-106,,M. Scott misses 2-pt shot at rim
1:18.0,Defensive rebound by E. Clark,,68-106,,
1:10.0,E. Clark makes 3-pt shot from 24 ft (assist by B. Bogdanovic),3,71-106,,
1:01.0,,,71-106,,M. Scott misses 3-pt shot from 24 ft
1:00.0,,,71-106,,Offensive rebound by P. Antic
0:48.0,,,71-106,,P. Antic misses 3-pt shot from 24 ft (block by C. Jefferson)
0:46.0,Defensive rebound by E. Clark,,71-106,,
0:35.0,Turnover by J. Jack (lost ball),,71-106,,
0:35.0,,,71-106,,J. Jenkins enters the game for K. Bazemore
0:29.0,,,71-106,,S. Mack misses 3-pt shot from 25 ft
0:27.0,Defensive rebound by M. Brown,,71-106,,
0:10.0,,,71-106,,Personal foul by S. Mack (drawn by J. Jack)
0:06.0,Turnover by J. Jack (lost ball; steal by T. Sefolosha),,71-106,,
0:02.0,,,71-108,2,S. Mack makes 2-pt shot from 1 ft (assist by T. Sefolosha)
0:00.0,J. Jack misses 3-pt shot from 67 ft,,71-108,,
0:00.0,Offensive rebound by Team,,71-108,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,C. Jefferson makes 2-pt shot from 8 ft (assist by J. Jack),2,73-108,,
11:25.0,,,73-108,,P. Antic misses 2-pt shot from 20 ft
11:23.0,,,73-108,,Offensive rebound by T. Sefolosha
11:10.0,,,73-110,2,T. Sefolosha makes 2-pt shot from 15 ft (assist by M. Scott)
10:47.0,Turnover by E. Clark (lost ball; steal by T. Sefolosha),,73-110,,
10:43.0,,,73-110,,Shooting foul by M. Brown (drawn by T. Sefolosha)
10:43.0,,,73-111,1,T. Sefolosha makes free throw 1 of 2
10:43.0,,,73-111,,E. Brand enters the game for P. Antic
10:43.0,,,73-111,,K. Bazemore enters the game for S. Mack
10:43.0,,,73-111,,M. Muscala enters the game for M. Scott
10:43.0,,,73-112,1,T. Sefolosha makes free throw 2 of 2
10:32.0,B. Bogdanovic makes 3-pt shot from 22 ft (assist by J. Jack),3,76-112,,
10:24.0,,,76-112,,J. Jenkins misses 3-pt shot from 24 ft
10:22.0,Defensive rebound by E. Clark,,76-112,,
10:13.0,J. Jack makes 2-pt shot from 15 ft,2,78-112,,
9:51.0,,,78-112,,T. Sefolosha misses 2-pt shot from 21 ft
9:50.0,Defensive rebound by C. Jefferson,,78-112,,
9:42.0,J. Jack makes 2-pt shot from 11 ft,2,80-112,,
9:42.0,Shooting foul by K. Bazemore (drawn by J. Jack),,80-112,,
9:42.0,J. Jack makes free throw 1 of 1,1,81-112,,
9:32.0,,,81-114,2,K. Bazemore makes 2-pt shot from 1 ft (assist by T. Sefolosha)
9:19.0,E. Clark makes 2-pt shot from 19 ft (assist by J. Jack),2,83-114,,
9:00.0,,,83-114,,Turnover by E. Brand (bad pass; steal by E. Clark)
8:56.0,Shooting foul by K. Bazemore (drawn by E. Clark),,83-114,,
8:56.0,Official timeout,,83-114,,
8:56.0,D. Morris enters the game for J. Jack,,83-114,,
8:56.0,,,83-114,,S. Mack enters the game for T. Sefolosha
8:56.0,E. Clark misses free throw 1 of 2,,83-114,,
8:56.0,Offensive rebound by Team,,83-114,,
8:56.0,E. Clark makes free throw 2 of 2,1,84-114,,
8:47.0,,,84-114,,Turnover by J. Jenkins (lost ball)
8:36.0,C. Jefferson makes 2-pt shot from 14 ft (assist by D. Morris),2,86-114,,
8:15.0,,,86-114,,Shooting foul by C. Jefferson (drawn by M. Muscala)
8:15.0,,,86-115,1,M. Muscala makes free throw 1 of 2
8:15.0,,,86-115,,T. Sefolosha enters the game for J. Jenkins
8:15.0,J. Jordan enters the game for B. Bogdanovic,,86-115,,
8:15.0,,,86-116,1,M. Muscala makes free throw 2 of 2
7:58.0,C. Jefferson misses 3-pt shot from 25 ft,,86-116,,
7:57.0,,,86-116,,Defensive rebound by Team
7:57.0,Loose ball foul by J. Jordan (drawn by E. Brand),,86-116,,
7:57.0,,,86-116,,M. Scott enters the game for M. Muscala
7:39.0,,,86-116,,Turnover by T. Sefolosha (lost ball; steal by D. Morris)
7:33.0,D. Morris misses 2-pt shot from 1 ft (block by K. Bazemore),,86-116,,
