time,Utah,pts.away,score,pts.home,San Antonio
3:56.0,E. Kanter makes 2-pt shot from 1 ft (assist by G. Hayward),2,43-55,,
3:38.0,,,43-55,,C. Joseph misses 2-pt shot from 18 ft
3:37.0,,,43-55,,Offensive rebound by A. Baynes
3:37.0,,,43-57,2,A. Baynes makes 2-pt shot from 1 ft
3:23.0,Shooting foul by C. Joseph (drawn by R. Hood),,43-57,,
3:23.0,R. Hood misses free throw 1 of 2,,43-57,,
3:23.0,Offensive rebound by Team,,43-57,,
3:23.0,,,43-57,,B. Diaw enters the game for T. Duncan
3:23.0,T. Booker enters the game for D. Favors,,43-57,,
3:23.0,R. Hood makes free throw 2 of 2,1,44-57,,
3:10.0,Personal foul by E. Kanter (drawn by A. Baynes),,44-57,,
3:10.0,,,44-58,1,A. Baynes makes free throw 1 of 2
3:10.0,,,44-59,1,A. Baynes makes free throw 2 of 2
2:50.0,T. Booker misses 2-pt shot from 20 ft,,44-59,,
2:48.0,,,44-59,,Defensive rebound by M. Ginobili
2:35.0,,,44-59,,P. Mills misses 2-pt shot from 1 ft
2:34.0,Defensive rebound by Team,,44-59,,
2:34.0,Utah full timeout,,44-59,,
2:21.0,D. Exum makes 2-pt shot from 1 ft (assist by G. Hayward),2,46-59,,
2:07.0,,,46-61,2,C. Joseph makes 2-pt shot from 9 ft (assist by M. Ginobili)
1:47.0,R. Hood misses 2-pt shot from 18 ft,,46-61,,
1:46.0,,,46-61,,Defensive rebound by A. Baynes
1:29.0,,,46-63,2,B. Diaw makes 2-pt shot from 2 ft (assist by M. Ginobili)
1:03.0,Turnover by Team (shot clock),,46-63,,
0:53.0,,,46-63,,Shooting foul by T. Booker (drawn by A. Baynes)
0:53.0,,,46-64,1,A. Baynes makes free throw 1 of 2
0:53.0,J. Ingles enters the game for R. Hood,,46-64,,
0:53.0,,,46-64,,A. Baynes misses free throw 2 of 2
0:53.0,Defensive rebound by E. Kanter,,46-64,,
0:38.0,G. Hayward misses 2-pt shot from 9 ft,,46-64,,
0:38.0,,,46-64,,Defensive rebound by A. Baynes
0:29.0,,,46-64,,Turnover by M. Ginobili (bad pass; steal by D. Exum)
0:28.0,,,46-64,,Personal foul by P. Mills (drawn by D. Exum)
0:09.0,,,46-64,,Shooting block foul by A. Baynes (drawn by G. Hayward)
0:09.0,G. Hayward makes free throw 1 of 2,1,47-64,,
0:09.0,R. Gobert enters the game for E. Kanter,,47-64,,
0:09.0,,,47-64,,M. Bonner enters the game for B. Diaw
0:09.0,G. Hayward misses free throw 2 of 2,,47-64,,
0:09.0,,,47-64,,Defensive rebound by M. Ginobili
0:03.0,,,47-66,2,M. Ginobili makes 2-pt shot at rim
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,T. Burke misses 2-pt shot from 6 ft,,47-66,,
11:39.0,,,47-66,,Defensive rebound by D. Green
11:25.0,,,47-68,2,P. Mills makes 2-pt shot from 19 ft (assist by T. Splitter)
11:01.0,R. Gobert makes 2-pt shot from 4 ft (assist by J. Ingles),2,49-68,,
10:42.0,,,49-70,2,D. Green makes 2-pt shot from 3 ft (assist by B. Diaw)
10:30.0,R. Hood misses 2-pt shot from 5 ft,,49-70,,
10:29.0,,,49-70,,Defensive rebound by T. Splitter
10:27.0,Personal take foul by J. Ingles (drawn by M. Ginobili),,49-70,,
10:27.0,E. Millsap enters the game for R. Hood,,49-70,,
10:27.0,Utah full timeout,,49-70,,
10:11.0,,,49-70,,T. Splitter misses 2-pt shot from 3 ft (block by R. Gobert)
10:09.0,Defensive rebound by T. Booker,,49-70,,
9:57.0,Turnover by T. Burke (bad pass; steal by B. Diaw),,49-70,,
9:40.0,,,49-73,3,D. Green makes 3-pt shot from 23 ft (assist by M. Ginobili)
9:15.0,T. Burke misses 2-pt shot from 2 ft,,49-73,,
9:14.0,Offensive rebound by Team,,49-73,,
9:14.0,,,49-73,,Loose ball foul by D. Green (drawn by T. Booker)
9:14.0,,,49-73,,K. Leonard enters the game for M. Ginobili
9:03.0,Turnover by R. Gobert (offensive goaltending),,49-73,,
8:44.0,,,49-73,,K. Leonard misses 2-pt shot from 1 ft (block by R. Gobert)
8:44.0,Defensive rebound by Team,,49-73,,
8:44.0,Official timeout,,49-73,,
8:27.0,T. Booker makes 2-pt shot from 7 ft (assist by T. Burke),2,51-73,,
8:04.0,,,51-76,3,D. Green makes 3-pt shot from 22 ft (assist by B. Diaw)
7:48.0,Turnover by J. Ingles (bad pass; steal by K. Leonard),,51-76,,
7:44.0,,,51-76,,K. Leonard misses 2-pt shot at rim (block by J. Ingles)
7:43.0,,,51-76,,Offensive rebound by D. Green
7:29.0,,,51-76,,P. Mills misses 3-pt shot from 25 ft
7:28.0,Defensive rebound by R. Gobert,,51-76,,
7:20.0,R. Gobert makes 2-pt shot at rim (assist by J. Ingles),2,53-76,,
7:20.0,Shooting foul by B. Diaw (drawn by R. Gobert),,53-76,,
7:20.0,,,53-76,,C. Joseph enters the game for P. Mills
7:20.0,D. Favors enters the game for T. Booker,,53-76,,
7:20.0,R. Gobert makes free throw 1 of 1,1,54-76,,
7:05.0,,,54-79,3,D. Green makes 3-pt shot from 25 ft (assist by B. Diaw)
6:48.0,T. Burke makes 2-pt shot from 20 ft (assist by R. Gobert),2,56-79,,
6:41.0,,,56-79,,T. Splitter misses 2-pt shot from 1 ft
6:40.0,Defensive rebound by D. Favors,,56-79,,
6:32.0,D. Favors misses 2-pt shot from 18 ft,,56-79,,
6:31.0,,,56-79,,Defensive rebound by B. Diaw
6:20.0,,,56-82,3,B. Diaw makes 3-pt shot from 24 ft (assist by C. Joseph)
5:55.0,E. Millsap misses 2-pt shot from 19 ft,,56-82,,
5:54.0,,,56-82,,Defensive rebound by B. Diaw
