time,Brooklyn,pts.away,score,pts.home,Denver
4:59.0,,,40-39,1,J. Nurkic makes free throw 2 of 2
4:39.0,J. Johnson makes 2-pt shot from 14 ft,2,42-39,,
4:24.0,Personal foul by A. Anderson (drawn by D. Gallinari),,42-39,,
4:24.0,,,42-40,1,D. Gallinari makes free throw 1 of 2
4:24.0,,,42-41,1,D. Gallinari makes free throw 2 of 2
4:11.0,M. Brown misses 3-pt shot from 23 ft,,42-41,,
4:10.0,,,42-41,,Defensive rebound by T. Lawson
3:58.0,Personal foul by A. Anderson (drawn by D. Gallinari),,42-41,,
3:58.0,,,42-42,1,D. Gallinari makes free throw 1 of 2
3:58.0,C. Jefferson enters the game for A. Anderson,,42-42,,
3:58.0,,,42-43,1,D. Gallinari makes free throw 2 of 2
3:41.0,J. Johnson misses 2-pt shot from 16 ft,,42-43,,
3:40.0,Offensive rebound by B. Lopez,,42-43,,
3:39.0,B. Lopez misses 2-pt shot from 1 ft,,42-43,,
3:38.0,Offensive rebound by B. Lopez,,42-43,,
3:37.0,Shooting foul by G. Harris (drawn by B. Lopez),,42-43,,
3:37.0,B. Lopez makes free throw 1 of 2,1,43-43,,
3:37.0,,,43-43,,J. Lauvergne enters the game for J. Nurkic
3:37.0,B. Lopez misses free throw 2 of 2,,43-43,,
3:35.0,Offensive rebound by Team,,43-43,,
3:35.0,,,43-43,,Loose ball foul by D. Gallinari (drawn by C. Jefferson)
3:27.0,C. Jefferson makes 2-pt shot at rim (assist by D. Williams),2,45-43,,
3:13.0,,,45-45,2,D. Arthur makes 2-pt shot from 15 ft (assist by T. Lawson)
2:58.0,B. Lopez misses 2-pt shot from 8 ft,,45-45,,
2:54.0,Offensive rebound by C. Jefferson,,45-45,,
2:54.0,C. Jefferson makes 2-pt shot from 1 ft,2,47-45,,
2:38.0,,,47-45,,D. Arthur misses 2-pt shot from 16 ft
2:37.0,Defensive rebound by D. Williams,,47-45,,
2:19.0,D. Williams makes 2-pt shot from 15 ft,2,49-45,,
2:08.0,,,49-45,,Turnover by T. Lawson (bad pass; steal by C. Jefferson)
2:08.0,,,49-45,,Personal foul by D. Arthur (drawn by C. Jefferson)
2:08.0,Brooklyn full timeout,,49-45,,
2:00.0,Turnover by D. Williams (bad pass; steal by J. Lauvergne),,49-45,,
1:57.0,,,49-45,,Denver full timeout
1:42.0,,,49-45,,D. Arthur misses 2-pt shot from 7 ft
1:41.0,Defensive rebound by C. Jefferson,,49-45,,
1:32.0,Shooting foul by D. Arthur (drawn by C. Jefferson),,49-45,,
1:32.0,C. Jefferson misses free throw 1 of 2,,49-45,,
1:32.0,Offensive rebound by Team,,49-45,,
1:32.0,C. Jefferson makes free throw 2 of 2,1,50-45,,
1:20.0,,,50-45,,J. Lauvergne misses 2-pt shot at rim (block by C. Jefferson)
1:18.0,Defensive rebound by M. Brown,,50-45,,
1:12.0,J. Johnson misses 3-pt shot from 23 ft,,50-45,,
1:12.0,,,50-45,,Defensive rebound by Team
1:05.0,,,50-45,,Offensive foul by J. Lauvergne
1:05.0,,,50-45,,Turnover by J. Lauvergne (offensive foul)
0:59.0,,,50-45,,Personal foul by G. Harris (drawn by D. Williams)
