time,Portland,pts.away,score,pts.home,Orlando
1:58.0,,,94-103,,N. Vucevic misses 2-pt shot from 19 ft
1:57.0,Defensive rebound by A. Afflalo,,94-103,,
1:44.0,Shooting foul by N. Vucevic (drawn by L. Aldridge),,94-103,,
1:44.0,L. Aldridge makes free throw 1 of 2,1,95-103,,
1:44.0,L. Aldridge misses free throw 2 of 2,,95-103,,
1:41.0,,,95-103,,Defensive rebound by V. Oladipo
1:41.0,Personal take foul by N. Batum (drawn by V. Oladipo),,95-103,,
1:41.0,,,95-104,1,V. Oladipo makes free throw 1 of 2
1:41.0,C. McCollum enters the game for R. Lopez,,95-104,,
1:41.0,,,95-104,,M. Harkless enters the game for C. Frye
1:41.0,,,95-105,1,V. Oladipo makes free throw 2 of 2
1:23.0,L. Aldridge misses 3-pt shot from 22 ft,,95-105,,
1:21.0,,,95-105,,Defensive rebound by N. Vucevic
1:05.0,,,95-105,,V. Oladipo misses 2-pt shot from 17 ft
1:04.0,,,95-105,,Offensive rebound by V. Oladipo
1:02.0,Personal foul by C. McCollum (drawn by V. Oladipo),,95-105,,
1:02.0,,,95-106,1,V. Oladipo makes free throw 1 of 2
1:02.0,M. Leonard enters the game for N. Batum,,95-106,,
1:02.0,J. Freeland enters the game for L. Aldridge,,95-106,,
1:02.0,A. Gee enters the game for A. Afflalo,,95-106,,
1:02.0,A. Crabbe enters the game for D. Lillard,,95-106,,
1:02.0,,,95-107,1,V. Oladipo makes free throw 2 of 2
0:51.0,C. McCollum makes 3-pt shot from 25 ft (assist by A. Crabbe),3,98-107,,
0:33.0,,,98-107,,Turnover by V. Oladipo (lost ball)
0:25.0,C. McCollum makes 2-pt shot from 16 ft,2,100-107,,
0:25.0,,,100-107,,Orlando full timeout
0:25.0,,,100-107,,L. Ridnour enters the game for M. Harkless
0:25.0,,,100-107,,C. Frye enters the game for A. Gordon
0:21.0,Personal take foul by J. Freeland (drawn by N. Vucevic),,100-107,,
0:21.0,,,100-108,1,N. Vucevic makes free throw 1 of 2
0:21.0,,,100-108,,A. Gordon enters the game for C. Frye
0:21.0,,,100-108,,M. Harkless enters the game for L. Ridnour
0:21.0,,,100-109,1,N. Vucevic makes free throw 2 of 2
0:21.0,Portland full timeout,,100-109,,
0:16.0,C. McCollum misses 3-pt shot from 26 ft,,100-109,,
0:14.0,Offensive rebound by M. Leonard,,100-109,,
0:11.0,A. Crabbe makes 2-pt shot from 7 ft (assist by M. Leonard),2,102-109,,
0:04.0,Personal foul by C. McCollum (drawn by E. Payton),,102-109,,
0:04.0,,,102-110,1,E. Payton makes free throw 1 of 2
0:04.0,,,102-111,1,E. Payton makes free throw 2 of 2
0:01.0,C. McCollum makes 2-pt shot at rim (assist by M. Leonard),2,104-111,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
