time,Sacramento,pts.away,score,pts.home,Toronto
2:26.0,,,100-117,,J. Johnson misses 2-pt shot from 4 ft (block by R. Hollins)
2:26.0,,,100-117,,Offensive rebound by Team
2:23.0,,,100-117,,L. Williams misses 3-pt shot from 24 ft
2:22.0,,,100-117,,Offensive rebound by T. Hansbrough
2:05.0,,,100-117,,J. Valanciunas misses 2-pt shot from 4 ft
2:04.0,Defensive rebound by R. McCallum,,100-117,,
1:58.0,Turnover by B. McLemore (bad pass),,100-117,,
1:39.0,,,100-117,,J. Johnson misses 2-pt shot from 6 ft
1:38.0,,,100-117,,Offensive rebound by J. Valanciunas
1:38.0,,,100-119,2,J. Valanciunas makes 2-pt shot at rim
1:26.0,N. Stauskas makes 2-pt shot from 20 ft,2,102-119,,
1:09.0,,,102-119,,L. Williams misses 3-pt shot from 25 ft
1:08.0,Defensive rebound by C. Landry,,102-119,,
1:00.0,R. McCallum misses 2-pt shot from 17 ft,,102-119,,
0:59.0,,,102-119,,Defensive rebound by J. Johnson
0:35.0,,,102-119,,J. Johnson misses 2-pt shot from 4 ft
0:34.0,Defensive rebound by C. Landry,,102-119,,
0:27.0,Turnover by B. McLemore (bad pass; steal by L. Williams),,102-119,,
0:03.0,,,102-119,,Turnover by Team (shot clock)
0:00.0,B. McLemore misses 3-pt shot from 24 ft,,102-119,,
0:00.0,Offensive rebound by Team,,102-119,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
