time,New York,pts.away,score,pts.home,Utah
7:17.0,,,71-71,,Shooting foul by C. Aldrich (drawn by D. Favors)
7:17.0,,,71-72,1,D. Favors makes free throw 1 of 2
7:17.0,,,71-73,1,D. Favors makes free throw 2 of 2
7:03.0,L. Galloway misses 2-pt shot from 16 ft,,71-73,,
7:01.0,Offensive rebound by C. Aldrich,,71-73,,
7:01.0,C. Aldrich misses 2-pt shot from 3 ft,,71-73,,
6:57.0,,,71-73,,Defensive rebound by D. Favors
6:48.0,,,71-73,,Turnover by D. Exum (bad pass)
6:29.0,C. Aldrich makes 2-pt shot from 4 ft,2,73-73,,
6:03.0,,,73-75,2,J. Ingles makes 2-pt shot from 22 ft
5:40.0,L. Galloway misses 2-pt shot from 20 ft,,73-75,,
5:39.0,,,73-75,,Defensive rebound by T. Burke
5:29.0,,,73-78,3,J. Ingles makes 3-pt shot from 24 ft (assist by D. Exum)
5:29.0,New York full timeout,,73-78,,
5:29.0,Official timeout,,73-78,,
5:29.0,L. Thomas enters the game for T. Wear,,73-78,,
5:29.0,A. Shved enters the game for S. Larkin,,73-78,,
5:15.0,Turnover by L. Thomas (lost ball),,73-78,,
4:56.0,,,73-78,,R. Gobert misses 2-pt shot from 4 ft
4:55.0,Defensive rebound by C. Aldrich,,73-78,,
4:45.0,C. Aldrich misses 2-pt shot from 5 ft,,73-78,,
4:43.0,,,73-78,,Defensive rebound by D. Favors
4:34.0,,,73-78,,J. Ingles misses 2-pt shot from 19 ft
4:32.0,Defensive rebound by A. Shved,,73-78,,
4:21.0,A. Bargnani makes 2-pt shot from 4 ft (assist by A. Shved),2,75-78,,
4:06.0,,,75-80,2,J. Ingles makes 2-pt shot from 3 ft (assist by D. Exum)
3:49.0,A. Shved misses 2-pt shot from 13 ft,,75-80,,
3:48.0,,,75-80,,Defensive rebound by Team
3:48.0,,,75-80,,R. Hood enters the game for T. Burke
3:32.0,,,75-80,,D. Favors misses 2-pt shot from 6 ft (block by C. Aldrich)
3:32.0,Defensive rebound by Team,,75-80,,
3:08.0,C. Aldrich makes 2-pt shot from 8 ft (assist by A. Shved),2,77-80,,
3:02.0,,,77-80,,Turnover by J. Ingles (offensive foul)
3:02.0,,,77-80,,Offensive foul by J. Ingles
2:45.0,,,77-80,,Personal foul by D. Favors (drawn by C. Aldrich)
2:45.0,,,77-80,,Utah full timeout
2:35.0,L. Galloway misses 3-pt shot from 24 ft,,77-80,,
2:32.0,,,77-80,,Defensive rebound by R. Gobert
2:13.0,,,77-80,,R. Hood misses 2-pt shot from 6 ft
2:12.0,,,77-80,,Offensive rebound by D. Favors
2:12.0,,,77-80,,Shooting foul by A. Bargnani (drawn by D. Favors)
2:12.0,,,77-81,1,D. Favors makes free throw 1 of 2
2:12.0,,,77-82,1,D. Favors makes free throw 2 of 2
1:59.0,A. Bargnani misses 2-pt shot from 16 ft,,77-82,,
1:58.0,,,77-82,,Defensive rebound by R. Gobert
1:37.0,,,77-84,2,R. Hood makes 2-pt shot from 8 ft
1:37.0,New York full timeout,,77-84,,
1:24.0,L. Galloway misses 2-pt shot from 3 ft,,77-84,,
1:24.0,Offensive rebound by Team,,77-84,,
1:24.0,,,77-84,,Loose ball foul by J. Ingles (drawn by C. Aldrich)
1:20.0,,,77-84,,Personal foul by D. Favors (drawn by A. Bargnani)
