time,New Orleans,pts.away,score,pts.home,Boston
11:27.0,A. Davis makes 2-pt shot from 4 ft,2,51-51,,
11:07.0,,,51-51,,T. Zeller misses 2-pt shot from 5 ft
11:05.0,,,51-51,,Offensive rebound by J. Sullinger
11:05.0,,,51-53,2,J. Sullinger makes 2-pt shot from 1 ft
10:46.0,Turnover by E. Gordon (lost ball; steal by E. Turner),,51-53,,
10:41.0,,,51-55,2,A. Bradley makes 2-pt shot from 1 ft (assist by E. Turner)
10:19.0,A. Davis makes 2-pt shot from 18 ft (assist by E. Gordon),2,53-55,,
9:59.0,,,53-55,,J. Sullinger misses 2-pt shot from 9 ft
9:58.0,Defensive rebound by A. Davis,,53-55,,
9:47.0,A. Davis misses 2-pt shot from 3 ft,,53-55,,
9:46.0,,,53-55,,Defensive rebound by J. Crowder
9:41.0,,,53-55,,Turnover by A. Bradley (bad pass; steal by O. Asik)
9:25.0,,,53-55,,Personal foul by A. Bradley (drawn by E. Gordon)
9:14.0,T. Evans misses 2-pt shot from 1 ft,,53-55,,
9:13.0,Offensive rebound by O. Asik,,53-55,,
9:11.0,T. Evans makes 2-pt shot at rim (assist by D. Cunningham),2,55-55,,
9:11.0,Shooting foul by T. Zeller (drawn by T. Evans),,55-55,,
9:11.0,T. Evans makes free throw 1 of 1,1,56-55,,
8:52.0,,,56-55,,J. Crowder misses 2-pt shot from 11 ft
8:51.0,,,56-55,,Offensive rebound by T. Zeller
8:51.0,,,56-55,,T. Zeller misses 2-pt shot at rim
8:49.0,Defensive rebound by T. Evans,,56-55,,
8:33.0,E. Gordon makes 3-pt shot from 25 ft (assist by T. Evans),3,59-55,,
8:14.0,,,59-55,,J. Sullinger misses 2-pt shot from 6 ft (block by A. Davis)
8:12.0,,,59-55,,Offensive rebound by J. Sullinger
8:08.0,,,59-55,,A. Bradley misses 3-pt shot from 25 ft
8:07.0,Defensive rebound by O. Asik,,59-55,,
7:59.0,Shooting foul by T. Zeller (drawn by O. Asik),,59-55,,
7:59.0,O. Asik makes free throw 1 of 2,1,60-55,,
7:59.0,,,60-55,,K. Olynyk enters the game for T. Zeller
7:59.0,O. Asik makes free throw 2 of 2,1,61-55,,
7:47.0,,,61-57,2,E. Turner makes 2-pt shot from 13 ft
7:29.0,A. Davis misses 2-pt shot from 16 ft,,61-57,,
7:28.0,,,61-57,,Defensive rebound by E. Turner
7:18.0,,,61-57,,J. Crowder misses 2-pt shot from 19 ft
7:17.0,Defensive rebound by A. Davis,,61-57,,
7:04.0,E. Gordon misses 3-pt shot from 25 ft,,61-57,,
7:02.0,,,61-57,,Defensive rebound by J. Sullinger
6:54.0,,,61-57,,J. Sullinger misses 3-pt shot from 25 ft
6:53.0,Defensive rebound by T. Evans,,61-57,,
6:40.0,Shooting foul by K. Olynyk (drawn by A. Davis),,61-57,,
6:40.0,A. Davis makes free throw 1 of 2,1,62-57,,
6:40.0,A. Davis makes free throw 2 of 2,1,63-57,,
6:25.0,,,63-59,2,J. Crowder makes 2-pt shot from 19 ft (assist by J. Sullinger)
6:07.0,A. Davis misses 2-pt shot from 2 ft,,63-59,,
6:06.0,,,63-59,,Defensive rebound by E. Turner
5:51.0,,,63-61,2,J. Crowder makes 2-pt shot from 1 ft (assist by J. Sullinger)
5:34.0,T. Evans makes 3-pt shot from 24 ft,3,66-61,,
5:20.0,,,66-61,,E. Turner misses 3-pt shot from 25 ft
5:19.0,Defensive rebound by T. Evans,,66-61,,
5:12.0,Turnover by T. Evans (lost ball; steal by J. Crowder),,66-61,,
5:06.0,,,66-61,,E. Turner misses 2-pt shot from 2 ft
5:04.0,,,66-61,,Offensive rebound by E. Turner
5:04.0,,,66-61,,Shooting foul by O. Asik (drawn by E. Turner)
5:04.0,,,66-61,,Boston full timeout
5:04.0,,,66-61,,E. Turner misses free throw 1 of 2
5:04.0,,,66-61,,Offensive rebound by Team
5:04.0,,,66-62,1,E. Turner makes free throw 2 of 2
4:41.0,D. Cunningham makes 2-pt shot from 19 ft (assist by T. Evans),2,68-62,,
4:14.0,,,68-62,,J. Sullinger misses 2-pt shot from 2 ft (block by A. Davis)
4:12.0,,,68-62,,Offensive rebound by J. Sullinger
4:12.0,,,68-64,2,J. Sullinger makes 2-pt shot at rim
3:48.0,A. Davis misses 2-pt shot from 6 ft,,68-64,,
3:46.0,Offensive rebound by O. Asik,,68-64,,
3:46.0,O. Asik misses 2-pt shot at rim,,68-64,,
3:44.0,Offensive rebound by D. Cunningham,,68-64,,
3:29.0,Shooting foul by K. Olynyk (drawn by O. Asik),,68-64,,
3:29.0,O. Asik misses free throw 1 of 2,,68-64,,
3:29.0,Offensive rebound by Team,,68-64,,
3:29.0,,,68-64,,M. Thornton enters the game for J. Sullinger
3:29.0,,,68-64,,B. Bass enters the game for A. Bradley
3:29.0,,,68-64,,M. Smart enters the game for E. Turner
3:29.0,,,68-64,,G. Wallace enters the game for K. Olynyk
3:29.0,O. Asik makes free throw 2 of 2,1,69-64,,
3:14.0,,,69-66,2,M. Smart makes 2-pt shot from 15 ft
2:59.0,Turnover by E. Gordon (traveling),,69-66,,
2:59.0,New Orleans full timeout,,69-66,,
2:59.0,L. Babbitt enters the game for D. Cunningham,,69-66,,
2:59.0,R. Anderson enters the game for O. Asik,,69-66,,
2:44.0,,,69-66,,M. Thornton misses 2-pt shot from 2 ft
2:43.0,Defensive rebound by A. Davis,,69-66,,
2:34.0,L. Babbitt misses 3-pt shot from 23 ft,,69-66,,
2:32.0,Offensive rebound by E. Gordon,,69-66,,
2:28.0,T. Evans misses 2-pt shot from 2 ft (block by J. Crowder),,69-66,,
2:26.0,,,69-66,,Defensive rebound by J. Crowder
2:13.0,,,69-66,,M. Thornton misses 2-pt shot from 2 ft
2:12.0,,,69-66,,Offensive rebound by G. Wallace
2:10.0,,,69-66,,Turnover by G. Wallace (bad pass)
1:51.0,A. Davis makes 2-pt shot from 2 ft (assist by E. Gordon),2,71-66,,
1:38.0,Personal foul by L. Babbitt (drawn by J. Crowder),,71-66,,
1:38.0,,,71-66,,J. Young enters the game for J. Crowder
1:38.0,J. Fredette enters the game for T. Evans,,71-66,,
1:25.0,,,71-66,,B. Bass misses 2-pt shot from 2 ft
1:24.0,,,71-66,,Offensive rebound by G. Wallace
1:23.0,Personal foul by A. Davis (drawn by G. Wallace),,71-66,,
1:23.0,,,71-66,,G. Wallace misses free throw 1 of 2
1:23.0,,,71-66,,Offensive rebound by Team
1:23.0,,,71-67,1,G. Wallace makes free throw 2 of 2
1:04.0,E. Gordon makes 2-pt shot from 1 ft (assist by A. Davis),2,73-67,,
0:55.0,Shooting block foul by A. Davis (drawn by M. Thornton),,73-67,,
0:55.0,,,73-69,2,M. Thornton makes 2-pt shot from 1 ft
0:55.0,,,73-69,,T. Zeller enters the game for G. Wallace
0:55.0,,,73-70,1,M. Thornton makes free throw 1 of 1
0:35.0,E. Gordon makes 2-pt shot at rim,2,75-70,,
0:27.0,,,75-70,,M. Smart misses 3-pt shot from 24 ft
0:25.0,Defensive rebound by Team,,75-70,,
