time,San Antonio,pts.away,score,pts.home,Charlotte
6:25.0,Turnover by M. Ginobili (lost ball),,83-81,,
6:09.0,,,83-81,,G. Henderson misses 2-pt shot from 11 ft
6:08.0,Defensive rebound by M. Bonner,,83-81,,
5:58.0,M. Ginobili makes 2-pt shot from 1 ft,2,85-81,,
5:58.0,Shooting foul by C. Zeller (drawn by M. Ginobili),,85-81,,
5:58.0,Official timeout,,85-81,,
5:58.0,M. Ginobili makes free throw 1 of 1,1,86-81,,
5:41.0,,,86-81,,K. Walker misses 2-pt shot from 18 ft
5:38.0,Defensive rebound by M. Ginobili,,86-81,,
5:31.0,P. Mills misses 2-pt shot from 12 ft (block by K. Walker),,86-81,,
5:30.0,,,86-81,,Defensive rebound by B. Biyombo
5:20.0,,,86-81,,C. Zeller misses 2-pt shot from 1 ft (block by M. Bonner)
5:20.0,,,86-81,,Offensive rebound by Team
5:20.0,T. Splitter enters the game for T. Duncan,,86-81,,
5:13.0,,,86-81,,K. Walker misses 2-pt shot at rim (block by C. Joseph)
5:13.0,,,86-81,,Offensive rebound by Team
5:13.0,Loose ball foul by P. Mills (drawn by B. Biyombo),,86-81,,
5:04.0,,,86-83,2,K. Walker makes 2-pt shot from 7 ft
4:39.0,M. Ginobili misses 3-pt shot from 25 ft,,86-83,,
4:37.0,,,86-83,,Defensive rebound by G. Henderson
4:34.0,,,86-83,,Shooting foul by C. Joseph (drawn by K. Walker)
4:34.0,,,86-84,1,K. Walker makes free throw 1 of 2
4:34.0,,,86-85,1,K. Walker makes free throw 2 of 2
4:21.0,Turnover by M. Ginobili (bad pass),,86-85,,
4:21.0,D. Green enters the game for C. Joseph,,86-85,,
4:09.0,,,86-85,,K. Walker misses 2-pt shot from 9 ft
4:07.0,Defensive rebound by T. Splitter,,86-85,,
3:47.0,M. Ginobili makes 2-pt shot from 5 ft,2,88-85,,
3:31.0,,,88-85,,K. Walker misses 2-pt shot from 16 ft
3:29.0,Defensive rebound by P. Mills,,88-85,,
3:21.0,M. Ginobili makes 3-pt shot from 25 ft,3,91-85,,
3:12.0,,,91-85,,Charlotte full timeout
2:55.0,,,91-85,,P. Hairston misses 2-pt shot from 11 ft
2:53.0,,,91-85,,Offensive rebound by P. Hairston
2:53.0,,,91-85,,P. Hairston misses 2-pt shot at rim
2:51.0,Defensive rebound by M. Bonner,,91-85,,
2:37.0,D. Green misses 3-pt shot from 26 ft,,91-85,,
2:35.0,,,91-85,,Defensive rebound by C. Zeller
2:23.0,,,91-85,,G. Henderson misses 2-pt shot from 1 ft
2:20.0,Defensive rebound by P. Mills,,91-85,,
2:00.0,T. Splitter makes 2-pt shot at rim (assist by M. Ginobili),2,93-85,,
1:48.0,,,93-85,,K. Walker misses 3-pt shot from 26 ft
1:47.0,,,93-85,,Offensive rebound by B. Biyombo
1:47.0,,,93-85,,Shooting foul by M. Bonner (drawn by B. Biyombo)
1:47.0,,,93-85,,B. Biyombo misses free throw 1 of 2
1:47.0,,,93-85,,Offensive rebound by Team
1:47.0,,,93-86,1,B. Biyombo makes free throw 2 of 2
1:28.0,Turnover by M. Ginobili (lost ball; steal by G. Henderson),,93-86,,
1:22.0,,,93-86,,P. Hairston misses 3-pt shot from 24 ft
1:20.0,,,93-86,,Offensive rebound by B. Biyombo
1:20.0,Personal foul by M. Ginobili (drawn by K. Walker),,93-86,,
1:20.0,,,93-87,1,K. Walker makes free throw 1 of 2
1:20.0,,,93-87,,M. Williams enters the game for B. Biyombo
1:20.0,,,93-88,1,K. Walker makes free throw 2 of 2
1:06.0,,,93-88,,Personal foul by G. Henderson (drawn by M. Ginobili)
0:55.0,P. Mills misses 3-pt shot from 24 ft,,93-88,,
0:54.0,,,93-88,,Defensive rebound by C. Zeller
0:45.0,,,93-88,,K. Walker misses 2-pt shot from 2 ft
0:42.0,Defensive rebound by P. Mills,,93-88,,
0:36.0,San Antonio full timeout,,93-88,,
0:36.0,,,93-88,,M. Kidd-Gilchrist enters the game for P. Hairston
0:36.0,T. Duncan enters the game for T. Splitter,,93-88,,
0:27.0,San Antonio full timeout,,93-88,,
0:27.0,,,93-88,,B. Biyombo enters the game for C. Zeller
0:25.0,,,93-88,,Personal foul by B. Biyombo (drawn by M. Ginobili)
0:25.0,M. Ginobili makes free throw 1 of 2,1,94-88,,
0:25.0,C. Joseph enters the game for M. Bonner,,94-88,,
0:25.0,M. Ginobili misses free throw 2 of 2,,94-88,,
0:24.0,,,94-88,,Defensive rebound by M. Kidd-Gilchrist
0:24.0,,,94-88,,Charlotte full timeout
0:24.0,,,94-88,,C. Zeller enters the game for M. Kidd-Gilchrist
0:24.0,,,94-88,,P. Hairston enters the game for B. Biyombo
0:24.0,,,94-88,,Charlotte full timeout
0:17.0,,,94-88,,G. Henderson misses 3-pt shot from 22 ft
0:16.0,,,94-88,,Offensive rebound by K. Walker
0:16.0,,,94-90,2,K. Walker makes 2-pt shot at rim
0:13.0,San Antonio full timeout,,94-90,,
0:13.0,T. Splitter enters the game for C. Joseph,,94-90,,
0:13.0,,,94-90,,M. Kidd-Gilchrist enters the game for P. Hairston
0:09.0,,,94-90,,Personal take foul by M. Williams (drawn by D. Green)
0:09.0,D. Green makes free throw 1 of 2,1,95-90,,
0:09.0,,,95-90,,P. Hairston enters the game for M. Kidd-Gilchrist
0:09.0,C. Joseph enters the game for T. Splitter,,95-90,,
0:09.0,D. Green makes free throw 2 of 2,1,96-90,,
0:04.0,,,96-93,3,K. Walker makes 3-pt shot from 25 ft
0:02.0,,,96-93,,Personal take foul by M. Williams (drawn by C. Joseph)
0:02.0,C. Joseph makes free throw 1 of 2,1,97-93,,
0:02.0,C. Joseph makes free throw 2 of 2,1,98-93,,
0:02.0,,,98-93,,Charlotte full timeout
0:00.0,,,98-93,,K. Walker misses 3-pt shot from 32 ft
0:00.0,,,98-93,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
