time,Sacramento,pts.away,score,pts.home,Indiana
1:33.0,,,93-87,,Defensive rebound by R. Hibbert
1:23.0,,,93-87,,G. Hill misses 3-pt shot from 25 ft
1:22.0,,,93-87,,Offensive rebound by C. Miles
1:21.0,,,93-87,,Shooting foul by B. McLemore (drawn by C. Miles)
1:21.0,,,93-88,1,C. Miles makes free throw 1 of 2
1:21.0,,,93-89,1,C. Miles makes free throw 2 of 2
1:03.0,R. Gay makes 2-pt shot from 9 ft,2,95-89,,
1:03.0,,,95-89,,Indiana full timeout
0:48.0,,,95-89,,Shooting foul by J. Thompson (drawn by D. West)
0:48.0,R. Hollins enters the game for J. Thompson,,95-89,,
0:48.0,,,95-90,1,D. West makes free throw 1 of 2
0:48.0,,,95-90,,S. Hill enters the game for D. Rudez
0:48.0,,,95-91,1,D. West makes free throw 2 of 2
0:42.0,Turnover by C. Landry (lost ball; steal by D. West),,95-91,,
0:38.0,,,95-91,,C. Miles misses 3-pt shot from 25 ft
0:37.0,Defensive rebound by B. McLemore,,95-91,,
0:13.0,D. Collison makes 2-pt shot from 20 ft,2,97-91,,
0:13.0,,,97-91,,Indiana full timeout
0:13.0,,,97-91,,D. Rudez enters the game for S. Hill
0:13.0,,,97-91,,C. Watson enters the game for R. Hibbert
0:13.0,O. Casspi enters the game for R. Hollins,,97-91,,
0:11.0,,,97-91,,G. Hill misses 3-pt shot from 27 ft
0:10.0,Defensive rebound by C. Landry,,97-91,,
0:09.0,,,97-91,,Personal take foul by G. Hill (drawn by D. Collison)
0:09.0,D. Collison misses free throw 1 of 2,,97-91,,
0:09.0,Offensive rebound by Team,,97-91,,
0:09.0,,,97-91,,R. Hibbert enters the game for C. Watson
0:09.0,R. Hollins enters the game for O. Casspi,,97-91,,
0:09.0,D. Collison misses free throw 2 of 2,,97-91,,
0:08.0,,,97-91,,Defensive rebound by R. Hibbert
0:08.0,,,97-91,,Indiana full timeout
0:08.0,,,97-91,,C. Watson enters the game for R. Hibbert
0:08.0,O. Casspi enters the game for R. Hollins,,97-91,,
0:06.0,,,97-94,3,G. Hill makes 3-pt shot from 25 ft (assist by C. Watson)
0:06.0,,,97-94,,Personal take foul by C. Miles (drawn by R. Gay)
0:06.0,R. Gay makes free throw 1 of 2,1,98-94,,
0:06.0,,,98-94,,I. Mahinmi enters the game for D. Rudez
0:06.0,R. Gay makes free throw 2 of 2,1,99-94,,
0:01.0,,,99-94,,G. Hill misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by R. Gay,,99-94,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
