time,Milwaukee,pts.away,score,pts.home,Denver
7:29.0,,,75-87,,D. Gallinari enters the game for W. Barton
7:29.0,G. Antetokounmpo makes free throw 2 of 2,1,76-87,,
7:09.0,,,76-87,,Denver full timeout
7:05.0,,,76-87,,D. Gallinari misses 2-pt shot from 15 ft
7:02.0,,,76-87,,Offensive rebound by G. Harris
6:56.0,,,76-87,,G. Harris misses 2-pt shot from 3 ft
6:55.0,Defensive rebound by K. Middleton,,76-87,,
6:42.0,E. Ilyasova makes 2-pt shot from 18 ft (assist by M. Carter-Williams),2,78-87,,
6:28.0,Personal foul by K. Middleton (drawn by D. Gallinari),,78-87,,
6:20.0,,,78-90,3,E. Green makes 3-pt shot from 24 ft (assist by J. Hickson)
6:20.0,,,78-90,,Shooting foul by M. Carter-Williams (drawn by E. Green)
6:20.0,,,78-91,1,E. Green makes free throw 1 of 1
6:02.0,E. Ilyasova misses 3-pt shot from 22 ft,,78-91,,
6:01.0,Offensive rebound by G. Antetokounmpo,,78-91,,
6:00.0,Shooting foul by D. Gallinari (drawn by G. Antetokounmpo),,78-91,,
6:00.0,G. Antetokounmpo makes free throw 1 of 2,1,79-91,,
6:00.0,,,79-91,,T. Lawson enters the game for G. Harris
6:00.0,G. Antetokounmpo misses free throw 2 of 2,,79-91,,
5:58.0,,,79-91,,Defensive rebound by J. Hickson
5:37.0,,,79-93,2,T. Lawson makes 2-pt shot from 17 ft
5:23.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,82-93,,
5:08.0,,,82-93,,J. Hickson misses 2-pt shot from 18 ft
5:05.0,Defensive rebound by E. Ilyasova,,82-93,,
5:00.0,M. Carter-Williams misses 2-pt shot from 1 ft (block by K. Faried),,82-93,,
4:59.0,Offensive rebound by Team,,82-93,,
4:59.0,,,82-93,,R. Foye enters the game for E. Green
4:50.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by K. Middleton),2,84-93,,
4:30.0,,,84-95,2,T. Lawson makes 2-pt shot from 16 ft
4:18.0,M. Carter-Williams makes 2-pt shot at rim,2,86-95,,
4:18.0,,,86-95,,Denver full timeout
4:18.0,J. Henson enters the game for Z. Pachulia,,86-95,,
4:05.0,,,86-95,,T. Lawson misses 2-pt shot from 17 ft (block by G. Antetokounmpo)
4:02.0,Defensive rebound by J. Henson,,86-95,,
3:52.0,G. Antetokounmpo makes 3-pt shot from 23 ft (assist by K. Middleton),3,89-95,,
3:33.0,,,89-98,3,D. Gallinari makes 3-pt shot from 25 ft (assist by J. Hickson)
3:21.0,,,89-98,,Personal foul by T. Lawson (drawn by M. Carter-Williams)
3:21.0,M. Carter-Williams makes free throw 1 of 2,1,90-98,,
3:21.0,,,90-98,,W. Chandler enters the game for J. Hickson
3:21.0,M. Carter-Williams makes free throw 2 of 2,1,91-98,,
3:09.0,Personal foul by E. Ilyasova (drawn by D. Gallinari),,91-98,,
3:09.0,,,91-99,1,D. Gallinari makes free throw 1 of 2
3:09.0,,,91-100,1,D. Gallinari makes free throw 2 of 2
2:48.0,J. Henson misses 2-pt shot from 4 ft,,91-100,,
2:46.0,,,91-100,,Defensive rebound by K. Faried
2:28.0,,,91-100,,W. Chandler misses 2-pt shot from 7 ft
2:26.0,Defensive rebound by M. Carter-Williams,,91-100,,
2:22.0,,,91-100,,Violation by D. Gallinari (def goaltending)
2:22.0,E. Ilyasova makes 2-pt shot from 2 ft,2,93-100,,
2:06.0,,,93-100,,T. Lawson misses 3-pt shot from 24 ft
2:04.0,,,93-100,,Offensive rebound by T. Lawson
1:47.0,,,93-103,3,R. Foye makes 3-pt shot from 23 ft (assist by T. Lawson)
1:47.0,Milwaukee full timeout,,93-103,,
1:39.0,K. Middleton misses 3-pt shot from 26 ft,,93-103,,
1:38.0,,,93-103,,Defensive rebound by K. Faried
1:17.0,,,93-103,,W. Chandler misses 3-pt shot from 26 ft
1:16.0,Defensive rebound by G. Antetokounmpo,,93-103,,
1:03.0,G. Antetokounmpo misses 2-pt shot from 18 ft,,93-103,,
1:02.0,,,93-103,,Defensive rebound by K. Faried
0:38.0,,,93-106,3,T. Lawson makes 3-pt shot from 23 ft (assist by R. Foye)
0:33.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by K. Middleton),2,95-106,,
0:14.0,,,95-106,,R. Foye misses 3-pt shot from 25 ft
0:13.0,Defensive rebound by M. Carter-Williams,,95-106,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
