time,Sacramento,pts.away,score,pts.home,Orlando
2:20.0,,,106-105,,Defensive rebound by T. Harris
2:00.0,,,106-107,2,V. Oladipo makes 2-pt shot at rim
1:46.0,D. Cousins misses 2-pt shot from 16 ft,,106-107,,
1:44.0,,,106-107,,Defensive rebound by C. Frye
1:26.0,,,106-110,3,C. Frye makes 3-pt shot from 24 ft (assist by T. Harris)
1:26.0,Sacramento full timeout,,106-110,,
1:26.0,,,106-110,,A. Gordon enters the game for C. Frye
1:13.0,,,106-110,,Personal foul by D. Dedmon (drawn by D. Cousins)
1:13.0,D. Cousins makes free throw 1 of 2,1,107-110,,
1:13.0,,,107-110,,Orlando full timeout
1:13.0,,,107-110,,C. Frye enters the game for A. Gordon
1:13.0,D. Cousins makes free throw 2 of 2,1,108-110,,
0:54.0,,,108-110,,V. Oladipo misses 2-pt shot from 20 ft
0:53.0,Defensive rebound by Team,,108-110,,
0:53.0,,,108-110,,A. Gordon enters the game for C. Frye
0:33.0,Shooting foul by A. Gordon (drawn by O. Casspi),,108-110,,
0:33.0,O. Casspi makes free throw 1 of 3,1,109-110,,
0:33.0,O. Casspi makes free throw 2 of 3,1,110-110,,
0:33.0,,,110-110,,K. O'Quinn enters the game for E. Payton
0:33.0,O. Casspi makes free throw 3 of 3,1,111-110,,
0:33.0,,,111-110,,Orlando full timeout
0:33.0,,,111-110,,E. Payton enters the game for K. O'Quinn
0:33.0,,,111-110,,C. Frye enters the game for A. Gordon
0:29.0,,,111-113,3,T. Harris makes 3-pt shot from 22 ft (assist by V. Oladipo)
0:29.0,Sacramento full timeout,,111-113,,
0:29.0,,,111-113,,A. Gordon enters the game for C. Frye
0:16.0,D. Cousins misses 2-pt shot at rim,,111-113,,
0:15.0,,,111-113,,Defensive rebound by A. Gordon
0:14.0,,,111-113,,Orlando full timeout
0:14.0,,,111-113,,C. Frye enters the game for D. Dedmon
0:14.0,,,111-113,,B. Gordon enters the game for A. Gordon
0:06.0,Personal foul by A. Miller (drawn by C. Frye),,111-113,,
0:06.0,,,111-114,1,C. Frye makes free throw 1 of 2
0:06.0,,,111-114,,A. Gordon enters the game for B. Gordon
0:06.0,,,111-115,1,C. Frye makes free throw 2 of 2
0:06.0,Sacramento full timeout,,111-115,,
0:06.0,,,111-115,,D. Dedmon enters the game for C. Frye
0:04.0,R. Gay makes 3-pt shot from 22 ft (assist by A. Miller),3,114-115,,
0:03.0,Personal foul by A. Miller (drawn by T. Harris),,114-115,,
0:03.0,,,114-116,1,T. Harris makes free throw 1 of 2
0:03.0,,,114-116,,K. O'Quinn enters the game for A. Gordon
0:03.0,,,114-117,1,T. Harris makes free throw 2 of 2
0:02.0,Turnover by A. Miller (bad pass; steal by K. O'Quinn),,114-117,,
0:01.0,Personal take foul by O. Casspi (drawn by T. Harris),,114-117,,
0:01.0,,,114-118,1,T. Harris makes free throw 1 of 2
0:01.0,,,114-119,1,T. Harris makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
