time,Washington,pts.away,score,pts.home,Phoenix
0:24.0,,,97-103,2,M. Morris makes 2-pt shot from 14 ft
0:24.0,Washington full timeout,,97-103,,
0:16.0,Shooting foul by A. Len (drawn by K. Humphries),,97-103,,
0:16.0,K. Humphries makes free throw 1 of 2,1,98-103,,
0:16.0,G. Temple enters the game for M. Gortat,,98-103,,
0:16.0,K. Humphries misses free throw 2 of 2,,98-103,,
0:15.0,,,98-103,,Defensive rebound by P. Tucker
0:13.0,Personal take foul by B. Beal (drawn by P. Tucker),,98-103,,
0:13.0,,,98-103,,I. Thomas enters the game for A. Len
0:12.0,Personal take foul by G. Temple (drawn by G. Dragic),,98-103,,
0:12.0,,,98-104,1,G. Dragic makes free throw 1 of 2
0:12.0,,,98-104,,G. Dragic misses free throw 2 of 2
0:12.0,,,98-104,,Offensive rebound by Team
0:12.0,,,98-104,,Phoenix full timeout
0:05.0,,,98-104,,Turnover by P. Tucker (lost ball)
0:05.0,Washington full timeout,,98-104,,
0:05.0,M. Webster enters the game for G. Temple,,98-104,,
0:01.0,Turnover by J. Wall (lost ball; steal by I. Thomas),,98-104,,
0:01.0,Personal foul by O. Porter (drawn by I. Thomas),,98-104,,
0:01.0,,,98-105,1,I. Thomas makes free throw 1 of 2
0:01.0,,,98-106,1,I. Thomas makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
