time,Milwaukee,pts.away,score,pts.home,Memphis
2:39.0,Defensive rebound by M. Plumlee,,79-96,,
2:26.0,K. Middleton makes 2-pt shot from 4 ft,2,81-96,,
2:24.0,,,81-96,,Memphis full timeout
2:24.0,,,81-96,,Memphis full timeout
2:24.0,,,81-96,,T. Allen enters the game for K. Koufos
2:24.0,,,81-96,,M. Gasol enters the game for V. Carter
2:24.0,J. Henson enters the game for K. Middleton,,81-96,,
2:11.0,,,81-96,,C. Lee misses 3-pt shot from 22 ft
2:10.0,Defensive rebound by T. Ennis,,81-96,,
1:50.0,Turnover by M. Plumlee (bad pass; steal by Z. Randolph),,81-96,,
1:31.0,,,81-96,,B. Udrih misses 2-pt shot from 21 ft
1:30.0,Defensive rebound by C. Johnson,,81-96,,
1:23.0,Turnover by T. Ennis (bad pass),,81-96,,
1:23.0,,,81-96,,K. Koufos enters the game for Z. Randolph
1:23.0,,,81-96,,J. Green enters the game for M. Gasol
1:09.0,,,81-96,,K. Koufos misses 2-pt shot from 15 ft
1:08.0,Defensive rebound by J. O'Bryant,,81-96,,
0:58.0,J. O'Bryant makes 2-pt shot at rim,2,83-96,,
0:37.0,,,83-96,,T. Allen misses 3-pt shot from 23 ft
0:36.0,Defensive rebound by M. Plumlee,,83-96,,
0:24.0,T. Ennis misses 3-pt shot from 25 ft,,83-96,,
0:23.0,,,83-96,,Defensive rebound by K. Koufos
0:00.0,End of 4th quarter,,,,End of 4th quarter
