time,Brooklyn,pts.away,score,pts.home,Washington
2:22.0,,,95-74,,O. Porter misses 2-pt shot from 18 ft
2:21.0,Defensive rebound by B. Lopez,,95-74,,
2:15.0,Brooklyn full timeout,,95-74,,
2:15.0,Official timeout,,95-74,,
2:15.0,M. Brown enters the game for B. Bogdanovic,,95-74,,
2:15.0,C. Jefferson enters the game for J. Jack,,95-74,,
2:15.0,J. Jordan enters the game for B. Lopez,,95-74,,
2:15.0,D. Morris enters the game for M. Teletovic,,95-74,,
2:00.0,M. Brown makes 3-pt shot from 26 ft,3,98-74,,
1:47.0,,,98-74,,Shooting foul by J. Jordan (drawn by M. Webster)
1:47.0,,,98-75,1,M. Webster makes free throw 1 of 2
1:47.0,,,98-76,1,M. Webster makes free throw 2 of 2
1:27.0,M. Brown makes 2-pt shot from 21 ft (assist by C. Jefferson),2,100-76,,
1:11.0,,,100-76,,G. Temple misses 2-pt shot from 19 ft
1:10.0,,,100-76,,Offensive rebound by D. Blair
1:08.0,Personal foul by M. Brown (drawn by G. Temple),,100-76,,
1:08.0,,,100-77,1,G. Temple makes free throw 1 of 2
1:08.0,,,100-78,1,G. Temple makes free throw 2 of 2
0:59.0,,,100-78,,Personal foul by M. Webster (drawn by J. Jordan)
0:59.0,J. Jordan makes free throw 1 of 2,1,101-78,,
0:59.0,J. Jordan makes free throw 2 of 2,1,102-78,,
0:40.0,,,102-80,2,K. Seraphin makes 2-pt shot from 9 ft
0:29.0,C. Jefferson misses 2-pt shot from 6 ft (block by K. Seraphin),,102-80,,
0:27.0,,,102-80,,Defensive rebound by D. Blair
0:16.0,,,102-80,,M. Webster misses 3-pt shot from 24 ft
0:14.0,Defensive rebound by C. Jefferson,,102-80,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
