time,Philadelphia,pts.away,score,pts.home,Brooklyn
3:43.0,,,80-86,,Personal foul by J. Jordan (drawn by N. Noel)
3:34.0,,,80-86,,Violation by J. Jordan (def goaltending)
3:34.0,L. Mbah a Moute makes 2-pt shot from 1 ft,2,82-86,,
3:22.0,,,82-86,,J. Jack misses 2-pt shot from 5 ft
3:21.0,Defensive rebound by M. Carter-Williams,,82-86,,
3:14.0,R. Covington makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,85-86,,
3:12.0,,,85-86,,Brooklyn full timeout
3:12.0,,,85-86,,B. Lopez enters the game for J. Jordan
2:47.0,,,85-86,,J. Johnson misses 3-pt shot from 23 ft
2:46.0,Defensive rebound by L. Mbah a Moute,,85-86,,
2:41.0,T. Wroten makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,87-86,,
2:41.0,Shooting foul by B. Lopez (drawn by T. Wroten),,87-86,,
2:41.0,Philadelphia full timeout,,87-86,,
2:41.0,,,87-86,,M. Plumlee enters the game for D. Morris
2:41.0,T. Wroten makes free throw 1 of 1,1,88-86,,
2:28.0,,,88-86,,B. Lopez misses 2-pt shot from 21 ft
2:26.0,Defensive rebound by R. Covington,,88-86,,
2:05.0,Turnover by M. Carter-Williams (bad pass; steal by A. Anderson),,88-86,,
1:46.0,,,88-86,,Turnover by J. Jack (bad pass; steal by R. Covington)
1:26.0,Turnover by N. Noel (bad pass),,88-86,,
1:08.0,,,88-86,,J. Johnson misses 2-pt shot from 7 ft
1:07.0,,,88-86,,Offensive rebound by J. Johnson
1:06.0,,,88-86,,J. Johnson misses 2-pt shot from 1 ft
1:05.0,Defensive rebound by M. Carter-Williams,,88-86,,
0:42.0,N. Noel misses 2-pt shot from 4 ft,,88-86,,
0:41.0,,,88-86,,Defensive rebound by B. Lopez
0:36.0,,,88-86,,Brooklyn full timeout
0:25.0,,,88-88,2,B. Lopez makes 2-pt shot from 13 ft
0:25.0,Philadelphia full timeout,,88-88,,
0:25.0,,,88-88,,D. Morris enters the game for B. Lopez
0:03.0,N. Noel makes 2-pt shot at rim (assist by M. Carter-Williams),2,90-88,,
0:03.0,,,90-88,,Brooklyn full timeout
0:03.0,,,90-88,,B. Lopez enters the game for D. Morris
0:03.0,,,90-88,,M. Teletovic enters the game for M. Plumlee
0:03.0,J. Grant enters the game for T. Wroten,,90-88,,
0:01.0,,,90-88,,B. Lopez misses 3-pt shot from 26 ft
0:00.0,,,90-88,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
