time,Charlotte,pts.away,score,pts.home,Boston
3:18.0,,,96-85,,A. Bradley enters the game for B. Bass
3:18.0,,,96-85,,J. Green enters the game for J. Crowder
3:02.0,,,96-85,,J. Sullinger misses 2-pt shot from 4 ft
3:01.0,Defensive rebound by G. Henderson,,96-85,,
3:00.0,,,96-85,,Personal foul by J. Young (drawn by G. Henderson)
3:00.0,G. Henderson makes free throw 1 of 2,1,97-85,,
3:00.0,G. Henderson makes free throw 2 of 2,1,98-85,,
2:53.0,,,98-85,,J. Green misses 3-pt shot from 26 ft
2:52.0,Defensive rebound by K. Walker,,98-85,,
2:34.0,K. Walker makes 2-pt shot from 17 ft,2,100-85,,
2:18.0,,,100-85,,M. Smart misses 2-pt shot from 6 ft
2:17.0,,,100-85,,Offensive rebound by Team
2:17.0,Loose ball foul by C. Zeller (drawn by J. Sullinger),,100-85,,
2:17.0,,,100-86,1,J. Sullinger makes free throw 1 of 2
2:17.0,,,100-86,,J. Crowder enters the game for J. Green
2:17.0,,,100-86,,P. Pressey enters the game for J. Young
2:17.0,,,100-87,1,J. Sullinger makes free throw 2 of 2
1:53.0,K. Walker misses 2-pt shot from 4 ft (block by J. Sullinger),,100-87,,
1:52.0,,,100-87,,Defensive rebound by A. Bradley
1:42.0,,,100-89,2,P. Pressey makes 2-pt shot at rim
1:19.0,G. Neal misses 2-pt shot from 2 ft (block by J. Sullinger),,100-89,,
1:18.0,Offensive rebound by Team,,100-89,,
1:18.0,Turnover by Team (shot clock),,100-89,,
1:18.0,M. Kidd-Gilchrist enters the game for G. Neal,,100-89,,
1:09.0,,,100-89,,J. Sullinger misses 2-pt shot at rim
1:08.0,,,100-89,,Offensive rebound by J. Sullinger
1:07.0,,,100-91,2,J. Sullinger makes 2-pt shot at rim
1:07.0,Charlotte full timeout,,100-91,,
1:07.0,G. Neal enters the game for M. Kidd-Gilchrist,,100-91,,
0:54.0,Turnover by K. Walker (lost ball; steal by P. Pressey),,100-91,,
0:48.0,,,100-91,,M. Smart misses 3-pt shot from 25 ft
0:46.0,,,100-91,,Offensive rebound by Team
0:46.0,M. Kidd-Gilchrist enters the game for G. Neal,,100-91,,
0:42.0,,,100-91,,J. Crowder misses 3-pt shot from 25 ft
0:40.0,,,100-91,,Offensive rebound by Team
0:40.0,,,100-91,,Boston full timeout
0:40.0,,,100-91,,J. Green enters the game for P. Pressey
0:40.0,,,100-91,,J. Young enters the game for M. Smart
0:38.0,,,100-93,2,J. Sullinger makes 2-pt shot from 22 ft (assist by J. Crowder)
0:38.0,Charlotte full timeout,,100-93,,
0:38.0,,,100-93,,P. Pressey enters the game for J. Green
0:38.0,,,100-93,,M. Smart enters the game for J. Young
0:38.0,G. Neal enters the game for M. Kidd-Gilchrist,,100-93,,
0:32.0,,,100-93,,Personal foul by J. Sullinger (drawn by G. Neal)
0:32.0,G. Neal makes free throw 1 of 2,1,101-93,,
0:32.0,G. Neal makes free throw 2 of 2,1,102-93,,
0:32.0,,,102-93,,Boston full timeout
0:32.0,,,102-93,,J. Green enters the game for P. Pressey
0:32.0,,,102-93,,J. Young enters the game for M. Smart
0:32.0,M. Kidd-Gilchrist enters the game for G. Neal,,102-93,,
0:25.0,,,102-93,,J. Sullinger misses 2-pt shot from 5 ft
0:24.0,Defensive rebound by C. Zeller,,102-93,,
0:23.0,,,102-93,,Personal take foul by J. Sullinger (drawn by C. Zeller)
0:23.0,C. Zeller makes free throw 1 of 2,1,103-93,,
0:23.0,C. Zeller makes free throw 2 of 2,1,104-93,,
0:18.0,,,104-95,2,J. Sullinger makes 2-pt shot at rim
0:00.0,End of 4th quarter,,,,End of 4th quarter
