time,Toronto,pts.away,score,pts.home,Detroit
3:35.0,L. Williams makes 3-pt shot from 26 ft,3,105-85,,
3:16.0,,,105-88,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by J. Jerebko)
3:07.0,Toronto full timeout,,105-88,,
3:07.0,,,105-88,,J. Anthony enters the game for G. Monroe
3:07.0,J. Valanciunas enters the game for C. Hayes,,105-88,,
2:59.0,L. Williams misses 3-pt shot from 29 ft,,105-88,,
2:58.0,,,105-88,,Defensive rebound by K. Caldwell-Pope
2:52.0,Personal foul by L. Williams (drawn by K. Caldwell-Pope),,105-88,,
2:37.0,,,105-90,2,C. Martin makes 2-pt shot from 21 ft
2:22.0,J. Johnson misses 2-pt shot from 17 ft,,105-90,,
2:21.0,,,105-90,,Defensive rebound by B. Jennings
2:12.0,,,105-93,3,J. Jerebko makes 3-pt shot from 26 ft (assist by B. Jennings)
1:48.0,G. Vasquez misses 3-pt shot from 27 ft,,105-93,,
1:47.0,,,105-93,,Defensive rebound by C. Martin
1:41.0,Personal foul by G. Vasquez (drawn by B. Jennings),,105-93,,
1:41.0,,,105-94,1,B. Jennings makes free throw 1 of 2
1:41.0,,,105-95,1,B. Jennings makes free throw 2 of 2
1:28.0,Shooting foul by J. Jerebko (drawn by J. Valanciunas),,105-95,,
1:28.0,J. Valanciunas misses free throw 1 of 2,,105-95,,
1:28.0,Offensive rebound by Team,,105-95,,
1:28.0,J. Valanciunas makes free throw 2 of 2,1,106-95,,
1:17.0,,,106-95,,Shooting foul by J. Johnson (drawn by B. Jennings)
1:17.0,,,106-96,1,B. Jennings makes free throw 1 of 2
1:17.0,,,106-97,1,B. Jennings makes free throw 2 of 2
1:11.0,Shooting foul by J. Anthony (drawn by J. Valanciunas),,106-97,,
1:11.0,J. Valanciunas misses free throw 1 of 2,,106-97,,
1:11.0,Offensive rebound by Team,,106-97,,
1:11.0,J. Valanciunas misses free throw 2 of 2,,106-97,,
1:10.0,,,106-97,,Defensive rebound by J. Anthony
1:02.0,,,106-97,,B. Jennings misses 3-pt shot from 26 ft
1:01.0,,,106-97,,Offensive rebound by J. Anthony
0:52.0,,,106-97,,C. Martin misses 3-pt shot from 23 ft (block by J. Johnson)
0:52.0,Defensive rebound by Team,,106-97,,
0:35.0,G. Vasquez makes 2-pt shot from 20 ft,2,108-97,,
0:23.0,,,108-100,3,K. Caldwell-Pope makes 3-pt shot from 26 ft
0:17.0,,,108-100,,Personal foul by K. Caldwell-Pope (drawn by L. Williams)
0:17.0,L. Williams makes free throw 1 of 2,1,109-100,,
0:17.0,L. Williams makes free throw 2 of 2,1,110-100,,
0:09.0,,,110-100,,Turnover by K. Caldwell-Pope (bad pass; steal by L. Williams)
0:00.0,End of 4th quarter,,,,End of 4th quarter
