time,Houston,pts.away,score,pts.home,Detroit
4:29.0,Offensive rebound by Team,,88-96,,
4:29.0,C. Brewer makes free throw 2 of 2,1,89-96,,
4:13.0,Houston full timeout,,89-96,,
4:11.0,,,89-96,,Turnover by K. Singler (bad pass; steal by K. Papanikolaou)
4:05.0,T. Ariza misses 2-pt shot at rim (block by A. Tolliver),,89-96,,
4:05.0,Offensive rebound by C. Brewer,,89-96,,
4:05.0,Shooting foul by K. Singler (drawn by C. Brewer),,89-96,,
4:05.0,C. Brewer misses free throw 1 of 2,,89-96,,
4:05.0,Offensive rebound by Team,,89-96,,
4:05.0,C. Brewer makes free throw 2 of 2,1,90-96,,
3:43.0,,,90-98,2,K. Caldwell-Pope makes 2-pt shot from 19 ft
3:26.0,D. Motiejunas makes 2-pt shot from 6 ft (assist by C. Brewer),2,92-98,,
3:02.0,,,92-100,2,G. Monroe makes 2-pt shot from 4 ft
2:46.0,D. Motiejunas makes 2-pt shot from 5 ft (assist by C. Brewer),2,94-100,,
2:24.0,,,94-100,,K. Singler misses 2-pt shot from 16 ft
2:23.0,Defensive rebound by T. Ariza,,94-100,,
2:14.0,K. Papanikolaou misses 3-pt shot from 23 ft,,94-100,,
2:13.0,,,94-100,,Defensive rebound by K. Singler
1:57.0,,,94-100,,K. Caldwell-Pope misses 3-pt shot from 27 ft
1:57.0,,,94-100,,Offensive rebound by Team
1:57.0,Loose ball foul by T. Ariza (drawn by A. Tolliver),,94-100,,
1:57.0,,,94-101,1,A. Tolliver makes free throw 1 of 2
1:57.0,,,94-101,,A. Drummond enters the game for G. Monroe
1:57.0,,,94-102,1,A. Tolliver makes free throw 2 of 2
1:57.0,Houston full timeout,,94-102,,
1:46.0,T. Ariza misses 3-pt shot from 26 ft,,94-102,,
1:45.0,,,94-102,,Defensive rebound by K. Singler
1:41.0,Personal foul by C. Brewer (drawn by D. Augustin),,94-102,,
1:41.0,,,94-103,1,D. Augustin makes free throw 1 of 2
1:41.0,,,94-104,1,D. Augustin makes free throw 2 of 2
1:30.0,J. Harden makes 2-pt shot from 18 ft,2,96-104,,
1:30.0,Inbound foul by T. Ariza,,96-104,,
1:30.0,,,96-105,1,D. Augustin makes free throw 1 of 1
1:20.0,,,96-107,2,A. Tolliver makes 2-pt shot at rim (assist by K. Singler)
1:20.0,,,96-107,,Shooting foul by D. Motiejunas (drawn by A. Tolliver)
1:20.0,Technical foul by Team,,96-107,,
1:20.0,,,96-108,1,D. Augustin makes technical free throw
1:20.0,,,96-109,1,A. Tolliver makes free throw 1 of 1
1:14.0,J. Harden makes 2-pt shot at rim,2,98-109,,
1:14.0,Personal foul by T. Ariza (drawn by D. Augustin),,98-109,,
1:14.0,,,98-110,1,D. Augustin makes free throw 1 of 2
1:14.0,I. Canaan enters the game for J. Harden,,98-110,,
1:14.0,J. Dorsey enters the game for D. Motiejunas,,98-110,,
1:14.0,,,98-111,1,D. Augustin makes free throw 2 of 2
1:05.0,C. Brewer makes 3-pt shot from 23 ft (assist by K. Papanikolaou),3,101-111,,
0:46.0,,,101-111,,Turnover by D. Augustin (lost ball; steal by J. Dorsey)
0:42.0,Turnover by C. Brewer (lost ball; steal by D. Augustin),,101-111,,
0:34.0,,,101-111,,Turnover by D. Augustin (lost ball; steal by T. Ariza)
0:29.0,I. Canaan misses 2-pt shot from 1 ft (block by K. Caldwell-Pope),,101-111,,
0:29.0,,,101-111,,Defensive rebound by K. Caldwell-Pope
0:03.0,,,101-114,3,K. Caldwell-Pope makes 3-pt shot from 32 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
