time,Detroit,pts.away,score,pts.home,Toronto
3:50.0,,,100-102,,Turnover by K. Lowry (lost ball; steal by K. Caldwell-Pope)
3:44.0,B. Jennings misses 3-pt shot from 25 ft,,100-102,,
3:43.0,,,100-102,,Defensive rebound by J. Johnson
3:39.0,,,100-102,,Shooting foul by K. Caldwell-Pope (drawn by K. Lowry)
3:39.0,,,100-103,1,K. Lowry makes free throw 1 of 2
3:39.0,,,100-103,,A. Johnson enters the game for P. Patterson
3:39.0,,,100-104,1,K. Lowry makes free throw 2 of 2
3:20.0,Shooting foul by J. Johnson (drawn by B. Jennings),,100-104,,
3:20.0,B. Jennings makes free throw 1 of 2,1,101-104,,
3:20.0,B. Jennings makes free throw 2 of 2,1,102-104,,
3:09.0,,,102-104,,K. Lowry misses 3-pt shot from 25 ft
3:08.0,Defensive rebound by B. Jennings,,102-104,,
3:03.0,J. Meeks misses 2-pt shot from 3 ft,,102-104,,
3:02.0,Offensive rebound by J. Jerebko,,102-104,,
2:58.0,B. Jennings makes 3-pt shot from 26 ft (assist by J. Jerebko),3,105-104,,
2:41.0,,,105-104,,K. Lowry misses 2-pt shot from 4 ft
2:40.0,,,105-104,,Offensive rebound by A. Johnson
2:39.0,,,105-104,,A. Johnson misses 2-pt shot from 2 ft
2:39.0,,,105-104,,Offensive rebound by J. Valanciunas
2:38.0,,,105-106,2,J. Valanciunas makes 2-pt shot from 2 ft
2:22.0,B. Jennings misses 3-pt shot from 24 ft,,105-106,,
2:21.0,,,105-106,,Defensive rebound by K. Lowry
2:21.0,Personal foul by J. Jerebko (drawn by K. Lowry),,105-106,,
2:21.0,Detroit full timeout,,105-106,,
2:11.0,Personal foul by J. Meeks (drawn by K. Lowry),,105-106,,
2:04.0,,,105-106,,K. Lowry misses 2-pt shot from 11 ft
2:03.0,Defensive rebound by G. Monroe,,105-106,,
1:54.0,J. Jerebko makes 2-pt shot from 19 ft (assist by B. Jennings),2,107-106,,
1:41.0,,,107-106,,G. Vasquez misses 3-pt shot from 23 ft
1:39.0,Defensive rebound by G. Monroe,,107-106,,
1:29.0,J. Jerebko makes 2-pt shot from 11 ft,2,109-106,,
1:29.0,,,109-106,,Toronto full timeout
1:29.0,,,109-106,,L. Williams enters the game for J. Valanciunas
1:29.0,,,109-106,,P. Patterson enters the game for G. Vasquez
1:16.0,,,109-106,,K. Lowry misses 2-pt shot from 2 ft (block by G. Monroe)
1:16.0,,,109-106,,Offensive rebound by A. Johnson
1:13.0,,,109-108,2,A. Johnson makes 2-pt shot from 2 ft
0:54.0,J. Meeks makes 3-pt shot from 26 ft (assist by J. Jerebko),3,112-108,,
0:49.0,,,112-108,,Toronto full timeout
0:49.0,,,112-108,,G. Vasquez enters the game for J. Johnson
0:43.0,,,112-111,3,K. Lowry makes 3-pt shot from 22 ft (assist by P. Patterson)
0:18.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,112-111,,
0:17.0,,,112-111,,Defensive rebound by A. Johnson
0:15.0,,,112-111,,Toronto full timeout
0:08.0,,,112-111,,K. Lowry misses 2-pt shot from 7 ft
0:07.0,Defensive rebound by K. Caldwell-Pope,,112-111,,
0:07.0,,,112-111,,Personal foul by A. Johnson (drawn by K. Caldwell-Pope)
0:07.0,K. Caldwell-Pope makes free throw 1 of 2,1,113-111,,
0:07.0,K. Caldwell-Pope makes free throw 2 of 2,1,114-111,,
0:01.0,,,114-111,,Turnover by K. Lowry (lost ball; steal by B. Jennings)
0:00.0,End of 4th quarter,,,,End of 4th quarter
