time,Memphis,pts.away,score,pts.home,Brooklyn
1:08.0,Offensive rebound by Team,,101-90,,
1:08.0,N. Calathes makes free throw 2 of 2,1,102-90,,
0:58.0,,,102-90,,Turnover by M. Brown (lost ball; steal by N. Calathes)
0:39.0,Turnover by N. Calathes (bad pass; steal by C. Jefferson),,102-90,,
0:38.0,Violation by J. Green (kicked ball),,102-90,,
0:28.0,Personal foul by J. Adams (drawn by M. Brown),,102-90,,
0:28.0,,,102-91,1,M. Brown makes free throw 1 of 2
0:28.0,,,102-92,1,M. Brown makes free throw 2 of 2
0:09.0,,,102-92,,Personal foul by C. Jefferson (drawn by J. Stokes)
0:09.0,J. Stokes makes free throw 1 of 2,1,103-92,,
0:09.0,J. Stokes misses free throw 2 of 2,,103-92,,
0:08.0,,,103-92,,Defensive rebound by C. Jefferson
0:01.0,,,103-92,,M. Brown misses 3-pt shot from 25 ft
0:00.0,,,103-92,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
