time,Dallas,pts.away,score,pts.home,Toronto
4:18.0,M. Ellis makes 2-pt shot from 18 ft,2,91-83,,
3:56.0,,,91-83,,G. Vasquez misses 3-pt shot from 24 ft
3:55.0,,,91-83,,Offensive rebound by P. Patterson
3:47.0,,,91-83,,K. Lowry misses 3-pt shot from 25 ft
3:46.0,Defensive rebound by C. Parsons,,91-83,,
3:27.0,M. Ellis makes 3-pt shot from 26 ft,3,94-83,,
3:21.0,,,94-83,,Toronto full timeout
3:12.0,,,94-83,,K. Lowry misses 3-pt shot from 23 ft
3:12.0,Defensive rebound by C. Parsons,,94-83,,
2:56.0,C. Parsons misses 3-pt shot from 24 ft,,94-83,,
2:55.0,,,94-83,,Defensive rebound by P. Patterson
2:48.0,Personal block foul by M. Ellis (drawn by G. Vasquez),,94-83,,
2:44.0,,,94-83,,Offensive foul by P. Patterson
2:44.0,,,94-83,,Turnover by P. Patterson (offensive foul)
2:30.0,C. Parsons misses 2-pt shot from 4 ft,,94-83,,
2:29.0,,,94-83,,Defensive rebound by G. Vasquez
2:26.0,,,94-83,,Turnover by G. Vasquez (bad pass; steal by M. Ellis)
2:21.0,M. Ellis makes 3-pt shot from 25 ft,3,97-83,,
2:03.0,,,97-85,2,A. Johnson makes 2-pt shot from 4 ft (assist by G. Vasquez)
1:47.0,,,97-85,,Personal foul by A. Johnson (drawn by M. Ellis)
1:41.0,D. Nowitzki misses 3-pt shot from 26 ft,,97-85,,
1:40.0,,,97-85,,Defensive rebound by K. Lowry
1:40.0,Personal foul by C. Parsons (drawn by K. Lowry),,97-85,,
1:33.0,,,97-88,3,G. Vasquez makes 3-pt shot from 27 ft
1:11.0,M. Ellis misses 2-pt shot from 16 ft,,97-88,,
1:10.0,,,97-88,,Defensive rebound by K. Lowry
1:01.0,,,97-91,3,G. Vasquez makes 3-pt shot from 25 ft (assist by K. Lowry)
1:01.0,Dallas full timeout,,97-91,,
0:53.0,,,97-91,,Personal foul by P. Patterson (drawn by D. Nowitzki)
0:53.0,D. Nowitzki makes free throw 1 of 2,1,98-91,,
0:53.0,A. Aminu enters the game for C. Parsons,,98-91,,
0:53.0,D. Nowitzki makes free throw 2 of 2,1,99-91,,
0:50.0,,,99-94,3,K. Lowry makes 3-pt shot from 26 ft
0:44.0,M. Ellis misses 2-pt shot from 2 ft,,99-94,,
0:43.0,,,99-94,,Defensive rebound by P. Patterson
0:38.0,,,99-94,,L. Williams misses 3-pt shot from 26 ft
0:37.0,,,99-94,,Offensive rebound by P. Patterson
0:34.0,,,99-96,2,K. Lowry makes 2-pt shot from 2 ft
0:32.0,,,99-96,,Personal foul by L. Williams (drawn by M. Ellis)
0:32.0,M. Ellis makes free throw 1 of 2,1,100-96,,
0:32.0,J. Crowder enters the game for D. Nowitzki,,100-96,,
0:32.0,M. Ellis makes free throw 2 of 2,1,101-96,,
0:26.0,,,101-98,2,K. Lowry makes 2-pt shot at rim
0:25.0,Dallas full timeout,,101-98,,
0:25.0,C. Parsons enters the game for T. Chandler,,101-98,,
0:25.0,D. Nowitzki enters the game for J. Crowder,,101-98,,
0:25.0,J. Barea enters the game for A. Aminu,,101-98,,
0:22.0,M. Ellis makes 2-pt shot at rim (assist by C. Parsons),2,103-98,,
0:16.0,,,103-100,2,K. Lowry makes 2-pt shot from 3 ft
0:15.0,,,103-100,,Personal foul by G. Vasquez (drawn by M. Ellis)
0:15.0,M. Ellis makes free throw 1 of 2,1,104-100,,
0:15.0,A. Aminu enters the game for D. Nowitzki,,104-100,,
0:15.0,J. Crowder enters the game for C. Parsons,,104-100,,
0:15.0,M. Ellis misses free throw 2 of 2,,104-100,,
0:15.0,,,104-100,,Defensive rebound by G. Vasquez
0:15.0,,,104-100,,Toronto full timeout
0:10.0,,,104-102,2,K. Lowry makes 2-pt shot from 2 ft
0:07.0,,,104-102,,Personal foul by G. Vasquez (drawn by D. Harris)
0:07.0,D. Harris makes free throw 1 of 2,1,105-102,,
0:07.0,D. Harris makes free throw 2 of 2,1,106-102,,
0:02.0,,,106-102,,K. Lowry misses 3-pt shot from 28 ft
0:01.0,,,106-102,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
