time,Cleveland,pts.away,score,pts.home,Miami
2:37.0,,,87-93,3,D. Granger makes 3-pt shot from 24 ft (assist by L. Deng)
2:24.0,K. Irving misses 2-pt shot from 18 ft,,87-93,,
2:23.0,,,87-93,,Defensive rebound by D. Granger
2:04.0,,,87-95,2,C. Andersen makes 2-pt shot at rim (assist by L. Deng)
1:50.0,K. Love misses 2-pt shot from 1 ft (block by D. Wade),,87-95,,
1:49.0,Offensive rebound by D. Waiters,,87-95,,
1:43.0,M. Miller misses 3-pt shot from 24 ft,,87-95,,
1:42.0,,,87-95,,Defensive rebound by D. Granger
1:19.0,,,87-97,2,D. Granger makes 2-pt shot from 8 ft
1:19.0,Cleveland full timeout,,87-97,,
1:15.0,L. James makes 3-pt shot from 27 ft (assist by K. Love),3,90-97,,
0:54.0,,,90-99,2,L. Deng makes 2-pt shot from 5 ft
0:44.0,L. James misses 3-pt shot from 27 ft,,90-99,,
0:43.0,,,90-99,,Defensive rebound by C. Andersen
0:24.0,,,90-101,2,D. Wade makes 2-pt shot from 2 ft
0:17.0,,,90-101,,Personal foul by C. Andersen (drawn by K. Irving)
0:17.0,K. Irving misses free throw 1 of 2,,90-101,,
0:17.0,Offensive rebound by Team,,90-101,,
0:17.0,K. Irving makes free throw 2 of 2,1,91-101,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
