time,Memphis,pts.away,score,pts.home,Denver
1:22.0,,,83-112,2,J. Hickson makes 2-pt shot from 1 ft
1:10.0,N. Calathes misses 2-pt shot at rim,,83-112,,
1:09.0,,,83-112,,Defensive rebound by A. Gee
1:02.0,,,83-112,,E. Green misses 3-pt shot from 23 ft
1:01.0,Defensive rebound by J. Leuer,,83-112,,
0:43.0,Q. Pondexter misses 3-pt shot from 24 ft,,83-112,,
0:42.0,,,83-112,,Defensive rebound by A. Gee
0:23.0,Personal foul by J. Stokes (drawn by T. Mozgov),,83-112,,
0:23.0,K. Koufos enters the game for J. Stokes,,83-112,,
0:23.0,,,83-113,1,T. Mozgov makes free throw 1 of 2
0:23.0,,,83-114,1,T. Mozgov makes free throw 2 of 2
0:10.0,J. Leuer makes 2-pt shot at rim (assist by K. Koufos),2,85-114,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
