time,Detroit,pts.away,score,pts.home,Philadelphia
3:48.0,R. Jackson misses 3-pt shot from 26 ft,,72-83,,
3:46.0,,,72-83,,Defensive rebound by J. Sampson
3:34.0,,,72-83,,Shooting foul by A. Drummond (drawn by I. Smith)
3:34.0,,,72-83,,I. Smith misses free throw 1 of 2
3:34.0,,,72-83,,Offensive rebound by Team
3:34.0,,,72-83,,J. Richardson enters the game for H. Thompson
3:34.0,,,72-84,1,I. Smith makes free throw 2 of 2
3:18.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,72-84,,
3:17.0,,,72-84,,Defensive rebound by Team
3:06.0,,,72-84,,Turnover by I. Smith (bad pass; steal by J. Meeks)
3:03.0,Turnover by J. Meeks (lost ball),,72-84,,
2:52.0,Personal foul by A. Tolliver (drawn by I. Smith),,72-84,,
2:52.0,Official timeout,,72-84,,
2:41.0,,,72-87,3,J. Richardson makes 3-pt shot from 25 ft
2:23.0,Shooting foul by F. Aldemir (drawn by K. Caldwell-Pope),,72-87,,
2:23.0,K. Caldwell-Pope misses free throw 1 of 2,,72-87,,
2:23.0,Offensive rebound by Team,,72-87,,
2:23.0,K. Caldwell-Pope makes free throw 2 of 2,1,73-87,,
2:03.0,,,73-87,,Turnover by I. Smith (bad pass; steal by K. Caldwell-Pope)
2:00.0,,,73-87,,J. Grant enters the game for L. Mbah a Moute
1:53.0,J. Meeks makes 3-pt shot from 25 ft (assist by R. Jackson),3,76-87,,
1:34.0,,,76-87,,Offensive charge foul by I. Smith
1:34.0,,,76-87,,Turnover by I. Smith (offensive foul)
1:25.0,R. Jackson misses 2-pt shot from 7 ft,,76-87,,
1:24.0,Offensive rebound by Team,,76-87,,
1:15.0,J. Meeks misses 2-pt shot from 10 ft,,76-87,,
1:14.0,,,76-87,,Defensive rebound by F. Aldemir
0:54.0,,,76-87,,I. Smith misses 2-pt shot from 2 ft
0:54.0,,,76-87,,Offensive rebound by Team
0:54.0,Loose ball foul by R. Jackson (drawn by F. Aldemir),,76-87,,
0:51.0,Personal foul by R. Jackson (drawn by I. Smith),,76-87,,
0:51.0,,,76-88,1,I. Smith makes free throw 1 of 2
0:51.0,,,76-89,1,I. Smith makes free throw 2 of 2
0:51.0,Detroit full timeout,,76-89,,
0:43.0,A. Tolliver makes 3-pt shot from 23 ft (assist by R. Jackson),3,79-89,,
0:42.0,,,79-89,,Philadelphia full timeout
0:42.0,S. Dinwiddie enters the game for A. Tolliver,,79-89,,
0:38.0,Personal foul by K. Caldwell-Pope (drawn by J. Grant),,79-89,,
0:38.0,,,79-89,,J. Grant misses free throw 1 of 2
0:38.0,,,79-89,,Offensive rebound by Team
0:38.0,A. Tolliver enters the game for S. Dinwiddie,,79-89,,
0:38.0,,,79-89,,J. Grant misses free throw 2 of 2
0:38.0,Defensive rebound by R. Jackson,,79-89,,
0:37.0,Detroit full timeout,,79-89,,
0:37.0,,,79-89,,H. Thompson enters the game for J. Richardson
0:37.0,,,79-89,,T. Robinson enters the game for I. Smith
0:33.0,K. Caldwell-Pope makes 2-pt shot from 3 ft,2,81-89,,
0:32.0,,,81-89,,Philadelphia full timeout
0:32.0,,,81-89,,I. Smith enters the game for J. Sampson
0:32.0,,,81-89,,J. Richardson enters the game for F. Aldemir
0:32.0,S. Dinwiddie enters the game for A. Tolliver,,81-89,,
0:31.0,Personal foul by S. Dinwiddie (drawn by J. Richardson),,81-89,,
0:31.0,,,81-90,1,J. Richardson makes free throw 1 of 2
0:31.0,A. Tolliver enters the game for S. Dinwiddie,,81-90,,
0:31.0,,,81-91,1,J. Richardson makes free throw 2 of 2
0:25.0,Turnover by R. Jackson (lost ball),,81-91,,
0:22.0,Personal foul by K. Caldwell-Pope (drawn by J. Richardson),,81-91,,
0:22.0,,,81-91,,J. Richardson misses free throw 1 of 2
0:22.0,,,81-91,,Offensive rebound by Team
0:22.0,,,81-92,1,J. Richardson makes free throw 2 of 2
0:22.0,Detroit full timeout,,81-92,,
0:22.0,,,81-92,,J. Sampson enters the game for I. Smith
0:20.0,J. Meeks misses 3-pt shot from 25 ft,,81-92,,
0:19.0,Offensive rebound by R. Jackson,,81-92,,
0:19.0,R. Jackson makes 2-pt shot at rim,2,83-92,,
0:16.0,,,83-92,,Philadelphia full timeout
0:16.0,,,83-92,,I. Smith enters the game for J. Sampson
0:13.0,,,83-94,2,T. Robinson makes 2-pt shot at rim (assist by J. Grant)
0:01.0,J. Meeks misses 3-pt shot from 29 ft,,83-94,,
0:00.0,Offensive rebound by Team,,83-94,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
