time,Toronto,pts.away,score,pts.home,Philadelphia
0:32.0,L. Williams misses 3-pt shot from 26 ft,,83-76,,
0:30.0,,,83-76,,Defensive rebound by T. Robinson
0:08.0,,,83-76,,J. Grant misses 3-pt shot from 26 ft
0:07.0,Defensive rebound by D. DeRozan,,83-76,,
0:01.0,D. DeRozan misses 3-pt shot from 31 ft,,83-76,,
0:00.0,Offensive rebound by Team,,83-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,83-76,,Turnover by H. Thompson (traveling)
11:24.0,T. Hansbrough makes 2-pt shot from 2 ft (assist by G. Vasquez),2,85-76,,
11:02.0,Shooting block foul by T. Hansbrough (drawn by H. Thompson),,85-76,,
11:02.0,,,85-76,,H. Thompson misses free throw 1 of 2
11:02.0,,,85-76,,Offensive rebound by Team
11:02.0,,,85-77,1,H. Thompson makes free throw 2 of 2
10:41.0,P. Patterson makes 2-pt shot from 12 ft (assist by G. Vasquez),2,87-77,,
10:28.0,,,87-80,3,H. Thompson makes 3-pt shot from 25 ft (assist by I. Smith)
10:18.0,T. Ross misses 3-pt shot from 26 ft,,87-80,,
10:16.0,Offensive rebound by T. Hansbrough,,87-80,,
10:15.0,,,87-80,,I. Canaan enters the game for I. Smith
10:15.0,,,87-80,,J. Sampson enters the game for T. Robinson
10:08.0,G. Vasquez misses 3-pt shot from 26 ft,,87-80,,
10:06.0,Offensive rebound by T. Hansbrough,,87-80,,
10:04.0,G. Vasquez makes 3-pt shot from 26 ft (assist by T. Hansbrough),3,90-80,,
9:46.0,,,90-82,2,J. Grant makes 2-pt shot at rim (assist by F. Aldemir)
9:30.0,L. Williams makes 2-pt shot from 13 ft (assist by G. Vasquez),2,92-82,,
9:10.0,,,92-82,,Turnover by H. Thompson (bad pass; steal by G. Vasquez)
9:04.0,L. Williams misses 3-pt shot from 24 ft (block by H. Thompson),,92-82,,
9:03.0,,,92-82,,Defensive rebound by H. Thompson
9:00.0,,,92-82,,Shooting foul by P. Patterson (drawn by H. Thompson)
9:00.0,,,92-83,1,H. Thompson makes free throw 1 of 2
9:00.0,,,92-84,1,H. Thompson makes free throw 2 of 2
8:46.0,Shooting foul by F. Aldemir (drawn by L. Williams),,92-84,,
8:46.0,Official timeout,,92-84,,
8:46.0,L. Williams makes free throw 1 of 2,1,93-84,,
8:46.0,,,93-84,,N. Noel enters the game for F. Aldemir
8:46.0,,,93-84,,I. Smith enters the game for H. Thompson
8:46.0,,,93-84,,L. Mbah a Moute enters the game for J. Sampson
8:46.0,L. Williams makes free throw 2 of 2,1,94-84,,
8:39.0,,,94-84,,Offensive foul by N. Noel
8:39.0,,,94-84,,Turnover by N. Noel (offensive foul)
8:27.0,L. Williams misses 3-pt shot from 25 ft,,94-84,,
8:25.0,,,94-84,,Defensive rebound by N. Noel
