time,Cleveland,pts.away,score,pts.home,Houston
2:48.0,Official timeout,,95-92,,
2:48.0,,,95-92,,J. Smith enters the game for D. Motiejunas
2:48.0,,,95-93,1,J. Harden makes free throw 1 of 2
2:48.0,,,95-94,1,J. Harden makes free throw 2 of 2
2:25.0,L. James misses 3-pt shot from 24 ft,,95-94,,
2:24.0,,,95-94,,Defensive rebound by J. Harden
2:18.0,,,95-96,2,J. Smith makes 2-pt shot from 3 ft (assist by J. Harden)
1:51.0,K. Love misses 2-pt shot from 1 ft,,95-96,,
1:49.0,,,95-96,,Defensive rebound by T. Ariza
1:43.0,,,95-98,2,J. Harden makes 2-pt shot at rim
1:43.0,,,95-98,,Shooting foul by J. Smith (drawn by J. Harden)
1:43.0,,,95-98,,J. Harden misses free throw 1 of 1
1:43.0,Defensive rebound by M. Dellavedova,,95-98,,
1:32.0,Shooting foul by T. Ariza (drawn by L. James),,95-98,,
1:32.0,L. James misses free throw 1 of 2,,95-98,,
1:32.0,Offensive rebound by Team,,95-98,,
1:32.0,L. James makes free throw 2 of 2,1,96-98,,
1:10.0,,,96-98,,J. Harden misses 3-pt shot from 25 ft
1:09.0,Defensive rebound by T. Thompson,,96-98,,
1:09.0,,,96-98,,Loose ball foul by T. Jones (drawn by T. Thompson)
1:09.0,T. Thompson makes free throw 1 of 2,1,97-98,,
1:09.0,T. Thompson makes free throw 2 of 2,1,98-98,,
0:52.0,,,98-98,,Turnover by J. Smith (lost ball; steal by J. Smith)
0:27.0,L. James misses 2-pt shot at rim,,98-98,,
0:26.0,Offensive rebound by T. Thompson,,98-98,,
0:26.0,T. Thompson misses 2-pt shot from 1 ft,,98-98,,
0:26.0,Offensive rebound by T. Thompson,,98-98,,
0:26.0,T. Thompson misses 2-pt shot from 1 ft,,98-98,,
0:25.0,Offensive rebound by M. Dellavedova,,98-98,,
0:23.0,Cleveland full timeout,,98-98,,
0:22.0,Cleveland full timeout,,98-98,,
0:02.0,L. James misses 2-pt shot from 23 ft,,98-98,,
0:00.0,Offensive rebound by Team,,98-98,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: T. Jones vs. T. Thompson (J. Smith gains possession),,,,Jump ball: T. Jones vs. T. Thompson (J. Smith gains possession)
4:34.0,,,98-98,,Shooting foul by T. Thompson (drawn by T. Jones)
4:34.0,,,98-99,1,T. Jones makes free throw 1 of 2
4:34.0,,,98-99,,T. Jones misses free throw 2 of 2
4:33.0,Defensive rebound by Team,,98-99,,
4:14.0,J. Smith makes 2-pt shot from 20 ft,2,100-99,,
4:00.0,,,100-99,,J. Harden misses 2-pt shot at rim
4:00.0,,,100-99,,Offensive rebound by Team
3:40.0,,,100-99,,J. Smith misses 2-pt shot from 14 ft
3:38.0,,,100-99,,Offensive rebound by T. Jones
3:19.0,,,100-102,3,P. Beverley makes 3-pt shot from 25 ft (assist by J. Harden)
2:49.0,L. James misses 2-pt shot from 2 ft,,100-102,,
2:46.0,Offensive rebound by T. Thompson,,100-102,,
2:46.0,Cleveland full timeout,,100-102,,
2:32.0,L. James misses 3-pt shot from 25 ft,,100-102,,
2:31.0,,,100-102,,Defensive rebound by P. Beverley
2:21.0,,,100-102,,Shooting foul by K. Love (drawn by J. Smith)
2:21.0,,,100-103,1,J. Smith makes free throw 1 of 2
2:21.0,,,100-104,1,J. Smith makes free throw 2 of 2
1:59.0,J. Smith misses 2-pt shot from 17 ft,,100-104,,
1:58.0,,,100-104,,Defensive rebound by P. Beverley
1:40.0,,,100-104,,P. Beverley misses 3-pt shot from 24 ft
1:39.0,Defensive rebound by L. James,,100-104,,
1:20.0,L. James misses 2-pt shot from 1 ft,,100-104,,
1:19.0,,,100-104,,Defensive rebound by J. Harden
0:56.0,,,100-104,,Turnover by Team (shot clock)
0:47.0,J. Smith misses 3-pt shot from 25 ft,,100-104,,
0:46.0,Offensive rebound by J. Smith,,100-104,,
0:44.0,L. James makes 3-pt shot from 24 ft (assist by J. Smith),3,103-104,,
0:25.0,,,103-104,,Turnover by J. Smith (lost ball; steal by J. Smith)
0:24.0,Cleveland full timeout,,103-104,,
0:04.0,Shooting foul by J. Smith (drawn by L. James),,103-104,,
0:04.0,L. James misses free throw 1 of 2,,103-104,,
0:04.0,Offensive rebound by Team,,103-104,,
0:04.0,L. James misses free throw 2 of 2,,103-104,,
0:04.0,,,103-104,,Defensive rebound by J. Harden
0:02.0,Personal take foul by J. Smith (drawn by J. Harden),,103-104,,
0:02.0,,,103-104,,Houston full timeout
0:02.0,,,103-104,,J. Terry enters the game for T. Jones
0:02.0,I. Shumpert enters the game for K. Love,,103-104,,
0:01.0,Personal take foul by L. James (drawn by J. Harden),,103-104,,
0:01.0,,,103-105,1,J. Harden makes free throw 1 of 2
0:01.0,,,103-105,,J. Harden misses free throw 2 of 2
0:01.0,Defensive rebound by J. Smith,,103-105,,
0:00.0,Cleveland full timeout,,103-105,,
0:00.0,K. Love enters the game for I. Shumpert,,103-105,,
0:00.0,J. Jones enters the game for T. Thompson,,103-105,,
0:00.0,,,103-105,,D. Motiejunas enters the game for P. Beverley
0:00.0,,,103-105,,T. Jones enters the game for J. Terry
0:00.0,End of 1st overtime,,,,End of 1st overtime
