time,Charlotte,pts.away,score,pts.home,Indiana
2:36.0,Offensive rebound by A. Jefferson,,59-59,,
2:27.0,A. Jefferson misses 2-pt shot from 1 ft,,59-59,,
2:26.0,,,59-59,,Defensive rebound by D. Sloan
2:18.0,,,59-59,,D. Sloan misses 2-pt shot from 2 ft (block by A. Jefferson)
2:16.0,Defensive rebound by A. Jefferson,,59-59,,
2:03.0,K. Walker misses 3-pt shot from 25 ft,,59-59,,
2:02.0,,,59-59,,Defensive rebound by C. Copeland
1:40.0,,,59-59,,R. Stuckey misses 2-pt shot from 12 ft (block by B. Roberts)
1:39.0,,,59-59,,Offensive rebound by L. Scola
1:37.0,,,59-59,,L. Scola misses 2-pt shot from 1 ft
1:36.0,,,59-59,,Offensive rebound by I. Mahinmi
1:36.0,,,59-61,2,I. Mahinmi makes 2-pt shot from 1 ft
1:23.0,C. Zeller makes 2-pt shot at rim (assist by K. Walker),2,61-61,,
1:03.0,,,61-63,2,R. Stuckey makes 2-pt shot from 2 ft
0:38.0,M. Williams makes 3-pt shot from 23 ft (assist by K. Walker),3,64-63,,
0:29.0,,,64-65,2,D. Sloan makes 2-pt shot from 19 ft
0:09.0,A. Jefferson makes 2-pt shot from 14 ft (assist by K. Walker),2,66-65,,
0:02.0,,,66-65,,L. Scola misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by A. Jefferson,,66-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,66-65,,R. Stuckey misses 2-pt shot from 18 ft
11:37.0,,,66-65,,Offensive rebound by L. Allen
11:33.0,,,66-68,3,A. Price makes 3-pt shot from 25 ft (assist by L. Allen)
11:11.0,C. Zeller misses 2-pt shot from 2 ft (block by I. Mahinmi),,66-68,,
11:10.0,,,66-68,,Defensive rebound by S. Hill
11:00.0,,,66-68,,A. Price misses 2-pt shot from 19 ft
10:58.0,Defensive rebound by K. Walker,,66-68,,
10:45.0,K. Walker misses 2-pt shot from 5 ft,,66-68,,
10:44.0,Offensive rebound by C. Zeller,,66-68,,
10:43.0,Shooting foul by A. Price (drawn by C. Zeller),,66-68,,
10:43.0,C. Zeller misses free throw 1 of 2,,66-68,,
10:43.0,Offensive rebound by Team,,66-68,,
10:43.0,C. Zeller makes free throw 2 of 2,1,67-68,,
10:28.0,,,67-70,2,R. Stuckey makes 2-pt shot from 3 ft
