time,Utah,pts.away,score,pts.home,Portland
3:27.0,Offensive rebound by Team,,101-97,,
3:27.0,D. Exum enters the game for E. Millsap,,101-97,,
3:27.0,T. Booker misses free throw 2 of 2,,101-97,,
3:26.0,,,101-97,,Defensive rebound by D. Lillard
3:14.0,,,101-97,,R. Lopez misses 2-pt shot from 4 ft (block by R. Gobert)
3:12.0,,,101-97,,Offensive rebound by D. Lillard
3:10.0,,,101-99,2,D. Lillard makes 2-pt shot from 18 ft
2:43.0,B. Cotton misses 2-pt shot from 18 ft,,101-99,,
2:42.0,,,101-99,,Defensive rebound by C. McCollum
2:33.0,,,101-101,2,R. Lopez makes 2-pt shot from 2 ft (assist by D. Lillard)
2:33.0,Utah full timeout,,101-101,,
2:33.0,E. Millsap enters the game for D. Exum,,101-101,,
2:18.0,R. Hood makes 2-pt shot from 9 ft,2,103-101,,
2:09.0,,,103-101,,C. McCollum misses 3-pt shot from 24 ft (block by T. Booker)
2:07.0,Defensive rebound by R. Hood,,103-101,,
1:52.0,R. Hood misses 2-pt shot from 1 ft (block by R. Lopez),,103-101,,
1:50.0,,,103-101,,Defensive rebound by A. Crabbe
1:44.0,,,103-101,,A. Crabbe misses 3-pt shot from 24 ft
1:42.0,Defensive rebound by E. Millsap,,103-101,,
1:19.0,E. Millsap misses 2-pt shot from 18 ft,,103-101,,
1:18.0,Offensive rebound by T. Booker,,103-101,,
1:18.0,,,103-101,,Loose ball foul by C. McCollum (drawn by T. Booker)
1:18.0,T. Booker makes free throw 1 of 2,1,104-101,,
1:18.0,T. Booker makes free throw 2 of 2,1,105-101,,
1:00.0,Personal foul by T. Booker (drawn by D. Lillard),,105-101,,
0:48.0,,,105-101,,N. Batum misses 3-pt shot from 25 ft
0:47.0,,,105-101,,Offensive rebound by C. McCollum
0:44.0,,,105-101,,C. McCollum misses 2-pt shot from 1 ft
0:43.0,Defensive rebound by E. Millsap,,105-101,,
0:41.0,Utah full timeout,,105-101,,
0:41.0,,,105-101,,S. Blake enters the game for R. Lopez
0:34.0,,,105-101,,Personal take foul by N. Batum (drawn by T. Booker)
0:34.0,T. Booker makes free throw 1 of 2,1,106-101,,
0:34.0,,,106-101,,R. Lopez enters the game for S. Blake
0:34.0,,,106-101,,J. Freeland enters the game for A. Crabbe
0:34.0,T. Booker misses free throw 2 of 2,,106-101,,
0:33.0,,,106-101,,Defensive rebound by N. Batum
0:33.0,,,106-101,,Portland full timeout
0:33.0,,,106-101,,A. Crabbe enters the game for R. Lopez
0:33.0,,,106-101,,M. Leonard enters the game for J. Freeland
0:32.0,,,106-101,,Personal take foul by C. McCollum (drawn by B. Cotton)
0:32.0,B. Cotton makes free throw 1 of 2,1,107-101,,
0:32.0,B. Cotton makes free throw 2 of 2,1,108-101,,
0:18.0,,,108-103,2,M. Leonard makes 2-pt shot at rim (assist by N. Batum)
0:18.0,Utah full timeout,,108-103,,
0:18.0,,,108-103,,S. Blake enters the game for M. Leonard
0:18.0,J. Ingles enters the game for E. Millsap,,108-103,,
0:17.0,,,108-103,,Personal take foul by S. Blake (drawn by T. Booker)
0:17.0,T. Booker makes free throw 1 of 2,1,109-103,,
0:17.0,E. Millsap enters the game for J. Ingles,,109-103,,
0:17.0,,,109-103,,M. Leonard enters the game for S. Blake
0:17.0,T. Booker misses free throw 2 of 2,,109-103,,
0:17.0,Offensive rebound by B. Cotton,,109-103,,
0:14.0,,,109-103,,Personal take foul by C. McCollum (drawn by B. Cotton)
0:14.0,B. Cotton makes free throw 1 of 2,1,110-103,,
0:14.0,B. Cotton makes free throw 2 of 2,1,111-103,,
0:07.0,,,111-103,,D. Lillard misses 3-pt shot from 31 ft
0:06.0,,,111-103,,Offensive rebound by Team
0:00.0,,,111-105,2,M. Leonard makes 2-pt shot from 2 ft (assist by D. Lillard)
0:00.0,End of 4th quarter,,,,End of 4th quarter
