time,Denver,pts.away,score,pts.home,Houston
11:29.0,G. Harris misses 2-pt shot from 10 ft,,73-81,,
11:27.0,,,73-81,,Defensive rebound by D. Howard
11:19.0,,,73-81,,N. Johnson misses 2-pt shot from 2 ft
11:17.0,Defensive rebound by G. Harris,,73-81,,
11:13.0,E. Green misses 2-pt shot from 1 ft,,73-81,,
11:11.0,,,73-81,,Defensive rebound by P. Beverley
11:10.0,,,73-81,,Shooting foul by J. Nurkic (drawn by D. Howard)
11:10.0,T. Mozgov enters the game for J. Nurkic,,73-81,,
11:10.0,,,73-81,,D. Howard misses free throw 1 of 2
11:10.0,,,73-81,,Offensive rebound by Team
11:10.0,,,73-82,1,D. Howard makes free throw 2 of 2
11:00.0,E. Green makes 2-pt shot from 18 ft,2,75-82,,
10:49.0,,,75-84,2,N. Johnson makes 2-pt shot from 1 ft (assist by D. Howard)
10:24.0,Turnover by E. Green (bad pass),,75-84,,
10:01.0,,,75-86,2,D. Howard makes 2-pt shot from 7 ft
9:42.0,A. Gee makes 2-pt shot from 1 ft,2,77-86,,
9:27.0,,,77-86,,T. Ariza misses 3-pt shot from 23 ft
9:26.0,Defensive rebound by A. Gee,,77-86,,
9:19.0,Turnover by A. Gee (lost ball; steal by P. Beverley),,77-86,,
9:14.0,,,77-86,,Turnover by J. Terry (bad pass; steal by A. Gee)
9:10.0,Turnover by G. Harris (lost ball; steal by J. Terry),,77-86,,
9:06.0,,,77-86,,Shooting foul by T. Mozgov (drawn by T. Ariza)
9:06.0,,,77-87,1,T. Ariza makes free throw 1 of 2
9:06.0,J. Hickson enters the game for T. Mozgov,,77-87,,
9:06.0,T. Lawson enters the game for E. Green,,77-87,,
9:06.0,A. Afflalo enters the game for G. Harris,,77-87,,
9:06.0,,,77-87,,T. Ariza misses free throw 2 of 2
9:06.0,Defensive rebound by J. Hickson,,77-87,,
8:41.0,Turnover by Team (shot clock),,77-87,,
8:21.0,Personal foul by A. Gee (drawn by J. Terry),,77-87,,
8:21.0,,,77-87,,Houston full timeout
8:21.0,W. Chandler enters the game for D. Arthur,,77-87,,
8:10.0,,,77-89,2,D. Howard makes 2-pt shot from 7 ft
7:45.0,A. Afflalo misses 3-pt shot from 23 ft,,77-89,,
7:44.0,,,77-89,,Defensive rebound by N. Johnson
7:38.0,,,77-92,3,P. Beverley makes 3-pt shot from 24 ft (assist by N. Johnson)
7:19.0,Turnover by W. Chandler (bad pass),,77-92,,
7:01.0,,,77-92,,D. Howard misses 2-pt shot from 7 ft
6:59.0,Defensive rebound by W. Chandler,,77-92,,
6:50.0,W. Chandler misses 3-pt shot from 26 ft,,77-92,,
6:48.0,,,77-92,,Defensive rebound by T. Ariza
6:32.0,,,77-92,,P. Beverley misses 2-pt shot from 19 ft (block by A. Gee)
6:30.0,Defensive rebound by W. Chandler,,77-92,,
6:23.0,A. Gee misses 3-pt shot from 22 ft,,77-92,,
6:22.0,,,77-92,,Defensive rebound by T. Ariza
6:16.0,,,77-92,,J. Terry misses 3-pt shot from 23 ft
6:14.0,Defensive rebound by W. Chandler,,77-92,,
6:09.0,,,77-92,,Houston full timeout
6:09.0,G. Harris enters the game for A. Gee,,77-92,,
6:09.0,,,77-92,,D. Motiejunas enters the game for D. Howard
6:09.0,,,77-92,,J. Harden enters the game for N. Johnson
6:00.0,T. Lawson makes 2-pt shot from 2 ft,2,79-92,,
5:34.0,,,79-92,,J. Terry misses 3-pt shot from 24 ft
5:33.0,Defensive rebound by T. Lawson,,79-92,,
5:28.0,A. Afflalo makes 2-pt shot from 2 ft (assist by T. Lawson),2,81-92,,
5:13.0,,,81-94,2,P. Beverley makes 2-pt shot from 5 ft
5:04.0,T. Lawson makes 2-pt shot from 17 ft,2,83-94,,
5:04.0,Shooting foul by P. Beverley (drawn by T. Lawson),,83-94,,
5:04.0,T. Lawson makes free throw 1 of 1,1,84-94,,
4:49.0,,,84-96,2,J. Terry makes 2-pt shot from 1 ft
4:39.0,T. Lawson makes 2-pt shot from 1 ft,2,86-96,,
4:20.0,,,86-98,2,J. Harden makes 2-pt shot from 19 ft
4:09.0,W. Chandler makes 3-pt shot from 25 ft (assist by T. Lawson),3,89-98,,
3:44.0,,,89-98,,T. Ariza misses 3-pt shot from 24 ft
3:41.0,Defensive rebound by Team,,89-98,,
3:41.0,,,89-98,,N. Johnson enters the game for J. Terry
3:34.0,T. Lawson misses 2-pt shot from 18 ft,,89-98,,
3:31.0,,,89-98,,Defensive rebound by J. Harden
3:29.0,,,89-98,,Shooting foul by W. Chandler (drawn by J. Harden)
3:29.0,,,89-98,,J. Harden misses free throw 1 of 2
3:29.0,,,89-98,,Offensive rebound by Team
3:29.0,K. Faried enters the game for J. Hickson,,89-98,,
3:29.0,,,89-98,,D. Howard enters the game for N. Johnson
3:29.0,,,89-99,1,J. Harden makes free throw 2 of 2
3:19.0,A. Afflalo misses 3-pt shot from 25 ft,,89-99,,
3:18.0,,,89-99,,Defensive rebound by J. Harden
3:12.0,,,89-101,2,D. Motiejunas makes 2-pt shot at rim (assist by J. Harden)
2:57.0,W. Chandler makes 2-pt shot from 6 ft,2,91-101,,
2:39.0,,,91-103,2,D. Howard makes 2-pt shot from 2 ft (assist by P. Beverley)
2:39.0,,,91-103,,Shooting foul by K. Faried (drawn by D. Howard)
2:39.0,Denver full timeout,,91-103,,
2:39.0,,,91-103,,N. Johnson enters the game for D. Motiejunas
2:39.0,,,91-104,1,D. Howard makes free throw 1 of 1
2:29.0,G. Harris misses 3-pt shot from 23 ft (block by P. Beverley),,91-104,,
2:28.0,,,91-104,,Defensive rebound by D. Howard
2:25.0,,,91-106,2,P. Beverley makes 2-pt shot from 1 ft
2:11.0,T. Lawson makes 2-pt shot from 18 ft,2,93-106,,
1:59.0,,,93-106,,P. Beverley misses 2-pt shot from 2 ft
1:58.0,,,93-106,,Offensive rebound by D. Howard
1:58.0,,,93-108,2,D. Howard makes 2-pt shot at rim
1:46.0,W. Chandler misses 3-pt shot from 24 ft,,93-108,,
1:45.0,,,93-108,,Defensive rebound by Team
1:45.0,E. Green enters the game for T. Lawson,,93-108,,
1:45.0,A. Gee enters the game for W. Chandler,,93-108,,
1:45.0,,,93-108,,J. Dorsey enters the game for D. Howard
1:45.0,,,93-108,,T. Daniels enters the game for T. Ariza
1:45.0,D. Arthur enters the game for A. Afflalo,,93-108,,
1:41.0,Jump ball: K. Faried vs. J. Harden (J. Dorsey gains possession),,,,Jump ball: K. Faried vs. J. Harden (J. Dorsey gains possession)
1:32.0,,,93-108,,J. Harden misses 3-pt shot from 25 ft
1:31.0,Defensive rebound by E. Green,,93-108,,
1:22.0,D. Arthur makes 3-pt shot from 25 ft (assist by E. Green),3,96-108,,
1:00.0,,,96-108,,N. Johnson misses 3-pt shot from 25 ft
0:58.0,Defensive rebound by D. Arthur,,96-108,,
0:49.0,A. Gee misses 3-pt shot from 23 ft,,96-108,,
0:47.0,,,96-108,,Defensive rebound by T. Daniels
0:22.0,,,96-108,,Turnover by Team (shot clock)
0:14.0,D. Arthur misses 3-pt shot from 27 ft,,96-108,,
0:12.0,Offensive rebound by Team,,96-108,,
0:08.0,E. Green misses 2-pt shot from 16 ft,,96-108,,
0:05.0,Offensive rebound by G. Harris,,96-108,,
0:01.0,K. Faried misses 2-pt shot from 3 ft,,96-108,,
0:00.0,,,96-108,,Defensive rebound by J. Harden
0:00.0,End of 4th quarter,,,,End of 4th quarter
