time,Chicago,pts.away,score,pts.home,LA Lakers
1:21.0,J. Butler makes free throw 1 of 2,1,90-98,,
1:21.0,J. Butler makes free throw 2 of 2,1,91-98,,
1:05.0,,,91-98,,Turnover by J. Hill (lost ball; steal by A. Brooks)
0:59.0,J. Butler makes 3-pt shot from 25 ft (assist by J. Noah),3,94-98,,
0:53.0,,,94-98,,LA Lakers full timeout
0:47.0,,,94-98,,Turnover by J. Clarkson (lost ball; steal by J. Butler)
0:44.0,J. Butler makes 2-pt shot at rim (assist by A. Brooks),2,96-98,,
0:22.0,,,96-98,,J. Clarkson misses 2-pt shot from 6 ft
0:21.0,Defensive rebound by J. Noah,,96-98,,
0:12.0,D. Rose misses 2-pt shot from 1 ft,,96-98,,
0:11.0,Offensive rebound by P. Gasol,,96-98,,
0:11.0,P. Gasol makes 2-pt shot from 1 ft,2,98-98,,
0:11.0,,,98-98,,LA Lakers full timeout
0:11.0,K. Hinrich enters the game for A. Brooks,,98-98,,
0:11.0,,,98-98,,R. Kelly enters the game for R. Sacre
0:02.0,,,98-98,,J. Hill misses 2-pt shot from 6 ft
0:00.0,,,98-98,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: P. Gasol vs. J. Hill (J. Noah gains possession),,,,Jump ball: P. Gasol vs. J. Hill (J. Noah gains possession)
4:42.0,D. Rose makes 3-pt shot from 24 ft (assist by P. Gasol),3,101-98,,
4:09.0,,,101-98,,J. Clarkson misses 2-pt shot from 3 ft (block by P. Gasol)
4:08.0,Defensive rebound by J. Butler,,101-98,,
4:01.0,D. Rose misses 3-pt shot from 25 ft,,101-98,,
4:00.0,,,101-98,,Defensive rebound by R. Sacre
3:44.0,,,101-98,,J. Hill misses 2-pt shot from 2 ft
3:44.0,,,101-98,,Offensive rebound by R. Sacre
3:44.0,,,101-98,,Shooting foul by J. Butler (drawn by R. Sacre)
3:44.0,,,101-99,1,R. Sacre makes free throw 1 of 2
3:44.0,,,101-100,1,R. Sacre makes free throw 2 of 2
3:34.0,P. Gasol makes 2-pt shot from 18 ft (assist by D. Rose),2,103-100,,
3:13.0,,,103-100,,W. Johnson misses 2-pt shot from 19 ft
3:12.0,Defensive rebound by Team,,103-100,,
2:57.0,A. Brooks misses 3-pt shot from 28 ft,,103-100,,
2:52.0,Offensive rebound by J. Butler,,103-100,,
2:47.0,P. Gasol makes 2-pt shot from 2 ft (assist by J. Noah),2,105-100,,
2:30.0,,,105-100,,J. Clarkson misses 2-pt shot from 17 ft
2:29.0,Defensive rebound by D. Rose,,105-100,,
2:23.0,D. Rose misses 2-pt shot from 12 ft,,105-100,,
2:23.0,Offensive rebound by Team,,105-100,,
2:23.0,,,105-100,,Loose ball foul by R. Sacre (drawn by J. Noah)
2:16.0,Turnover by D. Rose (step out of bounds),,105-100,,
2:01.0,,,105-100,,Shooting foul by A. Brooks (drawn by J. Clarkson)
2:01.0,,,105-101,1,J. Clarkson makes free throw 1 of 2
2:01.0,,,105-102,1,J. Clarkson makes free throw 2 of 2
1:43.0,J. Noah misses 2-pt shot from 18 ft,,105-102,,
1:42.0,,,105-102,,Defensive rebound by J. Hill
1:29.0,,,105-102,,W. Ellington misses 2-pt shot from 19 ft
1:28.0,Defensive rebound by J. Noah,,105-102,,
1:06.0,A. Brooks misses 2-pt shot from 13 ft,,105-102,,
1:02.0,Offensive rebound by J. Noah,,105-102,,
0:57.0,Turnover by Team (back court),,105-102,,
0:57.0,,,105-102,,LA Lakers full timeout
0:57.0,K. Hinrich enters the game for A. Brooks,,105-102,,
0:51.0,,,105-104,2,W. Ellington makes 2-pt shot at rim
0:35.0,Shooting foul by R. Sacre (drawn by P. Gasol),,105-104,,
0:35.0,P. Gasol misses free throw 1 of 2,,105-104,,
0:35.0,Offensive rebound by Team,,105-104,,
0:35.0,P. Gasol makes free throw 2 of 2,1,106-104,,
0:21.0,,,106-104,,W. Ellington misses 2-pt shot from 2 ft (block by J. Noah)
0:21.0,,,106-104,,Offensive rebound by Team
0:21.0,,,106-104,,LA Lakers full timeout
0:16.0,,,106-106,2,J. Hill makes 2-pt shot from 19 ft (assist by W. Ellington)
0:16.0,Chicago full timeout,,106-106,,
0:16.0,A. Brooks enters the game for K. Hinrich,,106-106,,
0:01.0,D. Rose misses 2-pt shot from 19 ft,,106-106,,
0:00.0,,,106-106,,Defensive rebound by J. Hill
0:00.0,End of 1st overtime,,,,End of 1st overtime
5:00.0,Start of 2nd overtime,,,,Start of 2nd overtime
5:00.0,Jump ball: P. Gasol vs. J. Hill (R. Sacre gains possession),,,,Jump ball: P. Gasol vs. J. Hill (R. Sacre gains possession)
4:41.0,,,106-108,2,W. Ellington makes 2-pt shot from 17 ft (assist by J. Hill)
4:15.0,A. Brooks misses 2-pt shot from 2 ft (block by J. Clarkson),,106-108,,
4:15.0,Offensive rebound by Team,,106-108,,
4:15.0,Turnover by Team (shot clock),,106-108,,
4:00.0,,,106-110,2,W. Ellington makes 2-pt shot from 1 ft (assist by R. Sacre)
3:43.0,J. Butler misses 3-pt shot from 22 ft,,106-110,,
3:41.0,Offensive rebound by P. Gasol,,106-110,,
3:39.0,P. Gasol makes 2-pt shot at rim,2,108-110,,
3:19.0,,,108-112,2,J. Clarkson makes 2-pt shot from 18 ft (assist by R. Sacre)
2:56.0,D. Rose misses 3-pt shot from 25 ft,,108-112,,
2:56.0,Offensive rebound by Team,,108-112,,
2:56.0,,,108-112,,Loose ball foul by R. Sacre (drawn by J. Noah)
2:56.0,,,108-112,,C. Boozer enters the game for R. Sacre
2:46.0,Shooting foul by W. Ellington (drawn by P. Gasol),,108-112,,
2:46.0,P. Gasol misses free throw 1 of 2,,108-112,,
2:46.0,Offensive rebound by Team,,108-112,,
2:46.0,K. Hinrich enters the game for A. Brooks,,108-112,,
2:46.0,P. Gasol makes free throw 2 of 2,1,109-112,,
2:20.0,,,109-112,,W. Ellington misses 3-pt shot from 24 ft
2:18.0,Defensive rebound by J. Noah,,109-112,,
2:12.0,D. Rose misses 2-pt shot from 1 ft (block by J. Hill),,109-112,,
2:11.0,,,109-112,,Defensive rebound by W. Johnson
2:11.0,Jump ball: J. Butler vs. W. Johnson (C. Boozer gains possession),,,,Jump ball: J. Butler vs. W. Johnson (C. Boozer gains possession)
1:53.0,,,109-114,2,J. Hill makes 2-pt shot from 17 ft (assist by C. Boozer)
1:53.0,Chicago full timeout,,109-114,,
1:53.0,A. Brooks enters the game for K. Hinrich,,109-114,,
1:48.0,Shooting foul by W. Johnson (drawn by J. Butler),,109-114,,
1:48.0,J. Butler makes free throw 1 of 2,1,110-114,,
1:48.0,K. Hinrich enters the game for A. Brooks,,110-114,,
1:48.0,J. Butler makes free throw 2 of 2,1,111-114,,
1:32.0,,,111-116,2,W. Johnson makes 2-pt shot from 1 ft
1:20.0,A. Brooks enters the game for K. Hinrich,,111-116,,
1:13.0,D. Rose misses 2-pt shot from 8 ft,,111-116,,
1:12.0,,,111-116,,Defensive rebound by W. Johnson
0:53.0,,,111-116,,W. Johnson misses 2-pt shot from 17 ft
0:52.0,Defensive rebound by P. Gasol,,111-116,,
0:43.0,A. Brooks misses 3-pt shot from 24 ft,,111-116,,
0:41.0,,,111-116,,Defensive rebound by J. Hill
0:36.0,Personal take foul by J. Noah (drawn by J. Clarkson),,111-116,,
0:36.0,T. Snell enters the game for J. Butler,,111-116,,
0:33.0,Personal foul by A. Brooks (drawn by J. Clarkson),,111-116,,
0:33.0,,,111-117,1,J. Clarkson makes free throw 1 of 2
0:33.0,,,111-118,1,J. Clarkson makes free throw 2 of 2
0:33.0,Chicago full timeout,,111-118,,
0:27.0,T. Snell misses 3-pt shot from 24 ft,,111-118,,
0:26.0,,,111-118,,Defensive rebound by W. Ellington
0:24.0,Personal take foul by P. Gasol (drawn by W. Ellington),,111-118,,
0:24.0,,,111-119,1,W. Ellington makes free throw 1 of 2
0:24.0,E. Moore enters the game for D. Rose,,111-119,,
0:24.0,,,111-120,1,W. Ellington makes free throw 2 of 2
0:20.0,A. Brooks makes 3-pt shot from 25 ft,3,114-120,,
0:14.0,Personal take foul by A. Brooks (drawn by W. Johnson),,114-120,,
0:14.0,,,114-121,1,W. Johnson makes free throw 1 of 2
0:14.0,,,114-121,,W. Johnson misses free throw 2 of 2
0:14.0,Defensive rebound by J. Noah,,114-121,,
0:08.0,T. Snell makes 2-pt shot from 2 ft (assist by J. Noah),2,116-121,,
0:05.0,Personal take foul by P. Gasol (drawn by W. Ellington),,116-121,,
0:05.0,,,116-122,1,W. Ellington makes free throw 1 of 2
0:05.0,Technical foul by A. Brooks,,116-122,,
0:05.0,D. McDermott enters the game for A. Brooks,,116-122,,
0:05.0,,,116-122,,J. Hill misses technical free throw
0:05.0,,,116-122,,Offensive rebound by Team
0:05.0,,,116-123,1,W. Ellington makes free throw 2 of 2
0:01.0,E. Moore makes 2-pt shot from 9 ft,2,118-123,,
0:00.0,End of 2nd overtime,,,,End of 2nd overtime
