time,Charlotte,pts.away,score,pts.home,San Antonio
1:53.0,,,78-93,,A. Baynes misses 2-pt shot from 13 ft
1:52.0,Defensive rebound by A. Jefferson,,78-93,,
1:52.0,,,78-93,,Loose ball foul by A. Baynes (drawn by A. Jefferson)
1:37.0,B. Roberts misses 3-pt shot from 25 ft,,78-93,,
1:35.0,,,78-93,,Defensive rebound by P. Mills
1:12.0,,,78-93,,R. Williams misses 3-pt shot from 23 ft
1:11.0,,,78-93,,Offensive rebound by A. Baynes
1:07.0,,,78-93,,Turnover by A. Baynes (bad pass; steal by G. Henderson)
1:03.0,G. Neal makes 3-pt shot from 24 ft,3,81-93,,
0:49.0,,,81-93,,P. Mills misses 2-pt shot from 15 ft
0:48.0,Defensive rebound by C. Zeller,,81-93,,
0:36.0,C. Zeller makes 3-pt shot from 24 ft (assist by G. Henderson),3,84-93,,
0:23.0,,,84-95,2,A. Baynes makes 2-pt shot from 1 ft
0:19.0,,,84-95,,Shooting block foul by J. Ayres (drawn by G. Neal)
0:19.0,G. Neal makes free throw 1 of 2,1,85-95,,
0:19.0,G. Neal makes free throw 2 of 2,1,86-95,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
