time,Indiana,pts.away,score,pts.home,Toronto
2:31.0,,,42-53,,Offensive rebound by J. Valanciunas
2:23.0,,,42-53,,Turnover by K. Lowry (lost ball)
2:06.0,C. Watson misses 3-pt shot from 24 ft,,42-53,,
2:02.0,,,42-53,,Defensive rebound by K. Lowry
1:50.0,,,42-53,,J. Valanciunas misses 2-pt shot from 8 ft
1:49.0,Defensive rebound by D. West,,42-53,,
1:31.0,R. Stuckey misses 2-pt shot from 11 ft,,42-53,,
1:30.0,,,42-53,,Defensive rebound by J. Valanciunas
1:22.0,,,42-53,,P. Patterson misses 3-pt shot from 25 ft
1:21.0,Defensive rebound by D. Sloan,,42-53,,
1:07.0,,,42-53,,Personal foul by T. Ross (drawn by C. Watson)
1:07.0,,,42-53,,L. Williams enters the game for K. Lowry
0:58.0,D. West misses 2-pt shot from 9 ft,,42-53,,
0:56.0,,,42-53,,Defensive rebound by P. Patterson
0:39.0,,,42-53,,G. Vasquez misses 2-pt shot from 10 ft
0:38.0,,,42-53,,Offensive rebound by J. Valanciunas
0:36.0,,,42-53,,J. Valanciunas misses 2-pt shot at rim
0:35.0,Defensive rebound by R. Hibbert,,42-53,,
0:24.0,Offensive foul by R. Hibbert,,42-53,,
0:24.0,Turnover by R. Hibbert (offensive foul),,42-53,,
0:24.0,,,42-53,,Toronto full timeout
0:24.0,L. Allen enters the game for R. Hibbert,,42-53,,
0:06.0,,,42-53,,L. Williams misses 2-pt shot from 2 ft
0:05.0,,,42-53,,Offensive rebound by L. Williams
0:04.0,,,42-53,,L. Williams misses 2-pt shot at rim
0:03.0,Defensive rebound by D. West,,42-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,42-53,,Shooting foul by R. Hibbert (drawn by A. Johnson)
11:47.0,,,42-53,,A. Johnson misses free throw 1 of 2
11:47.0,,,42-53,,Offensive rebound by Team
11:47.0,,,42-54,1,A. Johnson makes free throw 2 of 2
11:33.0,R. Stuckey makes 2-pt shot from 19 ft (assist by D. West),2,44-54,,
11:16.0,,,44-56,2,A. Johnson makes 2-pt shot at rim (assist by K. Lowry)
11:00.0,Shooting foul by T. Ross (drawn by R. Stuckey),,44-56,,
11:00.0,R. Stuckey makes free throw 1 of 2,1,45-56,,
11:00.0,R. Stuckey makes free throw 2 of 2,1,46-56,,
10:48.0,,,46-58,2,A. Johnson makes 2-pt shot at rim (assist by K. Lowry)
10:25.0,R. Hibbert misses 2-pt shot from 14 ft,,46-58,,
10:24.0,,,46-58,,Defensive rebound by A. Johnson
10:14.0,,,46-58,,J. Valanciunas misses 2-pt shot from 17 ft
10:13.0,Defensive rebound by R. Stuckey,,46-58,,
10:07.0,,,46-58,,Personal foul by J. Valanciunas (drawn by R. Hibbert)
9:57.0,C. Watson makes 3-pt shot from 23 ft (assist by R. Stuckey),3,49-58,,
9:33.0,,,49-58,,K. Lowry misses 3-pt shot from 27 ft
9:32.0,Defensive rebound by R. Hibbert,,49-58,,
9:26.0,R. Stuckey makes 2-pt shot from 1 ft (assist by R. Hibbert),2,51-58,,
9:15.0,,,51-58,,T. Ross misses 2-pt shot from 16 ft
9:14.0,Defensive rebound by C. Watson,,51-58,,
8:57.0,R. Hibbert makes 2-pt shot from 6 ft,2,53-58,,
8:48.0,,,53-58,,Toronto full timeout
8:40.0,,,53-58,,J. Valanciunas misses 2-pt shot from 4 ft (block by R. Hibbert)
8:38.0,Defensive rebound by D. West,,53-58,,
8:32.0,C. Copeland misses 3-pt shot from 25 ft,,53-58,,
8:30.0,,,53-58,,Defensive rebound by K. Lowry
8:24.0,,,53-58,,K. Lowry misses 2-pt shot from 19 ft
8:23.0,,,53-58,,Offensive rebound by J. Valanciunas
8:21.0,,,53-60,2,J. Valanciunas makes 2-pt shot from 1 ft
8:06.0,D. West makes 2-pt shot from 20 ft (assist by C. Watson),2,55-60,,
7:43.0,,,55-62,2,T. Ross makes 2-pt shot from 16 ft
7:23.0,C. Watson makes 2-pt shot from 2 ft,2,57-62,,
7:23.0,Shooting foul by T. Ross (drawn by C. Watson),,57-62,,
7:23.0,,,57-62,,L. Williams enters the game for T. Ross
7:23.0,C. Watson makes free throw 1 of 1,1,58-62,,
7:11.0,,,58-62,,Shooting foul by C. Copeland (drawn by L. Fields)
7:11.0,,,58-63,1,L. Fields makes free throw 1 of 2
7:11.0,S. Hill enters the game for C. Copeland,,58-63,,
7:11.0,,,58-64,1,L. Fields makes free throw 2 of 2
7:01.0,C. Watson misses 2-pt shot from 11 ft,,58-64,,
7:00.0,,,58-64,,Defensive rebound by J. Valanciunas
6:51.0,,,58-64,,Turnover by L. Williams (bad pass; steal by C. Watson)
6:47.0,,,58-64,,Personal foul by A. Johnson (drawn by R. Hibbert)
6:47.0,,,58-64,,P. Patterson enters the game for A. Johnson
6:41.0,D. West makes 2-pt shot from 17 ft (assist by R. Stuckey),2,60-64,,
6:23.0,,,60-64,,L. Williams misses 2-pt shot from 17 ft (block by S. Hill)
6:22.0,Defensive rebound by S. Hill,,60-64,,
6:16.0,C. Watson misses 3-pt shot from 22 ft,,60-64,,
6:15.0,,,60-64,,Defensive rebound by J. Valanciunas
5:54.0,,,60-66,2,J. Valanciunas makes 2-pt shot from 4 ft
5:43.0,R. Hibbert misses 2-pt shot from 15 ft,,60-66,,
5:42.0,,,60-66,,Defensive rebound by L. Fields
5:32.0,,,60-66,,P. Patterson misses 3-pt shot from 22 ft
5:31.0,,,60-66,,Offensive rebound by Team
5:30.0,L. Allen enters the game for R. Hibbert,,60-66,,
5:30.0,,,60-66,,T. Hansbrough enters the game for J. Valanciunas
5:17.0,,,60-66,,K. Lowry misses 2-pt shot from 4 ft (block by D. West)
5:15.0,,,60-66,,Offensive rebound by K. Lowry
5:13.0,,,60-68,2,K. Lowry makes 2-pt shot from 1 ft
5:03.0,,,60-68,,Personal foul by T. Hansbrough (drawn by L. Allen)
5:03.0,L. Allen makes free throw 1 of 2,1,61-68,,
5:03.0,L. Allen makes free throw 2 of 2,1,62-68,,
4:53.0,,,62-68,,K. Lowry misses 3-pt shot from 25 ft
4:52.0,Defensive rebound by D. West,,62-68,,
4:44.0,R. Stuckey makes 2-pt shot from 9 ft,2,64-68,,
4:19.0,,,64-71,3,L. Williams makes 3-pt shot from 25 ft
4:00.0,Turnover by R. Stuckey (bad pass),,64-71,,
3:42.0,,,64-71,,L. Williams misses 2-pt shot from 15 ft (block by L. Allen)
